Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-04-15,36,0,0,0,0,0,14,0,0,7,0,0,3,0,3,1,0,0,405,2,10,0,0,3,0,1,3,2,1,22,0,7,0,50,32,2,31,53,17,17,1,21,2,65,2,3,0,0,2,2,4,2,1,0,15,0,13,4,1
2020-04-16,39,0,0,0,0,0,16,0,0,7,0,0,3,0,3,1,0,0,457,2,10,0,0,3,0,1,3,2,1,25,0,8,0,54,32,2,39,60,17,17,1,28,2,69,2,3,0,0,2,2,4,2,1,0,17,0,13,7,1
2020-04-17,40,0,0,0,0,0,19,0,0,7,0,0,3,0,3,1,0,0,497,2,10,0,0,3,0,1,3,2,1,28,0,8,0,69,32,2,47,63,20,17,1,28,3,73,2,3,0,0,2,2,4,2,1,0,17,0,13,7,1
2020-04-18,41,0,0,0,0,0,19,0,0,7,0,0,3,0,3,1,0,0,576,2,10,0,0,3,0,1,3,2,1,32,0,8,0,69,33,2,57,70,20,17,1,28,3,73,2,3,0,0,2,2,4,2,1,0,17,0,13,8,1
2020-04-19,42,0,0,0,0,0,20,0,0,7,0,0,3,0,3,1,0,0,600,2,10,0,0,3,0,1,3,2,1,32,0,8,0,75,34,2,57,71,20,17,1,28,4,73,2,3,0,0,2,2,4,2,1,0,17,0,13,8,1
2020-04-20,42,0,0,0,0,0,22,0,0,7,0,0,3,0,3,1,0,0,619,2,10,0,0,3,0,1,4,2,1,33,0,8,0,85,34,2,60,71,20,17,1,28,4,83,2,3,0,0,2,2,4,2,1,0,18,0,13,9,1
2020-04-21,43,0,0,0,0,0,22,0,0,7,0,0,4,0,3,1,0,0,663,2,10,0,0,3,0,1,4,2,1,33,0,8,0,85,35,2,67,72,20,18,1,28,4,83,2,3,0,0,2,2,4,2,1,0,18,0,13,10,1
2020-04-22,43,0,0,0,0,0,22,0,0,7,0,0,5,0,4,1,0,0,732,2,10,0,0,3,0,1,4,2,1,34,0,8,0,93,36,2,67,96,21,20,1,39,5,94,2,3,0,0,3,2,4,2,1,0,25,0,13,10,1
2020-04-23,46,0,0,0,0,0,23,0,0,7,0,0,8,0,4,1,0,0,797,2,11,0,0,3,0,1,4,2,1,36,0,8,0,100,41,2,77,100,21,22,1,39,5,95,2,3,0,0,4,2,5,3,1,0,25,0,16,12,1
2020-04-24,48,0,0,0,0,0,23,0,0,7,0,0,8,1,4,1,0,0,850,2,12,0,0,3,0,1,4,2,1,36,0,8,0,112,41,2,80,102,22,24,1,41,6,98,2,4,0,0,4,2,5,3,1,0,28,0,16,13,1
2020-04-25,52,0,0,0,0,0,25,0,0,7,0,0,8,1,4,1,0,0,895,2,12,0,0,3,0,1,4,2,1,38,0,8,0,112,41,2,80,111,22,24,1,41,7,99,2,4,0,0,4,2,5,3,1,0,32,0,16,13,1
2020-04-26,52,0,0,0,0,0,29,0,0,7,0,0,8,1,4,1,0,0,916,2,12,0,0,3,0,1,4,2,1,39,0,8,0,118,41,2,82,111,22,25,1,41,7,100,2,4,0,0,4,2,5,3,1,0,32,0,16,13,1
2020-04-27,52,0,0,0,0,0,25,0,0,7,0,0,8,1,5,1,0,0,944,2,12,0,0,3,0,1,4,2,1,39,0,8,0,141,41,2,82,111,23,25,1,41,7,103,2,4,0,0,4,2,5,3,1,0,32,0,17,14,1
2020-04-28,55,0,0,0,0,0,25,0,0,7,0,0,8,1,5,1,0,0,1002,2,12,0,0,3,0,1,4,2,1,42,0,8,0,141,41,2,85,113,23,25,1,48,7,106,2,4,0,0,4,2,7,2,1,0,35,0,17,16,1
2020-04-29,57,0,0,0,0,0,25,0,0,7,0,0,8,1,6,1,0,0,1056,2,12,0,0,3,0,1,5,2,1,44,0,8,0,143,42,2,89,120,23,25,1,48,8,107,2,4,0,0,5,2,11,2,1,0,36,0,17,16,1
2020-04-30,60,0,0,0,0,0,27,0,0,7,0,0,8,1,7,1,0,0,1111,2,13,0,0,3,0,1,5,2,1,45,0,8,0,149,43,2,93,120,25,25,1,48,8,111,2,4,0,0,5,2,11,2,1,0,40,0,18,16,1
2020-05-01,62,0,0,0,0,0,28,0,0,8,0,0,9,1,8,1,0,0,1174,2,13,0,0,3,0,1,5,2,1,50,0,8,0,156,42,2,94,124,28,25,1,51,8,113,2,4,0,0,5,2,13,2,1,0,40,0,18,16,1
2020-05-02,63,0,0,0,0,0,28,0,0,8,0,0,9,1,8,1,0,0,1209,2,13,0,0,3,0,1,5,2,1,52,0,8,0,156,42,2,97,134,29,25,1,51,8,114,2,4,0,0,5,2,13,2,1,0,40,0,19,16,1
2020-05-03,63,0,0,0,0,0,28,0,0,8,0,0,9,1,8,1,0,0,1231,2,13,0,0,3,0,1,6,2,1,52,0,8,0,161,42,2,97,139,29,25,1,51,8,115,2,4,0,0,5,2,14,2,1,0,40,0,19,17,1
2020-05-04,63,0,0,0,0,0,28,0,0,8,0,0,9,1,8,1,0,0,1257,2,13,0,0,3,0,1,6,2,1,57,0,8,0,181,47,2,97,139,29,26,1,51,8,117,2,4,0,0,5,3,14,2,1,0,40,0,19,19,1
2020-05-05,66,0,0,0,0,0,29,0,0,9,0,0,9,1,11,1,0,0,1315,2,13,0,0,3,0,1,6,2,1,69,0,8,0,184,47,2,101,144,31,26,1,56,8,121,2,4,0,0,6,3,15,2,1,0,40,0,19,19,1
2020-05-06,66,0,0,0,0,0,29,0,0,9,0,0,10,1,11,1,0,0,1369,2,14,0,0,3,0,1,6,2,1,65,0,8,0,186,47,2,104,158,31,27,1,56,9,126,2,4,0,0,7,3,17,2,1,0,41,0,19,20,1
2020-05-07,67,0,0,0,0,0,29,0,0,9,0,0,11,1,13,1,0,0,1418,2,14,0,0,3,0,1,6,2,1,66,0,8,0,192,49,2,108,158,32,28,1,56,9,127,2,4,0,0,7,3,17,2,1,0,43,0,19,20,1
2020-05-08,70,0,0,0,0,0,29,0,0,9,0,0,12,1,15,1,0,0,1470,2,14,0,0,3,0,1,6,2,1,71,0,8,0,192,50,2,111,165,33,28,1,56,10,128,2,4,0,0,7,3,19,2,1,0,44,0,19,20,1
2020-05-09,71,0,0,0,0,0,32,0,0,9,0,0,12,1,15,1,0,0,1515,2,14,0,0,3,0,1,6,2,1,74,0,8,0,204,50,2,114,169,33,28,1,56,11,128,2,4,0,0,7,3,19,2,1,0,46,0,19,20,1
2020-05-10,71,0,0,0,0,0,31,0,0,9,0,0,12,1,15,1,0,0,1531,2,14,0,0,3,0,1,6,2,1,76,0,8,0,204,50,2,114,175,34,29,1,56,11,129,2,4,0,0,7,3,20,2,1,0,48,0,19,20,1
2020-05-11,71,0,0,0,0,0,32,0,0,9,0,0,12,1,15,1,0,0,1570,2,14,0,0,3,0,1,6,3,1,76,0,8,0,217,50,2,115,175,35,29,1,56,11,129,2,4,0,0,10,4,21,2,1,0,50,0,19,20,1
2020-05-12,74,0,0,0,0,0,32,0,0,10,0,0,13,1,17,1,0,0,1616,2,14,0,0,4,0,1,6,3,1,77,0,8,0,225,50,2,120,190,35,30,1,65,11,130,2,4,0,0,11,4,22,2,1,0,52,0,19,22,1
2020-05-13,76,0,0,0,0,0,33,0,0,10,0,0,14,1,17,1,0,0,1660,2,14,0,0,4,0,1,6,3,1,80,0,8,0,225,51,2,138,190,35,31,1,65,11,130,2,4,0,0,11,4,22,2,1,0,54,0,24,22,1
2020-05-14,79,0,0,0,0,0,33,0,0,13,0,0,15,1,21,1,0,0,1711,2,14,0,0,4,0,1,6,3,1,80,0,8,0,235,54,2,139,200,35,31,1,65,11,134,2,4,0,0,14,4,23,2,1,0,54,0,25,22,1
2020-05-15,83,0,0,0,0,0,33,0,0,13,0,0,15,1,24,1,0,0,1753,2,14,1,0,4,0,1,6,3,1,84,0,8,0,242,54,2,150,200,36,31,1,66,11,134,2,4,0,0,14,4,23,2,1,0,64,0,25,22,1
2020-05-16,83,0,0,0,0,0,33,0,0,16,0,0,15,1,25,2,0,0,1793,2,14,1,0,6,0,1,8,3,1,86,0,8,0,242,54,2,155,209,36,31,1,66,11,135,2,4,0,0,16,4,24,2,1,0,67,0,25,22,1
2020-05-17,83,0,0,0,0,0,33,0,0,16,0,0,15,1,25,2,0,0,1821,2,14,1,0,6,0,1,8,3,1,88,0,8,0,242,55,2,155,209,36,32,1,66,11,135,2,4,0,0,16,4,24,2,1,0,67,0,25,22,1
2020-05-18,83,0,0,0,0,0,33,0,0,16,0,0,15,1,25,2,0,0,1840,2,14,1,0,6,0,1,8,3,1,88,0,8,0,261,56,2,155,209,36,32,1,66,11,135,2,4,0,0,16,4,24,2,1,0,67,0,25,22,1
2020-05-19,86,0,0,0,0,0,33,0,0,17,0,2,18,1,25,2,0,0,1913,2,14,1,0,6,0,1,8,3,1,88,0,8,0,270,56,2,157,222,36,33,1,75,11,137,2,4,0,0,16,4,26,2,1,0,71,0,25,22,1
2020-05-20,88,0,0,0,0,0,33,0,0,20,0,2,19,1,25,2,0,0,1973,2,14,1,0,6,0,1,8,3,1,98,0,8,0,270,56,2,158,230,37,33,1,75,11,138,2,4,0,0,18,4,26,2,1,0,73,0,28,22,1
2020-05-21,90,0,0,0,0,0,36,0,0,20,0,2,21,1,25,2,0,0,2016,2,14,1,0,6,0,1,8,3,1,112,0,8,0,284,56,2,164,230,37,33,1,75,11,138,2,4,0,0,18,4,26,2,1,0,74,0,29,22,1
2020-05-22,90,0,0,0,0,0,36,0,0,22,0,2,21,1,27,2,0,0,2053,2,14,1,0,6,0,1,8,3,1,118,0,9,0,290,56,2,173,241,40,33,1,76,11,138,2,4,0,0,19,4,28,2,1,0,75,0,29,22,1
2020-05-23,92,0,0,0,0,0,36,0,0,22,0,2,23,1,29,2,0,0,2092,2,14,1,0,6,0,1,8,3,1,130,0,9,0,290,56,2,176,249,40,33,1,76,12,139,2,4,0,0,20,4,28,2,1,0,75,0,30,22,1
2020-05-24,93,0,0,0,0,0,36,0,0,22,0,2,23,1,29,2,0,0,2106,2,14,1,0,6,0,1,8,3,1,131,0,9,0,290,56,2,176,249,40,33,1,76,12,139,2,4,0,0,20,4,28,2,1,0,75,0,30,22,1
2020-05-25,93,0,0,0,0,0,37,0,0,22,0,2,23,1,29,2,0,0,2116,2,14,1,0,6,0,1,8,3,1,133,0,9,0,292,56,2,176,249,40,33,1,76,12,139,2,4,0,0,20,4,28,2,1,0,75,0,30,22,1
2020-05-26,93,0,0,0,0,0,37,0,0,22,0,2,24,1,29,2,0,0,2145,2,14,1,0,7,0,1,8,3,1,131,0,9,0,303,56,2,176,249,40,33,1,82,12,139,2,4,0,0,20,4,28,2,1,0,79,0,30,22,1
2020-05-27,93,0,0,0,0,0,37,0,0,26,0,2,24,1,36,3,0,0,2201,2,14,1,0,7,0,1,8,3,1,136,0,9,0,303,56,2,176,249,40,33,1,82,12,140,2,4,0,0,20,4,28,2,1,0,79,0,32,22,1
2020-05-28,94,0,0,0,0,0,37,0,0,32,0,3,26,1,37,3,0,0,2241,2,14,1,0,7,0,1,9,3,1,142,0,9,0,313,56,2,190,260,40,35,1,82,12,140,2,4,0,0,22,4,28,2,1,0,80,0,32,23,1
2020-05-29,95,0,0,0,0,0,37,0,0,32,0,3,27,1,37,3,0,0,2294,2,14,1,0,7,0,1,10,3,1,145,0,9,0,323,56,2,199,260,41,34,1,84,12,140,2,4,0,0,22,4,28,2,1,0,84,0,32,23,1
2020-05-30,95,0,0,0,0,0,37,0,0,35,0,3,27,1,38,3,0,0,2339,2,14,1,0,7,0,1,10,3,1,146,0,9,0,323,56,2,204,269,41,34,1,84,12,141,2,4,0,0,22,4,28,2,1,0,84,0,33,24,1
2020-05-31,96,0,0,0,0,0,37,0,0,35,0,3,27,1,38,4,0,0,2362,2,14,1,0,7,0,1,10,3,1,147,0,9,0,323,56,2,204,269,42,34,1,84,12,141,2,4,0,0,22,4,29,2,1,0,84,0,33,24,1
2020-06-01,96,0,0,0,0,0,38,0,0,35,0,3,29,1,38,5,0,0,2386,2,14,1,0,7,0,1,10,3,1,147,0,9,0,331,58,2,204,269,43,34,1,84,12,141,2,4,0,0,22,4,29,2,1,0,89,0,34,24,1
2020-06-02,97,0,0,1,0,0,37,0,0,36,0,3,29,1,39,5,0,0,2448,3,15,1,0,7,0,1,10,3,1,150,0,9,0,342,58,2,208,269,43,35,1,84,12,143,2,4,0,0,22,4,29,2,1,0,89,0,34,24,1
2020-06-03,97,0,0,1,0,0,38,0,0,37,0,4,29,1,40,6,0,0,2489,3,17,1,0,7,0,1,10,3,1,158,0,9,0,342,58,2,209,276,43,35,1,84,14,144,2,4,0,0,22,4,30,2,1,0,90,0,34,24,1
2020-06-04,97,0,0,1,0,0,38,0,0,37,0,4,30,1,45,6,0,0,2532,3,17,1,0,7,0,1,10,3,1,165,0,9,0,345,58,2,209,283,43,36,1,84,14,144,2,4,0,0,22,4,30,2,1,0,92,0,35,24,1
2020-06-05,101,0,0,1,0,0,38,0,0,40,0,4,33,1,45,6,0,0,2569,3,17,1,0,7,0,1,10,3,1,174,0,9,0,355,59,2,217,288,43,36,1,88,14,144,2,4,0,0,22,4,31,2,1,0,92,0,35,24,1
