Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-04-15,76,0,0,1,0,0,63,0,1,29,0,1,17,5,71,1,1,0,470,0,1,0,0,2,0,0,13,0,0,77,0,1,0,0,37,0,0,83,26,27,3,26,29,127,5,0,0,0,5,8,17,1,0,0,56,1,15,1,0
2020-04-16,43,0,0,0,2,0,16,0,0,14,0,1,10,0,32,0,1,0,337,0,13,0,0,3,0,0,8,1,0,49,0,1,0,144,26,2,19,82,6,24,5,20,21,40,0,0,0,0,1,3,14,0,0,0,20,0,19,14,0
2020-04-17,56,0,0,0,0,0,17,0,1,30,0,0,16,0,13,5,0,0,546,0,3,0,0,3,0,0,11,5,0,76,0,0,0,352,17,3,36,75,39,6,2,30,20,37,2,1,0,0,28,9,10,0,0,0,10,0,12,9,0
2020-04-18,51,0,0,0,1,0,37,0,0,16,0,0,12,1,32,2,0,0,621,0,0,0,1,4,0,0,0,3,2,55,0,1,0,0,18,0,187,71,79,29,4,41,19,0,3,0,0,0,0,8,19,1,0,0,15,0,20,1,0
2020-04-19,50,0,0,0,0,0,8,0,0,4,0,0,0,0,13,8,0,0,320,1,2,0,0,4,0,0,17,0,0,80,0,1,0,181,11,0,67,55,20,15,1,0,12,0,3,0,0,0,0,0,15,0,0,0,14,0,6,11,1
2020-04-20,29,-1,0,0,0,0,14,0,0,0,0,0,5,0,20,2,0,0,1482,0,6,0,0,0,0,1,5,1,0,40,0,0,0,209,15,0,120,55,59,13,0,82,9,52,2,0,0,0,11,1,5,1,0,0,11,0,6,0,0
2020-04-21,48,0,0,0,0,0,42,0,2,36,0,0,15,0,28,2,0,0,1330,2,4,0,0,2,0,0,7,0,2,15,0,1,0,0,14,0,83,57,15,21,2,15,22,0,2,0,0,0,0,1,6,0,0,0,0,0,15,5,0
2020-04-22,1,1,1,0,0,0,14,0,1,20,0,0,20,1,12,0,0,0,1294,0,1,0,0,1,0,0,2,6,0,62,0,0,0,113,17,1,0,166,2,11,0,23,13,40,3,0,0,0,1,10,4,0,0,0,19,0,8,4,0
2020-04-23,110,0,0,0,1,0,7,0,1,48,1,0,37,0,16,3,0,0,1090,3,9,0,0,7,0,0,4,3,-2,74,0,3,0,258,16,2,119,152,69,27,15,8,22,25,3,2,0,0,10,2,15,18,0,0,12,0,14,5,0
2020-04-24,51,0,0,0,0,0,16,0,2,24,0,1,19,0,36,12,0,0,1008,0,3,0,6,2,0,0,15,1,1,18,0,3,0,97,32,0,58,183,38,8,14,23,9,31,1,2,0,0,8,23,13,0,0,0,19,0,11,6,0
2020-04-25,36,0,0,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,588,0,0,0,0,0,0,0,0,2,0,124,0,0,0,0,0,0,0,117,14,10,2,30,9,22,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0
2020-04-26,31,0,0,0,0,0,12,1,0,15,0,0,0,0,54,5,0,0,434,1,11,0,0,1,0,0,14,0,0,105,0,2,0,248,18,0,66,0,54,7,1,0,0,44,5,0,0,0,0,1,22,1,0,0,13,0,21,4,0
2020-04-27,30,0,0,0,0,0,3,0,0,0,0,0,30,0,19,15,0,0,856,1,1,0,0,5,0,0,0,4,0,52,0,2,0,80,8,0,40,100,16,16,3,61,2,21,4,0,0,0,0,2,8,0,0,0,28,0,6,0,0
2020-04-28,33,0,0,0,0,0,22,0,2,40,0,0,3,0,19,4,0,0,573,3,0,1,0,8,0,2,2,2,2,25,0,2,0,92,8,1,55,98,44,1,4,19,2,17,1,0,0,0,50,2,18,-16,0,0,46,1,5,1,0
2020-04-29,35,0,0,0,0,0,20,0,0,40,0,1,35,0,19,8,0,0,1489,2,2,0,1,2,0,0,6,1,2,101,0,0,0,207,15,2,101,291,22,11,8,37,12,12,2,1,0,0,5,6,27,1,0,0,48,0,9,1,1
2020-04-30,35,0,0,0,0,0,29,0,0,0,0,0,0,0,27,17,0,0,735,0,9,2,0,7,0,0,15,0,0,141,0,2,0,89,9,0,130,0,9,3,3,41,0,29,4,0,0,0,9,4,0,0,0,0,14,0,18,1,1
2020-05-01,33,0,0,0,0,0,16,0,3,77,0,0,14,0,46,27,1,0,1042,0,2,10,0,9,0,0,7,1,0,144,0,3,0,48,13,1,55,132,24,14,4,20,21,16,1,0,0,0,3,12,41,1,0,0,40,0,9,5,1
2020-05-02,70,0,0,0,0,0,27,0,0,0,0,0,25,0,30,23,0,0,632,0,2,0,0,6,0,0,9,2,0,99,0,9,0,0,17,0,69,147,20,3,8,36,0,26,2,0,0,0,0,4,0,0,0,0,40,0,15,0,0
2020-05-03,43,0,0,0,0,0,11,0,0,18,0,0,0,0,36,12,0,0,805,5,1,0,0,0,0,0,13,0,0,107,0,0,0,101,10,0,0,216,59,10,5,0,8,26,3,0,0,0,0,4,31,0,0,0,23,0,7,2,0
2020-05-04,27,0,0,1,0,0,2,0,0,0,0,0,10,0,11,14,0,0,526,0,0,1,0,3,0,0,0,4,0,76,0,3,0,174,10,0,0,0,22,4,1,48,0,13,0,0,0,0,1,5,0,0,0,0,14,0,11,0,0
2020-05-05,33,0,0,0,0,0,22,0,6,39,0,0,32,0,29,26,1,0,1611,3,1,0,0,4,0,0,2,1,0,54,0,0,0,100,6,1,147,93,104,4,2,34,12,11,1,0,0,0,53,4,17,0,0,0,101,0,18,0,0
2020-05-06,54,0,0,1,0,0,16,0,1,105,0,1,19,0,28,35,0,0,829,1,6,1,0,5,0,1,4,3,0,131,0,1,0,218,9,1,103,299,26,1,4,26,87,13,0,0,0,0,17,11,33,0,0,0,58,-2,13,1,0
2020-05-07,54,0,0,0,0,0,14,0,0,0,0,0,36,0,60,0,0,0,846,0,0,0,0,3,0,1,6,0,0,88,0,2,0,84,11,0,130,0,52,2,3,36,0,13,1,0,0,0,0,14,0,0,0,0,53,0,23,0,0
2020-05-08,44,0,0,0,0,0,15,0,0,36,1,0,57,0,33,11,0,0,808,7,8,0,0,2,0,0,3,0,0,148,0,0,0,0,7,1,67,110,47,16,0,20,109,9,1,0,0,0,5,6,15,0,0,0,44,0,21,0,1
2020-05-09,62,0,0,0,0,0,22,0,0,28,0,0,0,0,62,21,0,0,922,4,2,0,0,6,0,1,17,0,0,140,0,3,0,236,5,1,273,233,38,8,3,28,528,17,1,0,0,0,9,8,12,1,0,1,66,0,14,0,0
2020-05-10,41,0,0,0,0,0,12,0,0,44,0,2,0,0,26,10,0,0,462,1,2,0,0,0,0,0,12,1,0,122,0,1,0,0,2,0,0,114,52,7,6,0,0,32,0,0,0,0,0,9,8,1,0,0,61,0,0,0,0
2020-05-11,37,0,0,2,0,0,0,0,2,60,0,4,52,0,32,44,0,0,560,0,6,0,0,10,0,3,0,0,0,55,0,1,0,197,6,1,113,289,11,9,6,39,112,2,0,1,0,0,28,0,12,1,0,0,19,0,12,2,1
2020-05-12,32,0,0,0,0,0,18,0,4,39,0,3,39,0,30,0,0,0,948,2,6,0,0,4,0,0,20,2,0,45,0,0,0,59,8,2,63,96,23,8,1,33,9,21,5,0,0,0,9,3,9,0,0,1,82,0,22,3,2
2020-05-13,45,0,1,0,0,0,14,1,0,0,0,0,44,0,27,6,0,0,1327,0,0,0,0,3,0,1,0,0,0,147,0,0,0,0,2,0,75,0,17,9,5,18,0,2,0,0,0,0,0,21,0,1,0,0,27,0,25,0,0
2020-05-14,56,0,0,2,0,0,9,0,2,90,3,4,65,0,50,23,0,0,854,0,8,0,1,9,0,0,9,2,0,219,0,2,0,192,11,1,45,230,5,6,5,21,16,27,3,1,0,0,20,4,20,2,0,-1,27,0,23,5,2
2020-05-15,133,0,0,0,0,0,11,0,2,0,0,0,74,0,35,10,0,0,924,0,0,0,0,0,0,0,9,0,0,157,0,2,0,178,17,0,113,0,27,15,3,39,0,0,0,0,0,0,0,14,0,0,0,0,43,0,16,0,0
2020-05-16,-16,0,0,0,0,0,21,0,0,82,0,4,0,0,45,14,0,0,1044,1,20,0,0,11,0,0,5,7,0,97,0,0,0,0,11,1,152,271,28,11,3,27,31,27,8,0,0,0,2,13,22,0,1,0,88,0,0,1,0
2020-05-17,41,0,0,0,0,0,25,4,0,36,0,5,0,0,42,27,0,0,651,1,18,0,1,0,0,1,19,0,0,154,0,1,0,0,15,1,48,174,37,19,0,0,56,35,2,1,0,0,0,9,12,1,0,0,4,0,0,1,0
2020-05-18,65,0,1,2,0,0,9,0,3,0,0,0,90,0,22,0,2,0,447,0,0,0,0,16,0,0,0,2,0,58,0,0,0,334,8,0,82,0,40,10,3,69,0,0,4,0,0,1,0,14,0,2,0,0,6,0,61,0,1
2020-05-19,65,0,0,2,0,0,37,5,0,95,3,9,26,0,34,17,1,0,1115,10,19,0,0,6,0,0,8,0,0,66,0,2,0,101,5,2,114,190,48,10,1,16,43,30,2,0,0,0,20,4,22,0,0,0,103,0,12,1,2
2020-05-20,38,0,0,4,0,1,17,2,0,51,0,2,83,0,34,0,1,0,1322,1,7,0,1,4,0,0,0,2,0,242,0,-1,0,131,5,1,88,114,6,7,2,10,3,9,3,0,0,0,5,20,5,0,0,0,13,0,21,0,0
2020-05-21,49,0,0,1,0,0,25,0,0,0,0,0,91,0,39,41,0,0,1142,0,0,0,0,8,0,0,6,1,0,99,0,0,0,159,11,0,189,0,13,17,2,41,0,0,6,0,0,0,0,22,0,0,0,0,51,0,25,0,0
