Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-04-15,13,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,4,0,0,6,2,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,2,0,3,0,0
2020-04-16,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,8,7,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
2020-04-17,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,8,3,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-04-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,24,1,2,0,11,1,11,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
2020-04-23,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,5,0,10,4,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,3,2,0
2020-04-24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,2,1,2,0,2,1,3,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
2020-04-25,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-04-26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2020-04-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,7,0,3,0,0,0,0,0,0,2,-1,0,0,3,0,0,2,0
