Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-04-15,0,0,29,5,0,15,0,0,1,0,2,0,2,0,8,0,303,1,0,2,2,0,0,0,0,0,0,23,0,6,0,80,17,1,1,0,0,25,0,29
2020-04-16,0,0,34,5,0,15,0,0,1,0,4,0,2,0,8,0,312,1,0,2,2,0,0,0,0,0,0,28,0,6,0,86,17,1,1,0,0,25,0,29
2020-04-17,0,0,34,6,0,16,0,0,1,0,4,0,2,0,8,0,331,1,0,3,2,0,0,0,0,0,0,28,0,6,0,88,17,1,1,0,0,25,0,29
2020-04-18,0,0,34,6,0,16,0,0,1,0,4,0,2,0,8,0,331,1,0,3,2,0,0,0,0,0,0,30,0,6,0,91,17,1,1,0,0,25,0,34
2020-04-19,0,0,34,6,0,16,0,0,1,0,4,0,2,0,8,0,346,1,0,3,2,0,0,0,0,0,0,32,0,7,0,93,17,1,1,0,0,26,0,36
2020-04-20,0,0,34,5,0,16,0,0,1,0,4,0,2,0,8,0,346,1,0,3,2,0,0,0,0,0,0,34,0,8,0,97,17,1,1,0,0,27,0,36
2020-04-21,0,0,34,5,0,16,0,0,1,0,4,0,2,0,8,0,360,1,0,3,2,0,0,0,0,0,0,36,0,8,0,98,19,1,1,0,0,27,0,38
2020-04-22,0,0,35,5,0,16,0,0,1,0,4,0,2,0,9,0,373,2,0,3,3,0,0,0,0,0,0,40,0,9,0,98,19,1,1,0,0,27,0,38
2020-04-23,0,1,36,5,0,15,0,0,1,0,5,0,2,0,9,0,385,2,0,3,3,0,0,0,0,0,0,44,0,10,0,101,19,1,1,0,0,27,0,41
2020-04-24,0,1,36,5,0,16,0,0,1,0,5,0,2,0,9,0,393,2,0,3,3,0,0,0,0,0,0,43,0,10,0,102,19,1,1,0,0,27,0,43
2020-04-25,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,400,2,0,3,3,0,0,1,0,0,0,46,0,10,0,102,19,1,1,0,0,27,0,44
2020-04-26,0,1,37,5,0,18,0,0,1,0,5,0,2,0,9,0,408,2,0,3,3,0,1,1,0,0,0,46,0,11,0,104,19,1,1,0,0,27,0,44
2020-04-27,0,1,38,5,0,18,0,0,1,0,5,0,2,0,9,0,416,2,0,3,3,0,1,1,0,0,0,47,0,11,0,106,20,1,1,0,0,28,0,45
2020-04-28,0,2,39,5,0,18,0,0,1,0,7,0,3,0,9,0,429,2,0,3,3,0,1,1,0,0,0,48,0,12,0,108,20,1,1,0,0,28,0,45
2020-04-29,0,2,40,5,0,19,0,0,1,0,8,0,3,0,9,0,438,2,0,3,3,0,1,1,0,0,0,49,0,12,0,108,20,1,1,0,0,28,0,47
2020-04-30,0,2,41,5,0,19,0,0,1,0,9,0,3,0,9,0,447,2,0,3,3,0,1,1,0,0,0,49,0,13,0,108,21,1,1,0,0,28,0,47
2020-05-01,0,2,41,5,0,19,0,0,1,0,11,0,3,0,9,0,452,2,0,3,3,0,1,1,0,0,0,50,0,13,0,109,22,1,1,0,0,28,0,47
2020-05-02,0,2,43,5,0,19,0,0,1,0,10,0,3,0,9,0,457,2,0,3,3,0,1,1,0,0,0,50,0,13,0,109,22,1,1,0,0,28,0,47
2020-05-03,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,459,2,0,3,3,0,1,1,0,0,0,50,0,13,0,109,22,1,1,0,0,28,0,47
2020-05-04,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,463,2,0,3,3,0,1,1,0,0,0,50,0,13,0,111,22,1,1,0,0,28,0,48
2020-05-05,0,2,46,5,0,20,0,0,2,0,13,0,3,0,9,0,469,2,0,3,3,0,1,1,0,0,0,52,0,13,0,112,23,1,1,0,0,29,0,52
2020-05-06,0,2,46,5,0,20,0,0,2,0,14,0,3,0,9,0,474,2,0,3,3,0,1,1,0,0,0,52,0,13,0,112,24,1,1,0,0,30,0,52
2020-05-07,0,2,47,5,0,20,0,0,2,0,14,0,3,0,9,0,480,2,0,3,3,0,1,1,0,0,0,54,0,13,0,114,26,1,1,0,0,33,0,57
2020-05-08,0,2,48,5,0,20,0,0,2,0,16,0,3,0,9,0,487,2,0,3,3,0,1,1,0,0,0,55,0,13,0,115,27,1,1,0,0,33,0,58
2020-05-09,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,491,2,0,3,3,0,1,1,0,0,0,57,0,14,0,117,28,1,1,0,2,33,0,59
2020-05-10,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,500,2,0,3,3,0,1,1,0,0,0,57,0,14,0,117,28,1,1,0,2,34,0,59
2020-05-11,0,2,52,6,0,20,0,0,2,0,16,0,3,0,9,0,506,2,0,3,3,0,1,1,0,0,0,58,0,14,0,118,29,1,1,0,2,34,0,62
2020-05-12,0,2,53,6,0,21,0,0,2,0,16,0,3,0,9,0,513,2,0,3,3,0,1,1,0,1,0,59,0,14,0,121,29,1,1,0,2,34,0,65
2020-05-13,0,2,53,6,0,22,0,0,3,0,16,0,3,0,9,0,518,2,0,3,3,0,1,1,0,1,0,60,0,14,0,121,29,1,1,0,2,35,0,68
2020-05-14,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,519,2,0,3,3,0,1,1,0,1,0,60,0,14,0,122,29,1,1,0,2,35,0,71
