Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-04-15,0,0,0,0,2,8,0,1,3,0,51,0,0,1,1,0,71,0,0,1,2,0,0,0,0,0,0,31,0,3,0,38,2,0,1,0,2,5,0,21
2020-04-16,1,4,17,2,0,7,0,0,5,0,-33,0,7,0,1,0,77,0,0,1,0,0,1,0,0,0,0,22,0,11,0,44,8,0,4,0,3,4,1,39
2020-04-17,0,1,12,3,1,12,0,0,0,0,10,0,4,0,1,0,205,3,0,0,0,0,1,0,0,0,1,64,0,9,0,24,12,0,3,0,0,-2,1,33
2020-04-18,0,0,11,1,0,0,0,3,0,0,15,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,37,4,1,0,0,1,5,1,52
2020-04-19,1,2,7,6,0,0,0,0,0,0,14,0,3,0,1,1,272,3,0,0,1,0,0,0,0,0,0,57,0,14,0,50,5,0,4,0,0,1,0,45
2020-04-20,0,0,1,2,-1,19,0,3,-2,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,2,0,45,0,5,0,20,6,0,1,0,6,1,-2,31
2020-04-21,2,0,12,6,0,10,0,0,27,0,1,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,31,0,7,0,26,2,0,0,0,0,2,0,33
2020-04-22,1,1,12,7,0,7,0,2,2,0,15,0,4,0,2,0,86,3,0,0,0,0,0,0,0,0,0,17,0,3,0,20,2,0,0,0,1,1,0,18
2020-04-23,1,2,27,0,0,-22,0,1,2,0,26,0,-1,0,-8,0,153,3,0,0,1,0,0,2,0,1,0,-44,-1,25,0,7,3,1,2,0,7,1,0,-7
2020-04-24,0,0,18,1,0,2,0,1,6,0,6,0,3,0,0,0,105,-1,0,0,3,0,0,0,0,0,0,20,0,3,0,27,10,0,2,0,7,0,1,44
2020-04-25,1,1,16,1,1,3,0,3,1,0,11,0,1,0,1,0,102,1,0,0,4,0,0,1,0,0,0,23,0,4,0,54,15,1,3,0,2,2,0,53
2020-04-26,0,0,6,1,0,1,0,0,2,0,1,0,0,0,-1,0,124,0,0,0,0,0,0,2,0,0,0,9,0,12,0,14,2,-1,-1,0,2,4,0,39
2020-04-27,0,0,4,2,0,11,0,0,3,0,5,0,2,0,4,0,82,3,0,0,0,0,1,1,0,0,0,19,0,6,0,21,0,0,0,0,3,-1,0,19
2020-04-28,0,0,6,3,2,5,0,0,0,0,9,0,3,0,4,0,56,1,1,0,0,0,0,1,0,0,0,30,0,3,0,33,3,0,0,0,2,6,0,12
