"","Adams","Asotin","Benton","Chelan","Clallam","Clark","Columbia","Cowlitz","Douglas","Ferry","Franklin","Grant","Grays Harbor","Island","Jefferson","King","Kitsap","Kittitas","Klickitat","Lewis","Lincoln","Mason","Okanogan","Pacific","Pend Oreille","Pierce","San Juan","Skagit","Skamania","Snohomish","Spokane","Stevens","Thurston","Una","Walla Walla","Whatcom","Whitman"
"19/04/2020",0,0,15,0,0,5,0,1,0,0,10,0,0,0,0,124,1,0,0,2,0,1,0,0,0,24,0,4,0,29,8,1,1,0,4,3,0
"26/04/2020",0,0,13,2,0,1,0,0,4,0,6,1,0,2,0,82,0,1,0,0,0,0,1,0,0,34,0,4,0,29,2,0,1,0,0,2,0
"03/05/2020",0,0,10,1,0,3,0,0,0,0,8,0,0,1,1,64,0,0,0,0,0,0,2,0,0,14,0,3,0,32,1,0,0,0,0,2,0
"10/05/2020",0,0,7,1,0,2,0,0,0,0,8,0,1,0,0,56,0,0,0,1,0,0,0,0,0,15,0,2,0,16,4,0,0,0,0,0,0
"17/05/2020",0,0,7,0,0,6,0,0,1,0,3,1,0,0,0,49,1,0,0,1,0,0,0,0,0,10,0,1,0,16,7,0,0,0,1,1,0
"24/05/2020",0,0,17,3,0,3,0,0,0,0,11,0,0,1,0,40,0,1,0,0,0,0,1,0,0,14,0,0,0,14,5,0,3,0,0,1,0
"31/05/2020",0,0,19,0,1,1,0,2,0,0,11,4,0,0,0,31,0,0,0,0,0,1,0,0,0,13,0,1,0,9,3,0,6,0,0,0,0
"07/06/2020",1,0,16,0,0,6,0,1,0,0,18,3,0,0,0,28,2,0,0,0,0,0,0,0,0,12,0,3,0,13,7,0,7,0,0,0,0
"14/06/2020",1,0,17,1,0,3,0,2,0,0,27,6,0,0,1,30,1,0,2,3,0,0,1,0,0,9,0,2,0,9,11,0,1,0,1,1,0
"21/06/2020",1,0,22,0,0,7,2,2,0,0,20,12,1,1,1,46,5,3,0,1,0,0,0,0,0,18,0,1,1,13,18,1,1,0,3,4,1
"28/06/2020",0,0,22,3,0,10,0,2,2,0,24,9,1,0,0,38,2,0,0,2,0,1,2,1,0,17,0,2,0,7,27,0,3,0,0,5,0
"05/07/2020",1,0,24,5,0,14,0,4,7,0,19,9,1,0,0,60,2,1,0,0,0,0,1,0,0,17,0,5,0,15,21,1,5,0,3,3,0
"12/07/2020",4,0,15,4,0,10,0,7,4,0,23,6,1,0,2,61,9,1,0,2,0,1,3,0,3,32,0,5,0,17,31,1,5,0,3,5,0
"19/07/2020",4,0,15,5,0,11,1,0,6,0,12,6,1,0,0,52,6,8,1,2,0,1,5,0,1,47,0,8,2,16,35,1,6,2,6,6,0
"26/07/2020",1,0,12,8,1,15,0,1,5,0,7,4,1,0,0,73,6,3,0,1,1,2,8,1,0,54,0,4,0,22,52,2,5,0,8,3,0
"02/08/2020",6,0,12,5,0,11,0,0,8,0,6,10,1,0,0,58,4,4,0,3,0,2,5,1,1,52,0,2,0,24,32,2,4,0,4,1,1
"09/08/2020",3,0,6,5,0,19,0,1,6,0,6,9,2,0,1,59,10,0,0,4,1,1,7,0,0,40,0,3,0,16,14,0,5,2,1,1,0
"16/08/2020",3,0,12,9,0,14,0,2,3,1,6,12,3,0,0,57,5,0,0,1,0,1,1,0,0,24,1,2,0,19,18,1,6,1,7,2,0
"23/08/2020",5,3,10,6,0,13,0,1,2,0,8,14,3,0,0,32,6,0,0,0,0,3,0,0,0,28,0,3,0,9,25,0,8,1,1,1,0
"30/08/2020",4,0,8,4,1,14,0,0,1,0,9,4,0,0,0,47,1,0,0,3,0,1,0,0,0,17,0,3,0,17,10,0,4,1,0,1,0
"06/09/2020",5,2,7,0,0,11,0,1,2,0,11,6,5,0,0,26,7,1,1,1,0,1,2,0,0,23,0,1,0,9,23,0,4,0,0,8,0
"13/09/2020",3,1,9,1,2,19,0,2,0,0,11,7,3,1,0,23,3,0,0,2,0,1,0,0,0,35,0,1,0,9,34,2,4,0,3,4,1
"20/09/2020",2,3,8,0,0,14,0,2,0,0,3,7,5,1,0,40,1,1,0,3,1,1,0,0,0,32,0,2,1,14,33,1,4,0,2,2,0
"27/09/2020",2,1,3,1,0,10,0,0,2,0,3,2,0,0,1,30,0,0,0,3,0,0,0,0,0,15,0,0,0,14,25,2,6,0,0,3,1
