County,WeekStartDate,Hospitalizations,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,2020-03-15,1,0,0,1,0,0,0,2020/10/04 13:04:29
Adams County,2020-03-22,4,0,0,1,3,0,0,2020/10/04 13:04:29
Adams County,2020-04-05,1,0,0,1,0,0,0,2020/10/04 13:04:29
Adams County,2020-06-07,1,0,0,1,0,0,0,2020/10/04 13:04:29
Adams County,2020-06-14,1,0,0,1,0,0,0,2020/10/04 13:04:29
Adams County,2020-06-21,1,0,0,0,1,0,0,2020/10/04 13:04:29
Adams County,2020-07-05,1,0,0,0,0,1,0,2020/10/04 13:04:29
Adams County,2020-07-12,4,0,1,1,2,0,0,2020/10/04 13:04:29
Adams County,2020-07-19,4,0,1,1,1,1,0,2020/10/04 13:04:29
Adams County,2020-07-26,1,1,0,0,0,0,0,2020/10/04 13:04:29
Adams County,2020-08-02,6,0,0,4,2,0,0,2020/10/04 13:04:29
Adams County,2020-08-09,3,0,1,0,2,0,0,2020/10/04 13:04:29
Adams County,2020-08-16,3,0,0,1,1,1,0,2020/10/04 13:04:29
Adams County,2020-08-23,5,0,0,1,3,1,0,2020/10/04 13:04:29
Adams County,2020-08-30,4,0,2,1,1,0,0,2020/10/04 13:04:29
Adams County,2020-09-06,5,0,2,1,1,1,0,2020/10/04 13:04:29
Adams County,2020-09-13,3,0,0,0,2,1,0,2020/10/04 13:04:29
Adams County,2020-09-20,2,0,0,1,1,0,0,2020/10/04 13:04:29
Adams County,2020-09-27,2,0,0,0,2,0,0,2020/10/04 13:04:29
Asotin County,2020-03-29,1,0,0,0,1,0,0,2020/10/04 13:04:29
Asotin County,2020-08-23,3,0,0,0,3,0,0,2020/10/04 13:04:29
Asotin County,2020-09-06,2,0,1,1,0,0,0,2020/10/04 13:04:29
Asotin County,2020-09-13,1,0,0,0,1,0,0,2020/10/04 13:04:29
Asotin County,2020-09-20,3,0,0,0,3,0,0,2020/10/04 13:04:29
Asotin County,2020-09-27,1,0,0,0,0,1,0,2020/10/04 13:04:29
Benton County,2020-02-23,1,0,0,0,1,0,0,2020/10/04 13:04:29
Benton County,2020-03-08,5,0,0,0,3,2,0,2020/10/04 13:04:29
Benton County,2020-03-15,6,0,0,2,2,2,0,2020/10/04 13:04:29
Benton County,2020-03-22,32,0,0,2,12,18,0,2020/10/04 13:04:29
Benton County,2020-03-29,17,0,2,1,9,5,0,2020/10/04 13:04:29
Benton County,2020-04-05,10,0,1,3,6,0,0,2020/10/04 13:04:29
Benton County,2020-04-12,10,0,1,1,6,2,0,2020/10/04 13:04:29
Benton County,2020-04-19,15,0,3,4,4,4,0,2020/10/04 13:04:29
Benton County,2020-04-26,13,0,1,0,7,5,0,2020/10/04 13:04:29
Benton County,2020-05-03,10,0,0,3,4,3,0,2020/10/04 13:04:29
Benton County,2020-05-10,7,0,0,2,3,2,0,2020/10/04 13:04:29
Benton County,2020-05-17,7,0,0,1,4,2,0,2020/10/04 13:04:29
Benton County,2020-05-24,17,0,3,4,6,4,0,2020/10/04 13:04:29
Benton County,2020-05-31,19,0,2,4,10,3,0,2020/10/04 13:04:29
Benton County,2020-06-07,16,0,3,5,6,2,0,2020/10/04 13:04:29
Benton County,2020-06-14,17,0,0,6,8,3,0,2020/10/04 13:04:29
Benton County,2020-06-21,22,0,2,7,3,10,0,2020/10/04 13:04:29
Benton County,2020-06-28,22,0,3,4,9,6,0,2020/10/04 13:04:29
Benton County,2020-07-05,24,0,2,9,11,2,0,2020/10/04 13:04:29
Benton County,2020-07-12,15,1,2,5,5,2,0,2020/10/04 13:04:29
Benton County,2020-07-19,15,1,2,5,5,2,0,2020/10/04 13:04:29
Benton County,2020-07-26,12,0,2,3,6,1,0,2020/10/04 13:04:29
Benton County,2020-08-02,12,0,0,7,4,1,0,2020/10/04 13:04:29
Benton County,2020-08-09,6,0,1,4,1,0,0,2020/10/04 13:04:29
Benton County,2020-08-16,12,0,2,3,4,3,0,2020/10/04 13:04:29
Benton County,2020-08-23,10,1,2,1,5,1,0,2020/10/04 13:04:29
Benton County,2020-08-30,8,0,1,2,5,0,0,2020/10/04 13:04:29
Benton County,2020-09-06,7,0,3,1,2,1,0,2020/10/04 13:04:29
Benton County,2020-09-13,9,0,2,2,3,2,0,2020/10/04 13:04:29
Benton County,2020-09-20,8,0,2,2,4,0,0,2020/10/04 13:04:29
Benton County,2020-09-27,3,0,0,2,1,0,0,2020/10/04 13:04:29
Chelan County,2020-03-15,3,0,0,0,1,2,0,2020/10/04 13:04:29
Chelan County,2020-03-22,1,0,0,0,0,1,0,2020/10/04 13:04:29
Chelan County,2020-03-29,2,0,0,1,1,0,0,2020/10/04 13:04:29
Chelan County,2020-04-05,4,0,2,0,1,1,0,2020/10/04 13:04:29
Chelan County,2020-04-26,2,0,0,2,0,0,0,2020/10/04 13:04:29
Chelan County,2020-05-03,1,0,0,1,0,0,0,2020/10/04 13:04:29
Chelan County,2020-05-10,1,0,0,1,0,0,0,2020/10/04 13:04:29
Chelan County,2020-05-24,3,0,0,3,0,0,0,2020/10/04 13:04:29
Chelan County,2020-06-14,1,0,0,1,0,0,0,2020/10/04 13:04:29
Chelan County,2020-06-28,3,0,0,3,0,0,0,2020/10/04 13:04:29
Chelan County,2020-07-05,5,0,1,1,3,0,0,2020/10/04 13:04:29
Chelan County,2020-07-12,4,0,0,3,1,0,0,2020/10/04 13:04:29
Chelan County,2020-07-19,5,0,1,3,1,0,0,2020/10/04 13:04:29
Chelan County,2020-07-26,8,1,3,1,3,0,0,2020/10/04 13:04:29
Chelan County,2020-08-02,5,0,0,4,1,0,0,2020/10/04 13:04:29
Chelan County,2020-08-09,5,1,0,3,1,0,0,2020/10/04 13:04:29
Chelan County,2020-08-16,9,0,3,2,4,0,0,2020/10/04 13:04:29
Chelan County,2020-08-23,6,0,3,1,2,0,0,2020/10/04 13:04:29
Chelan County,2020-08-30,4,0,1,1,1,1,0,2020/10/04 13:04:29
Chelan County,2020-09-13,1,0,0,1,0,0,0,2020/10/04 13:04:29
Chelan County,2020-09-27,1,0,0,1,0,0,0,2020/10/04 13:04:29
Clallam County,2020-03-15,1,0,0,0,1,0,0,2020/10/04 13:04:29
Clallam County,2020-04-05,1,0,1,0,0,0,0,2020/10/04 13:04:29
Clallam County,2020-05-31,1,0,0,0,0,1,0,2020/10/04 13:04:29
Clallam County,2020-07-26,1,0,0,0,0,1,0,2020/10/04 13:04:29
Clallam County,2020-08-30,1,0,1,0,0,0,0,2020/10/04 13:04:29
Clallam County,2020-09-13,2,0,0,1,1,0,0,2020/10/04 13:04:29
Clark County,2020-03-01,2,0,0,0,1,1,0,2020/10/04 13:04:29
Clark County,2020-03-08,1,0,0,0,0,1,0,2020/10/04 13:04:29
Clark County,2020-03-15,8,0,1,1,2,4,0,2020/10/04 13:04:29
Clark County,2020-03-22,21,0,3,6,10,2,0,2020/10/04 13:04:29
Clark County,2020-03-29,15,0,1,4,8,2,0,2020/10/04 13:04:29
Clark County,2020-04-05,16,0,0,3,7,6,0,2020/10/04 13:04:29
Clark County,2020-04-12,8,0,0,1,4,3,0,2020/10/04 13:04:29
Clark County,2020-04-19,5,0,1,0,2,2,0,2020/10/04 13:04:29
Clark County,2020-04-26,1,0,0,0,1,0,0,2020/10/04 13:04:29
Clark County,2020-05-03,3,0,2,1,0,0,0,2020/10/04 13:04:29
Clark County,2020-05-10,2,0,0,1,1,0,0,2020/10/04 13:04:29
Clark County,2020-05-17,6,0,2,3,1,0,0,2020/10/04 13:04:29
Clark County,2020-05-24,3,0,1,1,0,1,0,2020/10/04 13:04:29
Clark County,2020-05-31,1,0,1,0,0,0,0,2020/10/04 13:04:29
Clark County,2020-06-07,6,0,3,1,1,1,0,2020/10/04 13:04:29
Clark County,2020-06-14,3,0,0,1,2,0,0,2020/10/04 13:04:29
Clark County,2020-06-21,7,0,3,3,1,0,0,2020/10/04 13:04:29
Clark County,2020-06-28,10,0,1,4,3,2,0,2020/10/04 13:04:29
Clark County,2020-07-05,14,0,2,4,4,4,0,2020/10/04 13:04:29
Clark County,2020-07-12,10,0,0,4,5,1,0,2020/10/04 13:04:29
