Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,MEAN_ALL,MEAN_0,MEAN_1,MEAN_2,SUM_ALL,SUM_0,SUM_1,SUM_2,VAR_ALL,VAR_0,VAR_1,VAR_2,NTP_0,NTP_1,NTP_2,CRESCENT TMP,CRESCENT HUMIDITY,CRESCENT VIS,LEMOORE TMP,LEMOORE HUMIDITY,LEMOORE VIS,HANFORD TMP,HANFORD HUMIDITY,HANFORD VIS,PASOROBLES TMP,PASOROBLES HUMIDITY,PASOROBLES VIS
15/04/2020,180,0,6,0,0,79,0,5,58,0,7,34,178,52,8,6,6,2256,7,14,4,0,0,0,0,31,0,7,259,24,0,362,126,1,258,348,171,42,8,71,44,186,6,2,2,23,16,36,0,0,0,21,0,82,3,2,0.032522406,0.17740825,0.023973542,0.007990627,18.1800251,10.64449499,5.322126338,2.213403773,0.015717944,0.123226515,0.000219064,3.40E-05,60,222,277,55.04,10.01079094,16093,75.92,0.166799862,16093,77,0.182155577,16093,75.02,1.371008749,16093
16/04/2020,155,0,11,1,1,96,3,5,66,0,6,28,3,60,8,1,5,2299,7,12,1,0,2,2,0,42,0,6,269,30,0,366,118,1,288,342,119,37,14,72,41,182,7,1,2,24,13,37,0,1,0,27,0,76,3,2,0.031401432,0.192218324,0.023163314,0.008916918,19.65729649,11.53309945,5.003275887,3.12092115,0.015598295,0.134538152,0.000241053,4.59E-05,60,216,350,51.98,35.64127993,16093,80.06,0.099529521,16093,80.06,0.124853937,16093,75.92,0.824074042,16093
17/04/2020,176,0,10,2,1,80,4,6,60,0,4,34,3,52,7,6,5,2354,5,6,1,0,4,1,0,47,1,6,284,29,1,359,109,1,288,343,115,46,14,67,42,200,5,1,3,21,8,32,0,0,0,28,0,56,4,5,0.030863515,0.162604389,0.024479238,0.009392598,18.54897222,9.756263333,6.021892587,2.770816304,0.013031347,0.111213095,0.000222572,5.22E-05,60,246,295,53.06,50.12071102,16093,82.94,0.358867607,16093,78.98,3.560012236,16093,59,20.04906789,16093
18/04/2020,155,0,5,0,0,79,2,8,67,0,4,33,2,47,8,0,1,2287,7,4,0,0,3,1,0,47,0,9,277,28,1,341,111,0,269,320,103,50,15,61,40,189,4,2,1,20,6,37,0,0,0,27,0,53,4,3,0.035545724,0.227858226,0.023775966,0.01055505,22.28716921,13.67149353,4.731417181,3.884258494,0.018484218,0.15299021,0.000238356,5.74E-05,60,199,368,53.06,50.12071102,16093,64.94,10.45551483,16093,62.96,31.53421913,16093,60.98,12.79737329,16093
19/04/2020,147,0,4,0,1,74,0,11,67,0,3,33,1,54,8,2,1,2288,7,10,0,0,2,0,0,31,3,5,292,23,0,349,104,0,255,320,107,39,9,59,36,175,5,1,1,21,10,29,0,0,0,27,0,52,6,2,0.036688992,0.213832673,0.023612004,0.009595064,20.65590268,12.82996039,5.052968917,2.772973374,0.01888897,0.142704742,0.000241978,4.49E-05,60,214,289,53.51,39.91924856,16093,69.08,4.227067491,16093,64.94,20.29316679,16093,60.98,10.49667702,16093
20/04/2020,137,0,3,1,1,65,2,4,65,0,6,34,1,45,8,2,1,2393,6,10,1,0,1,0,0,31,3,6,274,15,0,385,101,0,352,314,106,53,5,72,39,191,4,1,1,21,14,31,0,0,0,27,0,47,6,1,0.033665839,0.198288855,0.023654713,0.007891727,19.49252074,11.89733133,5.251346357,2.34384305,0.016808,0.132289637,0.000236361,4.09E-05,60,222,297,53.96,21.05914207,16093,75.92,1.794997334,16093,73.94,2.696301471,16093,62.96,16.53029934,16093
21/04/2020,144,0,1,0,1,77,1,3,70,0,5,35,1,43,8,2,1,2471,5,9,1,1,3,1,0,11,2,5,308,22,0,370,93,1,357,305,121,51,6,67,34,178,5,1,1,23,19,31,0,0,0,27,0,56,7,0,0.036681404,0.212133212,0.024542156,0.008761305,20.9450814,12.72799274,5.81649103,2.400597632,0.018630708,0.143289008,0.000245537,4.39E-05,60,237,274,53.06,35.22894135,16093,64.94,3.440744887,16093,66.02,10.89244668,16093,62.06,12.88554325,16093
22/04/2020,145,1,0,0,1,84,2,5,79,0,8,34,1,57,9,3,1,2448,3,15,0,0,6,0,0,9,3,1,283,25,0,356,70,0,350,318,92,57,8,67,34,176,7,1,1,28,19,33,0,0,0,27,1,57,4,0,0.029016369,0.165282969,0.024303079,0.008212209,18.88965629,9.916978132,6.221588122,2.751090035,0.01212388,0.110830158,0.000248992,3.97E-05,60,256,335,55.04,21.76037828,16093,73.94,1.566259264,16093,73.04,3.661187205,16093,73.04,5.166507647,16093
23/04/2020,171,1,0,1,1,82,6,8,78,0,7,27,1,41,9,1,0,2458,3,17,1,1,2,0,0,12,2,4,313,25,0,340,88,0,240,318,104,65,5,72,40,165,6,1,1,26,20,31,0,0,0,31,0,49,4,2,0.031810319,0.176347466,0.023431953,0.008604403,18.22731275,10.58084797,5.108165806,2.538298968,0.015296395,0.122901874,0.000274038,3.82E-05,60,218,295,53.96,100,3218.333333,82.94,0.64319307,16093,82.04,1.79958113,16093,78.08,1.639881888,16093
24/04/2020,142,1,4,2,1,83,4,7,78,0,5,34,4,47,9,1,0,2406,4,13,0,1,5,0,0,13,1,5,313,22,0,343,90,0,253,335,94,49,9,65,32,163,5,1,0,26,23,27,0,1,0,33,0,87,4,2,0.038763788,0.226863349,0.023189704,0.009315115,20.81615393,13.61180091,4.614751127,2.589601897,0.021535852,0.153738268,0.000246595,4.18E-05,60,199,278,51.53,77.69969887,603.5,82.94,0.792438964,16093,84.02,0.701955963,16093,80.06,2.250767912,16093
