Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,MEAN_ALL,MEAN_0,MEAN_1,MEAN_2,SUM_ALL,SUM_0,SUM_1,SUM_2,VAR_ALL,VAR_0,VAR_1,VAR_2,NTP_0,NTP_1,NTP_2,CRESCENT TMP,CRESCENT HUMIDITY,CRESCENT VIS,LEMOORE TMP,LEMOORE HUMIDITY,LEMOORE VIS,HANFORD TMP,HANFORD HUMIDITY,HANFORD VIS,PASOROBLES TMP,PASOROBLES HUMIDITY,PASOROBLES VIS
15/04/2020,76,0,0,1,0,0,63,0,1,29,0,1,17,5,71,1,1,0,470,0,1,0,0,2,0,0,13,0,0,77,0,1,0,0,37,0,0,83,26,27,3,26,29,127,5,0,0,0,5,8,17,1,0,0,56,1,15,1,0,0.032522406,0.17740825,0.023973542,0.007990627,18.1800251,10.64449499,5.322126338,2.213403773,0.015717944,0.123226515,0.000219064,3.40E-05,60,222,277,55.04,10.01079094,16093,75.92,0.166799862,16093,77,0.182155577,16093,75.02,1.371008749,16093
16/04/2020,43,0,0,0,2,0,16,0,0,14,0,1,10,0,32,0,1,0,337,0,13,0,0,3,0,0,8,1,0,49,0,1,0,144,26,2,19,82,6,24,5,20,21,40,0,0,0,0,1,3,14,0,0,0,20,0,19,14,0,0.031401432,0.192218324,0.023163314,0.008916918,19.65729649,11.53309945,5.003275887,3.12092115,0.015598295,0.134538152,0.000241053,4.59E-05,60,216,350,51.98,35.64127993,16093,80.06,0.099529521,16093,80.06,0.124853937,16093,75.92,0.824074042,16093
17/04/2020,56,0,0,0,0,0,17,0,1,30,0,0,16,0,13,5,0,0,546,0,3,0,0,3,0,0,11,5,0,76,0,0,0,352,17,3,36,75,39,6,2,30,20,37,2,1,0,0,28,9,10,0,0,0,10,0,12,9,0,0.030863515,0.162604389,0.024479238,0.009392598,18.54897222,9.756263333,6.021892587,2.770816304,0.013031347,0.111213095,0.000222572,5.22E-05,60,246,295,53.06,50.12071102,16093,82.94,0.358867607,16093,78.98,3.560012236,16093,59,20.04906789,16093
18/04/2020,51,0,0,0,1,0,37,0,0,16,0,0,12,1,32,2,0,0,621,0,0,0,1,4,0,0,0,3,2,55,0,1,0,0,18,0,187,71,79,29,4,41,19,0,3,0,0,0,0,8,19,1,0,0,15,0,20,1,0,0.035545724,0.227858226,0.023775966,0.01055505,22.28716921,13.67149353,4.731417181,3.884258494,0.018484218,0.15299021,0.000238356,5.74E-05,60,199,368,53.06,50.12071102,16093,64.94,10.45551483,16093,62.96,31.53421913,16093,60.98,12.79737329,16093
19/04/2020,50,0,0,0,0,0,8,0,0,4,0,0,0,0,13,8,0,0,320,1,2,0,0,4,0,0,17,0,0,80,0,1,0,181,11,0,67,55,20,15,1,0,12,0,3,0,0,0,0,0,15,0,0,0,14,0,6,11,1,0.036688992,0.213832673,0.023612004,0.009595064,20.65590268,12.82996039,5.052968917,2.772973374,0.01888897,0.142704742,0.000241978,4.49E-05,60,214,289,53.51,39.91924856,16093,69.08,4.227067491,16093,64.94,20.29316679,16093,60.98,10.49667702,16093
20/04/2020,29,-1,0,0,0,0,14,0,0,0,0,0,5,0,20,2,0,0,1482,0,6,0,0,0,0,1,5,1,0,40,0,0,0,209,15,0,120,55,59,13,0,82,9,52,2,0,0,0,11,1,5,1,0,0,11,0,6,0,0,0.033665839,0.198288855,0.023654713,0.007891727,19.49252074,11.89733133,5.251346357,2.34384305,0.016808,0.132289637,0.000236361,4.09E-05,60,222,297,53.96,21.05914207,16093,75.92,1.794997334,16093,73.94,2.696301471,16093,62.96,16.53029934,16093
21/04/2020,48,0,0,0,0,0,42,0,2,36,0,0,15,0,28,2,0,0,1330,2,4,0,0,2,0,0,7,0,2,15,0,1,0,0,14,0,83,57,15,21,2,15,22,0,2,0,0,0,0,1,6,0,0,0,0,0,15,5,0,0.036681404,0.212133212,0.024542156,0.008761305,20.9450814,12.72799274,5.81649103,2.400597632,0.018630708,0.143289008,0.000245537,4.39E-05,60,237,274,53.06,35.22894135,16093,64.94,3.440744887,16093,66.02,10.89244668,16093,62.06,12.88554325,16093
22/04/2020,1,1,1,0,0,0,14,0,1,20,0,0,20,1,12,0,0,0,1294,0,1,0,0,1,0,0,2,6,0,62,0,0,0,113,17,1,0,166,2,11,0,23,13,40,3,0,0,0,1,10,4,0,0,0,19,0,8,4,0,0.029016369,0.165282969,0.024303079,0.008212209,18.88965629,9.916978132,6.221588122,2.751090035,0.01212388,0.110830158,0.000248992,3.97E-05,60,256,335,55.04,21.76037828,16093,73.94,1.566259264,16093,73.04,3.661187205,16093,73.04,5.166507647,16093
23/04/2020,110,0,0,0,1,0,7,0,1,48,1,0,37,0,16,3,0,0,1090,3,9,0,0,7,0,0,4,3,-2,74,0,3,0,258,16,2,119,152,69,27,15,8,22,25,3,2,0,0,10,2,15,18,0,0,12,0,14,5,0,0.031810319,0.176347466,0.023431953,0.008604403,18.22731275,10.58084797,5.108165806,2.538298968,0.015296395,0.122901874,0.000274038,3.82E-05,60,218,295,53.96,100,3218.333333,82.94,0.64319307,16093,82.04,1.79958113,16093,78.08,1.639881888,16093
24/04/2020,51,0,0,0,0,0,16,0,2,24,0,1,19,0,36,12,0,0,1008,0,3,0,6,2,0,0,15,1,1,18,0,3,0,97,32,0,58,183,38,8,14,23,9,31,1,2,0,0,8,23,13,0,0,0,19,0,11,6,0,0.038763788,0.226863349,0.023189704,0.009315115,20.81615393,13.61180091,4.614751127,2.589601897,0.021535852,0.153738268,0.000246595,4.18E-05,60,199,278,51.53,77.69969887,603.5,82.94,0.792438964,16093,84.02,0.701955963,16093,80.06,2.250767912,16093
