Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,203.79541,11.854674,14.631251,8.23876,-1.9446821,98.51052,-11.218276,-3.547164,228.35219,3.7678087,7.6509976,15.188156,4.3434052,139.67262,30.281757,-0.28690967,9.445496,1421.718,31.796026,13.270803,4.3875895,-15.09358,22.476742,6.727194,6.015895,36.16832,5.9282722,0.09309481,363.89078,63.03539,15.764476,281.9862,240.22206,16.073187,352.67798,247.80206,87.33208,130.64319,4.545289,48.333553,47.881275,147.22517,9.224165,11.518394,0.5287061,31.950176,39.665794,192.10054,6.3974786,-1.6649982,-9.158431,52.557777,-1.9252601,94.62293,8.616935,13.558199
2020-09-02,201.40694,11.856734,14.531559,8.23463,-2.0005286,97.40867,-11.204722,-3.5836425,225.91566,3.843388,7.5513034,14.886837,4.3699355,138.27513,29.897404,-0.33181137,9.374592,1403.7466,31.447948,13.116742,4.2877765,-15.05729,22.143923,6.7429895,6.0135107,35.777096,5.96184,0.12179528,359.86066,62.219246,15.646238,278.85812,237.90509,15.953901,349.14954,244.5467,86.18463,129.58629,4.4639535,47.603683,47.319965,145.62077,9.081033,11.469517,0.5436011,31.459078,39.124775,190.36368,6.3607936,-1.5769129,-9.074562,51.900017,-1.8354402,93.62077,8.617344,13.448602
2020-09-03,199.14369,11.914787,14.47881,8.326479,-2.1375105,96.334145,-11.377545,-3.619588,223.37819,3.9678352,7.6489177,13.770334,4.413226,135.90376,29.236547,-0.4165097,9.405004,1376.1042,31.233597,12.998829,4.3372283,-15.200826,21.84572,6.791464,6.0810614,35.462162,5.9827957,0.20258567,352.61447,61.59409,15.917318,272.72995,236.02718,16.089798,343.11093,239.52858,85.11568,127.54308,4.2647243,46.96276,46.385174,144.09871,9.0135355,11.530176,0.55354875,30.99919,38.784435,188.3884,6.4957633,-1.5226957,-9.200317,50.91454,-1.8579947,92.2078,8.590623,13.352166
2020-09-04,194.39165,11.946589,12.6745205,9.405389,-3.9261916,92.52067,-11.012365,-3.181197,215.42583,4.0130367,7.308816,12.862314,3.6344926,129.0175,26.672256,-1.2592943,9.439098,1335.8625,29.118519,11.124344,3.7872503,-13.980098,19.58788,7.199568,5.558655,33.30179,5.3708367,1.8166605,339.77133,58.58726,15.246294,261.62204,230.55553,16.27498,331.60117,230.56445,81.53276,120.33919,3.8154066,44.451252,43.233376,138.76709,7.1449037,10.623603,0.5985116,29.666277,37.543655,182.02634,5.9154263,-0.7193599,-9.639232,47.95971,-1.7491078,87.6844,8.37906,11.661019
2020-09-05,200.12193,8.727031,9.549226,7.4084806,-2.4779003,97.08885,-10.36785,-2.7687676,227.4074,3.9168086,4.949948,14.385582,2.0724168,134.97878,26.981277,0.67981505,8.677628,1358.3654,26.280136,11.0727,4.5783963,-21.541786,16.627882,6.0142665,6.7810736,36.46194,8.622811,-1.3941613,354.63858,61.142216,18.103525,274.77832,241.88501,15.961026,346.23877,241.30737,84.54764,124.61485,0.16340171,49.880844,40.958004,146.45207,7.2493877,10.126907,-3.8122737,26.925684,42.06888,189.54283,8.231174,-2.2414038,-15.800452,46.772373,-3.67054,85.739815,7.3580728,7.039386
2020-09-06,193.43787,8.2152195,8.416157,7.5500164,-2.7239234,93.909744,-11.121956,-3.1756203,218.35577,4.5331955,4.776326,9.411316,1.6123246,125.491905,23.580288,0.6841296,8.879632,1264.0125,25.320795,11.167976,4.705605,-22.314325,15.527861,6.1942863,7.197487,36.633343,8.851766,-1.5526812,329.3971,59.351246,19.47041,252.39478,236.32896,16.708147,323.63123,224.10132,81.47754,116.2637,-0.4016039,49.244038,36.797966,141.32742,7.391037,10.515041,-4.2833467,25.259989,41.747677,183.35648,8.902319,-2.5399528,-17.277056,42.153454,-3.591281,79.070366,7.329091,6.3978434
2020-09-07,197.10062,16.000338,11.467309,2.8939977,-7.4026847,102.34578,-5.0980577,-10.576611,241.43721,16.590155,4.234432,16.903698,8.547729,141.70035,18.073332,-2.1640496,6.1389737,1385.819,26.183487,21.260157,-0.75323564,-25.083662,16.262543,3.3860307,13.258112,34.03148,13.011409,-4.8956895,359.8319,52.400715,28.012701,281.33923,254.72136,19.27501,349.86093,230.0557,77.32994,129.9378,-4.7005396,43.129673,39.795494,148.71043,5.667574,31.020079,-10.811924,27.37193,31.214823,187.39754,15.40475,4.14389,-33.76317,48.938656,-6.2986,84.61246,-5.398347,-3.0697062
2020-09-08,192.0307,15.410122,10.6225395,2.8866594,-7.261675,99.276566,-5.323461,-10.223343,233.81946,16.084757,4.4551673,15.78433,8.254795,135.64804,16.89314,-1.9405061,6.1397214,1341.6699,24.951702,20.572735,-0.40097934,-25.181747,15.303889,3.364942,12.991151,33.106,12.8486185,-5.0271072,346.57083,50.802578,28.032963,270.14822,247.153,19.177666,336.20383,223.08855,75.274254,123.93746,-5.0455427,42.277203,37.65437,144.0845,5.295394,30.165613,-10.790607,26.283869,30.8197,180.78008,15.402359,3.909654,-33.66943,46.631203,-6.384978,81.33565,-5.4657493,-3.485821
2020-09-09,188.72444,14.966745,10.2154255,2.859235,-7.0155025,97.23462,-5.376041,-9.9354925,228.82059,15.596332,4.455145,15.633076,8.02054,132.62682,16.497925,-1.7776955,6.0986814,1321.8984,24.24195,20.042444,-0.25816488,-24.83562,14.816323,3.3183177,12.670226,32.465626,12.553626,-5.011096,340.7149,49.760464,27.557016,265.4305,241.70985,18.833523,329.60605,220.0926,74.02225,121.028366,-4.963067,41.635963,36.790173,141.049,5.1165004,29.367052,-10.560443,25.674772,30.392021,176.82877,15.133632,3.732051,-32.997257,45.548374,-6.3163543,79.80615,-5.3313017,-3.4813855
2020-09-10,169.83852,6.689475,5.3214116,6.418069,-3.0326812,84.27693,-10.212242,-2.4500797,192.71713,3.8198435,4.098452,8.078949,0.38780326,112.25232,20.293585,0.10568501,8.088369,1153.672,21.492723,9.782836,4.3883963,-20.533016,12.251568,5.6050863,6.5083838,31.475533,6.5444517,-0.93081236,298.1345,52.813892,18.428665,229.92929,207.2502,14.799669,290.75574,200.85953,71.78699,103.44334,-2.1559093,44.73456,31.981993,124.67677,4.331105,8.560178,-3.8180919,20.729246,38.185463,161.59224,7.968953,-1.9446467,-16.18889,36.952946,-4.090604,68.28011,5.541889,2.481471
