Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,162.84256,-3.2553773,-6.046709,-5.364603,5.702703,40.08697,7.961068,6.4536076,84.73198,-8.884931,7.15191,68.16188,0.0037400667,69.70555,14.053399,6.3036556,-0.085632175,2001.3527,-7.4037337,2.8589857,4.043527,-3.118913,-7.03378,-0.9754963,-2.3406296,1.8499562,0.94770133,-9.683316,414.79163,16.918434,-2.8642879,321.96835,33.65644,-0.22683953,245.95088,379.1722,63.179523,38.17435,-0.9762733,36.25434,22.412388,47.530308,-3.588178,-1.6523513,-5.09223,18.96021,38.478416,39.46098,-0.3271945,-4.887638,-3.6072083,27.695404,-2.9556072,75.60549,-10.032389,-1.7959028
2020-05-19,159.68616,-2.514703,-5.306016,-4.738755,5.3408546,43.01724,6.882333,5.9827576,93.565735,-8.260345,6.6117887,64.36171,0.43889692,75.51512,15.399954,6.4556785,0.048350796,1930.2635,-5.042686,3.4891644,3.9311578,-3.482775,-4.490669,-0.4926233,-1.8974851,4.5403047,0.90013635,-9.010298,406.29877,19.39182,-2.5118163,317.99402,47.658756,0.005259447,255.31953,362.4675,62.304703,46.716427,-0.20531914,34.97869,24.692318,52.69398,-3.2021718,-1.2659032,-4.799802,19.168262,36.47124,49.43737,-0.10749273,-4.354704,-3.3105965,29.967388,-2.4554484,74.55067,-9.006864,-0.50857824
2020-05-20,161.25264,-2.2561252,-5.030869,-5.0369797,5.7985044,44.2831,6.8885965,5.9055696,96.10975,-8.517965,6.9195275,65.553085,0.6735615,77.67394,16.68633,6.579529,-0.09417625,1934.4231,-4.619609,3.7027123,4.171496,-3.8369975,-4.252053,-0.7059895,-1.9195131,4.7256584,1.2952359,-9.682741,407.9099,19.758444,-2.360558,320.15176,50.355103,-0.053718895,259.5576,363.47385,62.377335,48.88808,-0.44515267,34.959538,25.88933,54.31095,-3.14761,-0.98033357,-5.1872063,19.85352,36.378178,51.431313,0.15946396,-4.62788,-4.0164404,30.796705,-2.8107388,75.46441,-9.305274,-0.69433814
2020-05-21,158.52425,-2.5594199,-4.4870048,-4.5986814,5.355117,43.396324,7.110565,5.6606545,94.45632,-8.003896,6.0622706,63.538082,0.12728932,77.05143,16.024464,5.7262897,0.049736843,1901.867,-3.8344421,3.8266878,3.5769904,-3.1130617,-4.1756716,-0.78718877,-1.9692265,4.842564,0.83074546,-8.359515,404.77567,19.60588,-2.5714471,317.36154,48.79924,0.11268292,256.2525,357.74945,61.8003,48.281227,0.31797478,35.10708,25.209846,54.079693,-2.3933918,-1.0188731,-4.5837035,19.12281,35.795765,51.864277,-0.46320456,-4.5057826,-3.297543,30.037432,-2.592103,74.87255,-8.408656,-0.19063665
2020-05-22,159.33571,-2.4531763,-4.379318,-4.5473166,5.360515,44.07526,7.0510774,5.6045985,96.16589,-7.950398,6.03236,63.57263,0.18979383,78.3259,16.337206,5.684115,0.1275599,1907.4774,-3.5094676,3.892351,3.5703917,-3.2271163,-3.9454765,-0.7637594,-1.8836961,5.123247,0.85227823,-8.314796,406.8283,20.07518,-2.467006,319.28748,50.634937,0.1924199,259.10062,358.502,62.131844,49.554245,0.34991938,35.327427,25.648235,55.16993,-2.3288624,-0.9227281,-4.539379,19.291578,35.90927,53.40798,-0.4099536,-4.4893446,-3.35345,30.50196,-2.6053636,75.328804,-8.3193445,-0.120997414
2020-05-23,159.98729,-2.6261582,-4.7838645,-4.6809025,5.4201684,43.17926,7.2121243,5.7753544,93.70361,-8.120562,6.291732,64.375336,0.17512554,76.42591,15.727798,5.8374424,0.05012431,1925.3755,-4.372577,3.7104201,3.675423,-3.2762163,-4.7064934,-0.821527,-1.9958661,4.4495554,0.8614669,-8.573762,408.41827,19.216017,-2.499472,319.7332,47.23281,0.15035278,256.39474,362.44528,62.220787,47.17954,0.14538717,35.36101,24.866667,53.49525,-2.6384237,-1.0415643,-4.6902785,19.086845,36.289566,50.681015,-0.3679325,-4.5771484,-3.4901888,29.73218,-2.6972523,75.37065,-8.678902,-0.44728482
2020-05-24,162.64566,-2.26063,-4.94113,-5.054763,5.77078,45.070465,7.0496154,5.910322,97.92652,-8.508621,6.7791405,66.219025,0.65602815,79.762436,17.125587,6.5254307,-0.12245022,1954.1875,-4.276445,3.8847988,4.109817,-3.7363367,-4.0465703,-0.73966384,-1.8885192,4.9649787,1.2251036,-9.56131,413.66183,20.109121,-2.420923,325.15292,51.679886,-0.05766891,264.50192,366.8873,63.033558,50.748737,-0.20563176,35.335537,26.547907,55.514355,-3.0167944,-0.92926747,-5.200959,20.10726,36.69061,53.11974,0.08906896,-4.648177,-4.043319,31.38936,-2.7890604,76.49632,-9.2222595,-0.57409894
2020-05-25,163.8609,-2.2061448,-4.8128433,-5.025646,5.7739496,46.02372,7.128842,5.8193917,100.39075,-8.44984,6.47689,67.288,0.6891636,83.15059,18.078228,6.5179744,-0.09940816,1976.4244,-3.8410766,4.164986,3.9426074,-3.5969143,-3.6271906,-0.6756227,-1.8838639,5.3416185,1.3492118,-9.37572,421.5214,20.506496,-2.605601,332.39468,53.522823,-0.18043636,271.95807,370.63348,63.705757,54.179825,0.11272216,35.561806,27.750896,57.0688,-2.8360064,-0.92974687,-5.120893,20.364023,36.62674,55.83875,-0.046384975,-4.5026712,-3.8984704,32.45769,-2.5752013,78.06972,-8.961804,-0.3045071
2020-05-26,165.31773,-2.4506545,-4.7393727,-5.1577406,5.834123,46.70555,7.553778,5.8975186,101.925354,-8.584702,6.0879498,68.86372,0.4937716,85.77558,18.946983,6.548097,-0.25444925,2004.318,-3.608532,4.433356,3.78272,-3.0570097,-3.3239374,-0.74422836,-2.048724,5.506558,1.2875983,-9.166397,429.4943,20.756842,-3.132824,339.468,53.78656,-0.52493083,278.03534,375.8537,64.62125,56.575428,0.5192998,36.04384,28.852644,58.01398,-2.628862,-1.141746,-5.1587234,20.782595,36.84029,57.28566,-0.39606988,-4.4482937,-3.553974,33.48324,-2.3987808,79.62481,-8.940303,-0.11495508
2020-05-27,166.62231,-2.4987845,-4.620091,-5.195015,5.882501,47.529408,7.642541,5.881688,104.116394,-8.62515,5.8694115,69.30801,0.41156828,87.92022,19.41594,6.529248,-0.31301743,2019.216,-3.2710154,4.611157,3.710611,-2.9370055,-3.0870008,-0.7765963,-2.0884678,5.860732,1.1629527,-9.084572,434.4979,21.12306,-3.328935,343.95895,55.77293,-0.62320864,283.31815,378.26886,65.173096,58.732323,0.7831029,36.253506,29.573982,59.33973,-2.4984674,-1.1580213,-5.185746,20.955786,36.79398,59.44365,-0.5586671,-4.462664,-3.4228673,34.14528,-2.367603,80.59625,-8.865457,0.045678876
