Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,189.16849,7.1179657,8.975965,-3.878884,-7.528304,84.44147,-4.4200044,-0.8382785,182.24695,-2.6628387,5.8975472,40.210644,2.839205,122.781105,31.37259,-0.74940693,1.4286944,1561.8622,20.96546,16.292522,-3.5495675,1.8532127,20.990149,4.1836634,-0.033455078,27.395176,9.791347,-1.2629104,370.4423,54.14531,-6.986364,302.4146,162.1336,0.83461225,333.68243,293.6513,77.77422,112.35328,7.9469404,45.37238,43.69149,117.56606,6.6788363,5.696779,0.9054594,39.285305,28.849567,133.89548,1.322249,-3.8308854,2.0179796,55.351456,-0.32568744,80.81895,6.0139885,17.543732
2020-09-02,189.68149,7.125569,8.705449,-3.4281285,-7.8895183,83.863434,-4.2588434,-0.6158001,180.0827,-2.7337012,6.2216916,41.47983,2.817654,120.01686,31.042816,-0.9275719,1.8403873,1570.9619,20.544975,15.887189,-3.7079055,1.6653998,20.603188,3.9345403,-0.47284386,26.643269,9.89237,-1.2561537,369.86588,53.44198,-7.1923504,300.80487,158.77553,0.30089486,330.1605,295.83133,77.49115,109.59136,7.3232126,45.551403,42.449284,115.399445,6.406362,5.2594757,1.2148567,39.162914,29.585644,130.08733,1.7203425,-3.5681522,1.8251708,54.657627,-0.397876,79.26871,5.37757,16.870209
2020-09-03,189.1748,6.519501,8.681822,-3.7106924,-7.5994163,82.65626,-4.610287,-0.9168491,178.59454,-2.5164883,5.3689203,40.910454,3.0237002,118.631996,30.5669,-0.3859226,1.7146301,1567.361,20.249092,15.719974,-4.1294546,1.7769163,19.987518,4.367801,-0.039745923,25.84838,9.728292,-1.0018256,367.459,53.05339,-7.5040956,298.35843,157.2104,0.99612033,326.24756,295.76932,77.35508,107.63207,7.374281,45.379,41.795677,114.49108,6.2382975,5.8011913,1.3628176,39.322796,29.27135,128.91003,1.0493361,-4.435264,2.2737498,54.431095,-0.81145895,79.24702,6.0844584,17.14987
2020-09-04,186.69232,7.089464,8.993993,-3.9259427,-7.092182,83.72145,-4.231259,-0.84669286,181.49585,-2.5371935,5.9247575,38.540382,2.7563713,122.08593,30.843334,-0.96812737,1.227349,1527.1223,21.06019,16.012941,-3.1167636,1.9287983,21.1922,4.061396,0.028104426,27.417227,9.539743,-1.4355986,364.70602,53.86223,-6.688406,298.22668,162.28828,1.192899,331.02063,287.43787,76.98938,112.187,8.119689,44.515163,43.26766,117.16808,6.8693633,5.651013,0.6236868,38.60505,28.50597,134.13518,1.2515813,-3.5824137,1.941726,54.48514,-0.20415789,80.066,5.86558,17.392488
2020-09-05,184.09572,6.520608,8.048018,-3.4846575,-7.976916,79.9473,-4.569814,-0.5709103,170.74533,-2.588683,5.9615493,41.79139,2.7438624,114.05079,30.150742,-0.62849253,1.7348771,1547.3401,19.184187,15.327593,-4.0037446,1.6048514,18.914333,4.1833577,-0.30759045,24.86926,9.541638,-1.0778036,359.19055,50.989075,-7.4705644,291.0183,148.65813,0.35765785,315.13815,291.95236,75.05373,102.93274,6.903303,44.365616,40.648552,109.202354,5.626647,5.455853,1.5184073,38.369045,28.597994,122.02594,1.4327265,-4.235123,1.874825,52.816048,-0.88345414,76.81142,5.4766116,16.244785
2020-09-06,177.35612,5.675112,8.056164,-3.5894961,-6.7595406,76.11316,-4.7754183,-0.8329045,164.40172,-2.25336,5.288732,38.75691,2.9022007,109.291046,28.859692,-0.3402282,1.0844964,1469.0835,18.840637,14.696055,-3.6703,1.9679395,18.32817,3.9201508,0.27449197,23.947493,8.863303,-1.6169739,340.23468,49.24176,-7.092682,275.77686,143.53693,1.5884516,299.83112,278.1627,72.3852,98.253555,7.26017,42.53427,38.72606,104.99032,5.8194394,5.75668,0.7472339,37.081146,27.813263,117.77257,0.48852593,-4.0828953,2.1850877,51.00544,-1.366993,74.13009,5.7325463,16.119413
2020-09-07,170.3333,5.6658216,8.147186,-3.5231366,-6.35582,73.09016,-4.5511804,-0.8088713,157.73969,-2.254129,5.639746,35.4141,2.642237,103.32827,27.06438,-0.78874046,0.70615566,1379.7863,18.354622,13.714627,-3.07102,2.1097343,17.782112,3.4783056,0.30019036,23.292141,8.363584,-1.831309,318.4285,47.68171,-6.5815825,257.5722,138.72137,1.8287816,283.39267,261.54596,69.7701,93.01133,7.3824873,40.65317,36.482,100.517624,5.8308396,5.4558225,0.53753954,35.456264,27.11001,112.64042,0.6114669,-3.6355722,1.8285067,48.208958,-1.4390348,70.61437,5.2075458,15.690066
2020-09-08,166.0426,5.1768136,7.9363937,-3.3274333,-6.224943,69.9771,-4.6813293,-0.8255349,150.84578,-2.121139,5.270525,34.844894,2.78251,97.96245,25.907396,-0.4339495,0.64534944,1342.3124,17.417995,13.097062,-3.3768103,2.1126928,16.59447,3.3894482,0.43459266,21.928148,8.006846,-1.857642,305.6211,45.81339,-6.6930723,246.0624,131.82695,1.9320588,269.38348,255.05144,67.834915,87.26597,7.092831,39.806175,34.483376,95.755486,5.462286,5.388464,0.6719591,34.69927,26.742947,106.284966,0.3132532,-3.8194604,1.9640844,46.57064,-1.8353895,68.06817,5.16869,15.288025
2020-09-09,163.57567,5.298086,8.268237,-3.2079544,-5.7161813,69.53207,-4.3695164,-0.85332257,150.76465,-2.0635033,5.3235373,32.487656,2.781142,97.178276,25.129877,-0.6507271,0.4286852,1291.6859,17.696972,12.755675,-2.9229453,2.2431564,16.990292,3.0133157,0.46446487,22.236046,7.7404804,-2.1244588,296.38947,45.74909,-6.224771,239.00435,133.3865,2.1809587,265.67575,245.6001,67.08491,87.22148,7.3853536,39.044865,33.893543,95.773865,5.880351,5.1260114,0.31718335,33.92292,26.623793,107.00938,0.324468,-3.2297611,1.8684614,45.65813,-1.6376156,67.00292,4.890135,15.284297
2020-09-10,163.59192,5.256368,8.330092,-3.0950055,-5.522873,69.62297,-4.2776055,-0.8586187,151.51231,-1.9793584,5.1547637,32.307014,2.907246,97.79843,25.113796,-0.5444051,0.44381106,1286.9563,17.813604,12.796781,-2.925675,2.2438676,17.165915,2.9244175,0.47809434,22.334772,7.6723013,-2.2307122,296.52963,45.78171,-6.160336,239.38737,134.3493,2.2549458,266.63348,244.88214,67.09839,87.94321,7.420021,39.037663,33.96615,96.30103,6.0303326,5.0557876,0.19570461,33.844437,26.68297,107.89475,0.22662367,-3.0494606,1.9651465,45.760937,-1.5666653,67.10717,4.869853,15.274776
