Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,151.25125,-1.2610618,-4.341463,-0.72012573,-9.399858,47.707508,-6.4083705,2.3538158,94.448,1.1421938,1.4381398,76.98381,4.099636,86.18458,33.606495,5.140343,4.0722885,1860.5681,4.8370676,14.652197,-9.130622,-0.9444268,3.1518552,8.172083,-0.97324485,6.399371,6.8091116,-0.46811983,398.91547,24.911001,-13.17164,318.87247,44.7343,-2.7478967,256.02353,362.82584,56.520863,64.4516,-1.3589932,38.888977,34.833683,58.114967,-3.2107358,6.2130256,4.78693,34.66403,21.005102,55.52105,-1.958266,-10.052974,4.097974,46.672363,-3.5610826,66.88573,5.1565337,4.7387958
2020-05-19,155.37874,-2.3351183,-1.5082533,-0.36538017,-7.235298,54.218266,-4.378529,0.9670332,105.505035,0.42741972,-1.0474377,80.402954,2.5719619,100.268745,36.936684,6.104106,3.6942313,1883.006,6.7738743,14.305581,-8.303506,1.2924395,4.1519833,8.419128,-1.0313629,8.162083,7.7062893,3.7365408,419.9231,28.252602,-10.963736,337.6945,59.063873,-3.3556788,279.26868,368.7935,58.48288,78.76039,-0.5575458,40.25562,40.493717,70.51044,-0.384189,6.303762,7.230058,35.015423,21.025991,70.46024,-1.6969315,-11.724945,3.8524609,49.838432,-2.328075,74.33035,6.881612,5.4729104
2020-05-20,158.54218,-2.142574,-1.4765468,-0.30404216,-7.2277308,56.210453,-4.2577972,1.0472488,110.33436,0.4730527,-1.0304272,81.34035,2.6903062,104.393745,37.855377,6.139885,3.8292992,1913.9451,7.351332,14.811888,-8.298151,1.2115567,4.957905,8.41852,-1.1193118,8.980696,7.865099,3.587581,430.32416,29.310774,-10.956192,347.05035,63.564404,-3.4324498,289.64468,374.5202,59.759636,83.003685,-0.48418343,40.980408,41.91076,73.79124,-0.11740184,6.238714,7.061189,35.529045,21.402435,74.86051,-1.6650532,-11.462009,3.929665,51.225166,-2.0382116,76.1394,6.8977547,5.631486
2020-05-21,158.99416,-2.1077843,-1.4676723,-0.29568493,-7.2225847,56.513836,-4.2330723,1.066706,111.103935,0.47925186,-1.0226359,81.45416,2.703278,105.043,37.99657,6.1393867,3.8518512,1917.9369,7.4557,14.8902235,-8.292095,1.1941109,5.090851,8.41341,-1.1376776,9.117563,7.890318,3.569436,431.81094,29.4784,-10.94502,348.40973,64.310616,-3.4539173,291.22635,375.24832,59.94757,83.68669,-0.47088826,41.083538,42.12472,74.312614,-0.07447922,6.2294116,7.0298657,35.60499,21.460735,75.57349,-1.6535085,-11.411396,3.9378757,51.44166,-1.987565,76.398544,6.8940473,5.6563215
2020-05-22,162.83084,-1.8416789,-1.3717668,-0.2481154,-7.235196,58.95425,-4.094852,1.1345768,116.87881,0.48513386,-0.9723782,82.51361,2.8192556,109.859344,39.068302,6.144991,3.9911344,1954.3629,8.152148,15.485176,-8.257273,1.1372107,6.042088,8.413655,-1.2416486,10.130546,8.114355,3.427898,443.84265,30.804377,-10.920474,359.1907,69.769936,-3.5801237,303.38638,381.8957,61.51249,88.66103,-0.34153974,41.97908,43.800266,78.231895,0.25515372,6.16133,6.850094,36.256493,21.92151,80.78496,-1.5774949,-11.113375,4.0107026,53.083866,-1.6461635,78.54544,6.923189,5.8979125
2020-05-23,164.37233,-0.53037095,-0.2275306,-0.20110829,-6.5041385,62.89844,-3.6432915,1.2551677,128.45891,0.5382411,-0.33055878,77.60886,3.3276176,117.73109,39.25255,5.689322,3.4969294,1895.7855,10.310425,16.503021,-7.3307137,1.0962522,9.071379,7.4234424,-1.0375307,13.6993,7.8786535,1.8173577,440.73865,33.724052,-9.856808,360.07132,85.60776,-3.1514764,316.96158,368.918,63.060104,98.379295,1.0741302,42.19154,46.135075,86.20213,1.70527,5.574254,5.0536633,36.03999,22.193602,93.49085,-1.5354785,-8.807729,4.012827,54.76824,-0.6857919,80.5287,6.5371804,7.1841774
2020-05-24,167.83066,0.5250126,1.4407513,0.7563497,-4.734395,68.40759,-2.263792,1.3964546,143.78143,0.50555265,0.25344467,73.78206,3.6634607,127.861534,40.186306,4.9861765,3.218416,1831.6237,13.459543,17.133572,-5.7302046,1.4900911,13.274542,5.474107,-1.3986425,17.769756,7.81036,0.17206566,441.65588,37.198906,-7.9787455,364.80762,105.03281,-2.9152281,336.6268,356.23083,64.72344,111.30511,2.2729492,42.69976,48.636898,96.47815,4.311159,4.203837,3.0262618,35.39295,24.034847,108.7179,-1.2167851,-5.177937,3.7819352,56.938732,0.7065448,82.21222,5.341002,7.752653
2020-05-25,171.80354,1.062358,-0.35558832,0.9200551,-6.108477,65.50676,-3.6397624,2.302375,142.20718,1.2731105,1.5076365,71.00923,5.3416815,117.788765,37.081158,4.482177,4.1391134,1840.0273,12.680901,17.044207,-6.8531947,-0.2853766,13.322195,5.1276655,-1.5428861,16.179356,7.3390617,-3.0664837,432.63992,36.078003,-10.084452,355.06152,100.19342,-1.939671,325.86926,357.92532,65.64063,101.32491,1.2679404,43.03091,43.05712,90.28234,2.5631511,3.9574862,1.261068,35.981293,26.225391,100.13392,-1.6564485,-3.8210008,4.410039,55.163876,-0.3466026,76.686806,3.9061823,7.2783747
2020-05-26,169.46533,1.7557316,1.5543993,-0.12544711,-3.9249606,69.237076,-3.1387053,1.5781679,155.66672,1.5455718,0.85482895,61.841225,5.4477477,128.55498,36.846264,4.263348,2.6273139,1723.49,15.481878,17.793304,-5.2072825,0.51844585,16.572922,4.9488397,-0.36594647,20.209051,6.7105,-3.7082963,423.36865,39.841583,-8.348098,352.52655,121.18217,0.17904101,340.05743,334.66876,66.8372,114.282585,3.9497166,41.687492,46.58973,101.4389,4.7763386,4.531415,-0.5013218,35.218304,24.561909,119.05925,-2.5430892,-2.9423895,4.729408,56.346607,0.6784063,80.78355,5.052129,9.607717
2020-05-27,171.37537,1.9675514,-0.26819623,0.41531777,-5.7216587,68.34055,-3.1268196,2.4744935,148.97894,1.2302614,2.510357,69.214066,4.7793984,124.74099,38.211555,3.3862045,3.6674204,1830.2137,13.999149,17.645956,-5.3894906,-0.18065351,15.24312,5.0956807,-1.6392442,18.479149,7.3410664,-3.4066818,440.6311,37.89553,-9.249714,364.61078,108.67287,-1.7696128,340.93182,355.2262,66.33864,109.76808,2.136242,42.296757,45.969032,95.64715,3.26607,3.9471257,0.5022227,35.58393,25.350466,109.30856,-1.1454607,-3.0397842,3.8469331,55.912266,0.6105619,79.206505,3.6082087,7.4940615
