Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,200.3198,3.9691484,22.197382,2.4550076,5.6037445,105.84846,0.88883895,1.9744736,226.92311,1.184906,6.378728,28.262646,0.77689135,145.23384,33.054142,1.59966,0.878148,1495.8894,38.185085,16.873487,0.7103757,4.7667494,31.634035,-0.0837725,-0.2583387,40.274372,4.0182304,3.1074624,376.1583,65.68887,-0.9977134,298.7665,232.39143,6.433404,381.54486,251.17928,92.79914,143.62949,16.761805,56.718918,50.843864,151.27742,16.002554,5.206284,-0.64358896,42.7589,41.943405,192.96198,-0.0017486778,0.8361774,-0.7948461,58.560944,0.96755797,92.48681,3.8505545,20.157188
2020-09-02,202.33731,4.2688394,22.33243,2.3839436,5.548171,107.88439,0.9138412,2.0384686,232.56929,1.2252454,6.4405813,30.189144,0.9370283,151.2584,35.140907,1.578669,0.8598536,1537.3281,38.854107,17.280025,0.6985949,5.3063917,32.72319,-0.08843124,-0.1792434,40.97293,4.271348,2.9662712,387.46826,67.78087,-1.0172725,309.79782,237.32765,6.3807626,394.34332,256.9972,93.96222,148.99352,16.647121,57.629547,53.103302,155.06148,16.337824,5.276864,-0.539823,43.83737,42.842194,197.10187,0.012157477,0.8126147,-0.6952998,61.301964,1.0385562,93.7957,3.9574234,20.320713
2020-09-03,202.28667,4.324034,22.282312,2.3236427,5.531086,108.22308,0.9298021,2.0694876,233.6621,1.2344187,6.398924,30.405851,0.9783756,152.59854,35.54532,1.5719563,0.8760673,1539.9249,39.03519,17.365227,0.69165707,5.406659,32.996243,-0.0829246,-0.16854514,41.07919,4.3105774,2.9246433,389.10483,68.25698,-1.0268227,311.66537,238.36253,6.385505,396.69662,257.35748,94.067604,150.11667,16.600721,57.772476,53.53842,155.82288,16.361284,5.269681,-0.5464138,44.013863,42.960243,198.04022,0.03323778,0.78103364,-0.65470916,61.845257,1.0599351,93.847855,4.003902,20.333982
2020-09-04,198.12788,3.9772694,21.939703,2.3463933,5.539258,105.28556,0.88602674,1.9462341,226.2754,1.180459,6.2846756,28.443844,0.81782115,145.95502,33.37875,1.5599816,0.8507105,1487.6431,37.942905,16.902037,0.6941012,4.847892,31.569792,-0.07221562,-0.23552875,39.966446,4.050497,2.9924643,375.24075,65.65213,-0.9981509,299.07324,231.57817,6.336286,381.73163,249.29395,91.84641,144.19002,16.508915,56.20932,51.052822,150.94374,15.928112,5.1182504,-0.6362864,42.50906,41.52089,192.40381,0.011759207,0.8052505,-0.7387404,58.745235,0.9879954,91.67924,3.8739305,19.93117
2020-09-05,189.10399,3.57674,21.116768,2.3834565,5.385995,99.47044,0.79368895,1.7739084,212.45975,1.1093606,6.0985966,26.11297,0.6115144,134.65154,30.424034,1.4984353,0.7877215,1398.214,35.81008,15.8742075,0.6672397,4.2523026,29.337957,-0.07051903,-0.28380486,37.70057,3.6905408,2.988083,350.37827,61.1652,-0.8978297,277.55508,217.77795,6.106154,355.23398,235.23572,87.38929,133.58066,15.972662,53.366135,47.06786,141.64847,15.163668,4.870844,-0.6403415,39.988327,39.368248,180.47939,-0.026921954,0.85399985,-0.82654625,54.066517,0.87641066,87.08634,3.5810325,19.02164
2020-09-06,174.87016,2.7697165,19.953384,2.4966023,5.1247454,90.35431,0.613063,1.3255756,189.07117,0.9350752,5.853878,21.559526,0.23487525,115.14619,25.23388,1.529101,0.6387561,1250.6495,32.59228,14.498402,0.66779995,2.9267,25.490398,-0.12642008,-0.39417323,34.173515,3.0956178,3.0507371,308.6085,53.739483,-0.7143336,240.6811,194.84436,5.6981754,309.6839,211.92584,80.071365,115.64042,15.353421,48.506298,40.395912,126.23635,14.033165,4.5203075,-0.61327386,35.8804,35.502796,161.04106,-0.16368164,0.9641731,-1.07874,46.058235,0.6247177,79.92285,3.015212,17.664103
2020-09-07,161.80043,2.1924648,18.909267,2.4161556,4.7977905,82.45636,0.41312778,1.0166394,169.17976,0.8673086,5.590351,17.71865,-0.050579995,98.29942,21.31074,1.4388385,0.5269443,1119.9716,30.196337,13.161059,0.6292784,1.9636471,22.713274,-0.13481778,-0.4820193,31.050222,2.6967027,3.0257082,270.73596,47.67888,-0.54785335,208.2045,174.22165,5.3658943,269.95374,191.34329,73.73438,100.31805,14.709236,44.541733,34.84745,112.872894,13.232449,4.2331886,-0.5982752,32.59805,32.689014,142.83743,-0.24719809,0.98064864,-1.225689,39.81989,0.44647604,72.79741,2.510134,16.455845
2020-09-08,156.01071,2.1633635,18.310957,2.3585534,4.6163864,79.28913,0.34175164,0.91052604,161.86134,0.8408833,5.5007067,17.487688,-0.083186306,93.5533,20.69094,1.3872542,0.45255125,1082.0481,28.83625,12.668305,0.592042,1.9771569,21.720879,-0.16516483,-0.4463004,29.703398,2.5813813,2.8599102,258.72147,45.76383,-0.44723025,198.74881,166.2914,5.0703087,257.38507,184.72755,70.91915,95.620514,14.121621,42.985554,33.37524,107.99585,12.89497,4.1036096,-0.4537716,31.38513,31.83933,135.67104,-0.27562603,0.9952813,-1.2092412,38.256763,0.4040129,69.76003,2.262152,15.787532
2020-09-09,157.31708,2.452144,18.26745,2.195199,4.6505527,80.18131,0.32961273,1.0588044,165.22102,0.91909724,5.452997,19.42141,0.017562784,97.48269,22.158373,1.2346894,0.44724336,1113.7402,28.66042,12.688237,0.5369541,2.5440922,22.194279,-0.11976798,-0.37565058,29.84509,2.6901083,2.6906457,266.38306,46.84309,-0.4559953,206.36392,168.96912,4.971186,265.69693,189.24374,71.55826,99.21164,13.874753,43.69996,34.61143,110.117615,13.005056,4.082392,-0.41451526,31.761723,32.72702,137.57875,-0.21388985,0.9465748,-1.0558146,39.919838,0.5254367,70.03445,2.3042576,15.679681
2020-09-10,156.65927,2.559236,18.11293,2.177721,4.608979,80.088455,0.36225024,1.1191958,165.56305,0.9239837,5.4152546,19.852406,0.07750365,98.555374,22.560263,1.2260015,0.46914747,1116.2119,28.589687,12.715768,0.52767897,2.7442403,22.374668,-0.12078451,-0.3484507,29.917482,2.7245078,2.639618,267.9749,47.15823,-0.47174746,208.14742,169.22522,4.941682,267.5625,189.52328,71.4867,99.968765,13.716422,43.729958,35.06086,110.32931,12.928234,4.0805354,-0.38383776,31.856777,32.78715,137.97977,-0.1905848,0.92226785,-0.99302703,40.450386,0.54960316,69.95313,2.3471403,15.61721
