Day,Alameda,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,137.49919,1.5706292,7.6247873,0.405407,0.8454024,56.01164,0.37032625,4.8291774,89.61157,-0.02609697,8.71695,82.85996,-0.12944324,71.56771,31.107662,1.8119967,1.0304668,1944.4983,5.0095005,13.669566,0.746339,3.6278536,8.743437,0.08929897,0.26086608,13.887504,3.6792243,1.8545954,366.8414,29.3447,0.18597896,284.13654,41.01342,0.22182855,229.37227,341.93835,66.987885,47.69923,3.7450569,50.04845,33.938633,51.881165,4.6773305,1.4552896,1.8314501,36.853813,43.163204,33.999077,-0.348963,1.234662,0.33508196,42.045162,-0.6759052,64.77856,0.7600714,3.626514
2020-05-19,143.0366,1.6174597,8.534036,0.5279772,1.0330482,60.86278,0.4430182,4.662366,103.46704,0.08772975,8.416557,84.60773,-0.040049724,87.14388,34.077347,1.8427987,1.0179651,2018.5201,7.263192,15.182315,0.6608283,3.6581407,10.387423,0.07219413,0.23069336,16.409685,4.1496654,2.0672278,400.8749,31.98377,0.09886159,314.85922,54.95595,0.424689,264.52795,353.09412,70.000305,64.16712,4.4598556,51.037865,38.582897,61.292763,5.605924,1.8651913,1.650431,38.3758,43.002148,50.836937,-0.2905376,1.1564515,0.46270978,46.39943,-0.51700413,71.03964,1.5166653,4.4573393
2020-05-20,142.94511,1.5966638,8.714953,0.5351101,1.0511136,61.415222,0.46387017,4.572522,105.587685,0.12982772,8.273789,84.410805,-0.027228741,90.011856,34.560883,1.8154242,1.0120401,2020.4053,7.7829056,15.520192,0.62500757,3.6536822,10.720881,0.0728344,0.2114433,16.924492,4.2133856,2.0848773,406.34253,32.323467,0.081854336,320.06253,57.360344,0.5068289,270.88107,353.31082,70.19518,67.51152,4.6315546,50.88428,39.44978,62.7183,5.856139,1.9578718,1.5777544,38.457306,42.60992,54.232628,-0.2596445,1.1281575,0.50019026,47.059155,-0.48518464,72.01372,1.730781,4.641514
2020-05-21,141.29485,1.577201,8.655259,0.5471839,1.0797151,60.848286,0.4581447,4.480932,104.726364,0.13553867,8.176024,82.957855,-0.0381298,88.7747,34.07406,1.7891616,0.9847248,1986.1069,7.823716,15.259677,0.6056411,3.5871117,10.661155,0.065171435,0.20448107,16.719315,4.1613126,2.0708847,399.22165,32.053288,0.09306778,314.4966,57.451515,0.5181535,266.75034,347.4205,69.26025,66.67533,4.594214,50.19244,38.89619,62.358253,5.831461,1.9392233,1.5554322,37.982216,42.10106,53.86063,-0.26584637,1.1262838,0.48002946,46.42425,-0.47066042,70.99627,1.6464219,4.608827
2020-05-22,138.11009,1.5388614,8.316558,0.53915864,1.0232518,58.99103,0.42664802,4.442486,100.23353,0.11214063,8.11084,81.61286,-0.0543357,84.48474,33.060295,1.7886252,0.96375036,1943.4366,7.2444277,14.746238,0.6096769,3.4883149,10.12601,0.056288265,0.20438749,16.003553,4.0341783,2.0379326,386.87067,30.93993,0.121511996,303.93085,53.67417,0.4331986,255.65274,340.45963,67.59241,62.47556,4.423632,49.18327,37.492065,59.509445,5.5885873,1.8643957,1.5763512,37.18301,41.515896,49.73388,-0.28448188,1.1314386,0.44198382,44.958275,-0.48997477,68.84765,1.4319881,4.3756723
2020-05-23,135.84328,1.5059718,7.868529,0.50597674,0.951141,56.637695,0.39143905,4.5495996,93.832115,0.06294465,8.290134,81.01888,-0.11353401,77.01567,31.636845,1.7937964,0.9735258,1912.2815,6.09101,13.901541,0.64953,3.4481525,9.249688,0.06987438,0.21630934,14.780228,3.828677,1.9711518,371.03802,29.537165,0.16974871,289.61536,46.987625,0.3386746,239.23204,335.96902,66.23547,54.40452,4.0895553,48.73079,35.195328,55.077698,5.1520677,1.6816218,1.6650388,36.55878,41.67115,41.485332,-0.314102,1.1798699,0.37559083,42.84922,-0.56499684,66.04366,1.0453597,3.9549859
2020-05-24,136.00734,1.5079265,7.9388137,0.5113863,0.96467036,57.156025,0.40426475,4.513839,95.59089,0.08025163,8.172396,81.19432,-0.094994895,79.699066,32.078125,1.7975636,0.9731235,1920.6676,6.41803,14.175368,0.6307067,3.4430168,9.460355,0.064980626,0.20730494,15.177494,3.9021502,2.0024078,376.8314,29.759066,0.15219638,294.91574,48.890816,0.35995197,245.01729,337.11923,66.448044,57.317394,4.2111406,48.652966,35.97106,56.301598,5.2707634,1.7543154,1.621752,36.648087,41.39282,44.37358,-0.2957598,1.156753,0.4082413,43.504757,-0.53845346,66.976135,1.2031426,4.0793796
2020-05-25,139.77063,1.5537041,8.349391,0.5407713,1.0464745,59.71425,0.43213606,4.5138254,102.03119,0.11399395,8.137951,82.76901,-0.044434275,86.57315,33.577797,1.8345788,0.97941005,1972.7284,7.3234224,14.912633,0.61638916,3.5124977,10.220095,0.05837781,0.21087962,16.285963,4.113825,2.083056,394.02917,31.225609,0.11387479,309.935,54.87226,0.42715102,261.20032,345.27997,68.32614,64.18416,4.5008674,49.62251,38.150265,60.61165,5.637413,1.893051,1.5771041,37.62234,41.841675,51.28107,-0.27623048,1.1298864,0.4677267,45.69486,-0.48678043,70.02108,1.5105034,4.437922
2020-05-26,141.09167,1.5586141,8.53709,0.55852556,1.0680959,60.718155,0.4484469,4.48746,104.682976,0.13283817,8.125354,83.47223,-0.02761469,89.63712,34.23838,1.8321276,0.97226167,1993.0999,7.739876,15.252998,0.6025073,3.5473084,10.529312,0.058329865,0.20708402,16.7086,4.2224474,2.115283,401.6207,31.750084,0.0969037,316.70605,57.267094,0.45992061,268.3327,348.59808,69.027405,67.2855,4.631431,49.91243,39.099216,62.35955,5.8151464,1.9528867,1.5537598,37.980946,41.922634,54.28476,-0.27170393,1.1284809,0.48544085,46.57995,-0.4618394,71.381836,1.6605604,4.5998235
2020-05-27,141.3798,1.5713534,8.747363,0.6002172,1.1424308,61.62127,0.46284577,4.389964,107.6021,0.16804668,7.9760666,82.74817,-0.012486301,92.667076,34.612045,1.8163819,0.9579069,1987.0071,8.394603,15.491157,0.569064,3.523383,10.954402,0.04977099,0.19062309,17.281006,4.282592,2.1639268,405.10895,32.29877,0.07648721,320.33862,60.994724,0.54026306,274.1693,347.0971,69.27053,70.89171,4.8135056,49.746075,39.90748,64.50097,6.005652,2.0560093,1.4890672,38.020527,41.535633,58.460514,-0.25489113,1.1017492,0.51062745,47.23901,-0.4135438,72.26489,1.80888,4.815068
2020-05-28,141.0326,1.5824169,8.69896,0.61488605,1.1576985,61.51577,0.45363933,4.3776865,107.33847,0.16232753,7.927191,82.19683,-0.0038905325,92.30792,34.4153,1.8321712,0.95092636,1977.0958,8.397893,15.384652,0.5715803,3.4900818,10.935114,0.034567893,0.1941514,17.287191,4.2508,2.1743715,402.91086,32.236717,0.08532819,318.44055,61.213802,0.51761127,272.73395,345.2373,69.02839,70.6576,4.81612,49.551785,39.742874,64.45662,5.9691877,2.071216,1.4926472,37.8745,41.43917,58.51323,-0.26225656,1.0950974,0.50182045,47.069458,-0.41337785,71.905876,1.744329,4.80869
2020-05-29,139.70995,1.5398262,8.524804,0.62211764,1.1131138,60.457184,0.43258786,4.370325,104.72597,0.14687097,7.9975996,81.71819,-0.022259941,89.19396,33.847023,1.8319628,0.92618173,1956.554,7.999466,14.977113,0.5816952,3.4275737,10.584021,0.033038843,0.20417437,16.694714,4.1926403,2.150126,395.01776,31.580896,0.114286736,311.63226,58.57891,0.4592157,265.43106,342.17188,68.15932,67.37089,4.6703806,49.087395,38.757774,62.69545,5.8351774,1.9949697,1.5289934,37.53599,41.341827,55.13439,-0.29072124,1.1185218,0.4566518,46.120872,-0.43835017,70.61455,1.5545813,4.617096
2020-05-30,136.47316,1.5099025,8.28438,0.611165,1.0874397,58.97931,0.42741042,4.304908,101.81939,0.14760068,7.8039227,80.40615,-0.038210943,87.407364,33.159355,1.8043071,0.92495394,1918.8391,7.7051497,14.759871,0.55993336,3.3686905,10.249718,0.036909655,0.18829007,16.385262,4.110754,2.1341639,388.134,30.690424,0.117679164,306.1109,56.57877,0.4421199,259.97308,335.86206,66.75162,66.006096,4.615957,48.084934,38.03066,60.90275,5.7255692,1.9899135,1.4925916,36.77552,40.437603,53.860683,-0.27461928,1.1014667,0.46351266,45.183197,-0.42851767,69.32628,1.5614165,4.52456
