Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,217.50647,-7.376345,2.488544,54.09112,6.4843793,18.465279,181.34177,3.8646965,16.163836,346.27292,10.817867,4.22004,84.696785,1.7937981,466.70303,35.115204,10.036109,13.365083,1410.6313,104.546196,48.42183,-1.8361286,3.183234,179.413,-4.112507,3.234772,64.31746,26.847118,17.144995,387.85745,-3.47687,53.19802,5.097506,847.55396,399.92783,16.293638,419.64783,308.5408,57.89996,344.13757,70.4518,116.67463,79.593155,283.13928,31.139761,7.9382396,-1.9232795,1.93977,88.43466,84.29166,250.4909,15.977172,3.2602599,3.5307903,261.80728,15.195073,241.46588,27.228521,11.335157
2020-09-02,182.19182,-6.2279615,6.09406,21.205864,3.2709298,9.341918,104.287056,-3.2515233,7.1349864,274.10092,7.0141363,8.062523,25.751831,-3.8785107,203.00162,43.589294,-1.6569171,3.0677812,1186.9462,41.17022,17.950085,2.9385002,6.672132,123.652245,-9.82171,2.2602434,51.482464,8.437725,7.258864,367.3376,-1.4128258,11.704998,0.59880525,520.60486,199.72139,14.518843,362.33694,236.44077,61.82605,108.364174,31.145893,62.89067,32.222496,166.43954,12.913781,1.511093,-1.3538169,-2.7181513,48.193096,66.79187,187.73627,18.741749,9.523359,2.121272,95.186874,13.936975,95.839005,12.85195,12.629903
2020-09-03,200.9584,-10.479397,3.3658278,6.1290874,-0.5815102,9.999048,115.60512,-5.8282914,-1.1608108,247.51756,14.211488,10.996002,27.330996,-11.629831,139.36287,2.799825,-11.727099,4.4333305,880.45984,32.483143,14.336871,2.974744,0.9185613,84.88429,-19.919977,1.8891051,46.72283,2.7517347,3.4779646,341.4228,-1.7934884,13.189258,0.16344692,329.89316,232.7503,13.297577,286.6597,234.47745,46.928074,114.03734,13.833695,61.82065,14.301521,147.81151,13.246327,-0.5611369,-4.620913,-10.062418,31.423159,62.77953,169.25465,22.909456,14.744581,1.8127217,71.62456,21.06325,86.6618,-7.629677,3.830562
2020-09-04,86.33523,-3.5849576,3.6957672,21.170727,-0.7045371,-4.496139,89.6227,3.2267585,11.290573,315.66562,-8.498993,-3.0412505,104.59797,12.77643,394.86563,52.72937,12.592991,17.07351,2038.6775,29.454248,73.34321,-7.1091375,12.321317,81.11894,9.797551,7.1128697,80.2642,7.471162,-2.2538097,493.28986,-2.89782,51.207726,5.568726,632.4041,184.41457,-0.7201134,129.59236,348.5951,83.832405,178.71077,21.058968,86.37882,82.76879,188.8804,3.1214397,5.473397,5.6739397,2.9695945,52.564125,79.90276,99.87839,13.242878,-6.9779553,6.0425787,149.0054,-9.58704,88.43069,27.052057,10.037556
2020-09-05,123.76743,-12.681103,9.205445,1.0677178,-0.084859595,14.381778,113.62032,-6.3681254,3.1009529,167.04506,17.478119,11.512395,14.756178,-11.191304,250.21112,14.3769045,-6.7724953,7.8694763,1077.9768,11.400751,11.153268,4.3102074,3.6787102,89.406975,-17.073645,1.4569905,62.547462,1.6593906,6.1835194,370.6854,-1.1281573,25.950384,-0.21739446,207.02953,197.97601,12.373704,350.47467,232.00365,54.925667,108.36525,22.996202,73.02205,5.900496,174.53015,7.8609724,-0.14455612,-5.9483314,-7.4488726,22.76134,59.405624,148.51059,20.597193,15.386227,0.43259826,81.81677,20.964691,52.94631,2.6546926,7.808351
2020-09-06,177.30656,2.2140157,-8.892505,-19.388046,7.863738,-36.7232,94.17848,6.9161415,-11.136188,55.075928,-20.416847,-13.493811,66.32803,3.4188566,228.90451,109.57678,12.203234,13.854852,2474.2605,-21.807037,11.026578,-9.980702,18.829216,-49.780468,29.860783,6.344999,117.8717,1.5350546,-16.810326,509.04724,-8.565679,32.25258,10.50694,-242.4518,-10.957522,0.72986525,116.62338,314.53857,92.377075,26.547173,-13.786665,52.66963,-8.1525545,106.696335,4.2726808,-13.513248,13.729014,9.9519615,-54.747547,93.112946,45.242317,22.29873,-19.816704,11.999214,-53.745087,-29.839636,-13.652975,37.627552,8.959231
2020-09-07,218.68697,-6.585054,4.778588,30.419552,7.699074,18.590113,151.3106,0.18604964,13.818481,337.0272,6.11079,8.595134,40.17369,-3.0705762,445.7209,16.173948,5.9135,21.151533,1537.7087,79.785934,40.910057,0.17462209,5.088656,181.3271,-4.321901,5.670914,79.60705,16.974392,14.592593,426.46527,-3.1252139,49.430595,3.6795287,651.97797,383.1917,15.471464,287.87494,329.7103,66.73701,269.82254,53.835075,120.52045,53.447033,294.82953,17.331251,5.214956,-3.799025,1.4026227,76.82379,82.39371,235.69092,15.98002,6.3912387,2.9477072,214.9964,14.942584,186.0746,23.075918,13.351581
2020-09-08,132.84064,-0.08248731,-6.8556957,19.063946,6.181392,-5.3394403,150.0734,8.197421,3.2398827,201.33627,-0.49351394,-3.0437963,69.565865,3.2163403,408.41055,55.30513,10.009474,5.740177,1707.0878,63.891106,20.781967,-5.349503,3.7493038,67.05808,8.975642,4.4147034,70.90129,16.219303,-0.6190448,346.0864,-3.4817693,38.782917,5.19746,442.32803,181.57597,-0.14350766,407.8459,292.0791,69.31438,209.08559,45.79963,86.227806,63.078083,190.21744,19.621143,-3.5273182,3.4502816,4.607936,26.831697,87.46856,135.87059,14.646732,-9.0996475,5.602997,153.55992,-8.135733,134.1884,26.756557,6.989592
2020-09-09,295.6578,-7.483107,16.946514,20.356987,7.0611854,22.464159,148.42387,-14.907603,17.745394,379.76068,28.170366,26.946108,42.896305,-17.774426,340.2311,107.817474,-3.461851,0.8907378,1907.6069,74.52236,32.979095,9.531256,9.82817,212.54404,-26.903269,1.1948426,80.503235,6.0738845,7.1070356,630.68243,2.8560379,13.033618,-4.51276,850.148,271.3871,25.750147,688.94556,373.358,78.00491,162.32246,23.853231,93.866776,45.838913,226.76358,8.068631,0.7117671,-4.5879383,-10.798982,87.43113,85.0309,308.6452,29.779245,25.383432,-2.4111626,158.08856,29.7983,136.58661,10.285265,20.034151
2020-09-10,182.76326,-3.7058768,-7.847116,-0.5916209,-6.1836066,-12.963136,212.01247,4.76847,-20.601442,292.38818,3.9571638,0.63756996,55.03597,-5.235466,200.0772,1.2176347,-6.164793,-0.5445331,1233.7351,30.686926,77.31173,-4.2208834,0.940702,63.75721,1.8405253,0.50811994,128.28375,9.480331,-4.3890057,385.017,-1.571183,20.969736,1.9960049,210.0612,254.59433,-4.663184,441.1431,259.08734,111.14876,168.06367,22.341782,86.99635,74.21091,171.35815,18.244804,-11.643219,-1.6131383,-9.58582,29.80482,95.92562,148.7888,35.79947,5.976221,0.6537486,112.1881,-9.122084,101.07967,-6.303758,-2.5668728
