Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,42.9926,-0.30801582,-0.31165105,2.2680933,2.465437,-0.9725638,32.57572,1.045555,1.9557655,68.35388,-0.86630857,-0.2159726,41.90649,-0.22487925,76.95916,28.463938,3.083599,3.7973585,706.41943,4.9425325,22.575678,-0.58006346,2.9478033,18.331455,2.7052557,1.7284397,23.724693,3.9635324,0.62978476,172.6397,-1.7036995,10.9773,1.9269928,155.42992,43.83792,1.928697,84.63308,111.92023,22.50312,51.627037,-0.63911,22.335524,18.923042,47.874744,3.6781628,-2.3941624,2.9936314,2.7837768,7.5096893,23.862436,42.087673,5.224354,-1.1522732,2.9060917,33.915928,1.0626174,20.247662,8.943687,3.6932478
2020-05-19,37.203514,-0.6788078,-0.3619097,3.4826968,1.5132123,2.3351488,38.03403,2.600854,3.3382778,66.67126,1.2608452,0.14789698,31.379936,0.86911285,104.653946,15.490028,4.4120865,3.4824095,692.23096,9.564362,21.960346,-1.6042253,1.0307432,22.381973,0.9373048,2.052683,21.065363,5.1679482,1.0258011,163.60477,-1.6012459,12.1710205,2.0910263,154.97562,55.64023,1.3063542,135.0511,117.3347,22.915596,58.283722,6.6298614,25.012934,21.059708,57.268555,2.3921354,0.27580953,0.1000992,1.2983036,9.631358,21.912743,35.512775,4.446279,-0.6415595,1.614312,42.38861,0.4489851,34.770515,7.715114,2.6766663
2020-05-20,112.71247,-0.9913176,-5.8708253,-0.03800431,-1.7968429,1.0747739,77.40811,5.625195,-0.73041457,100.94854,-4.1922603,-1.2794682,59.162632,1.3922746,104.311165,21.52036,4.431568,5.326376,1643.5912,8.9958515,40.488235,-0.42730495,-2.3024538,30.420029,3.3999963,1.3019582,37.20453,10.143143,1.4292109,357.89313,-1.3759338,16.896454,1.9129198,219.1131,83.91353,0.78751403,267.5152,271.54855,16.533718,75.412926,-2.465877,30.31289,21.1025,92.800224,0.5942597,0.16278645,-2.0268488,2.1492703,2.8230515,35.126945,84.87861,-9.071574,-3.767711,0.48580584,54.725716,1.0962276,63.7247,10.288182,-3.2446027
2020-05-21,76.55657,-1.1196549,-0.14067091,4.3086076,4.5313935,5.0436363,64.04389,1.8659292,7.6825013,118.22605,3.1149254,1.773399,62.742355,-1.7184545,122.34444,32.061234,4.547041,5.632907,1154.2098,24.398731,34.117027,-0.18042642,2.253041,46.264954,0.69242316,2.2294908,23.163347,10.18932,4.9975166,241.67084,-2.7147145,12.271695,2.816756,281.472,78.42424,6.0567884,216.82556,194.98598,26.496368,107.84956,3.407594,35.096085,49.18971,75.83937,13.859403,-3.1515112,2.2400627,4.39028,23.7699,34.089832,65.21069,7.087098,-0.74173546,3.6077986,71.640015,5.503498,66.103294,8.983853,6.0464907
2020-05-22,96.191826,0.13530672,-1.1643505,2.0557044,3.6605253,7.890251,68.164276,3.6207018,5.9839907,129.8957,2.9186049,3.1628163,75.80942,-2.3659005,140.65282,29.731762,4.600052,5.476741,1362.1503,16.575003,44.84778,0.8146801,0.39850855,40.31248,-0.82500863,2.3151574,30.044851,12.210852,6.5606694,298.0637,-2.9864402,15.542736,3.122078,285.36707,82.3455,5.02283,239.30998,229.34586,26.375893,107.84268,0.31204763,36.134583,41.869846,80.369286,9.5851345,-1.7975184,-0.44610575,4.59893,19.497276,35.931103,70.62026,3.6434386,1.0314921,2.8680809,74.6896,8.984592,62.328545,7.7721,4.088655
2020-05-23,106.620415,0.80398905,-1.8975773,0.66362166,2.626123,-1.0632836,67.39343,2.1134465,1.4947181,127.16329,-0.0139763355,-0.24220172,75.48644,-0.573587,79.19039,37.82036,6.5084457,5.175974,1601.6504,13.556051,39.487015,-0.92964286,1.2566494,38.15927,3.2310252,1.9461718,35.79268,6.177394,-0.7889196,365.4341,-2.740312,16.87536,3.2624068,224.648,94.08491,2.1294386,206.02495,275.43842,20.64917,107.611534,-3.7088876,37.827156,39.071194,82.23156,6.6429467,-3.6516094,2.4003232,3.7437015,16.429287,42.63983,94.84457,2.3412578,-3.1694155,3.5558665,56.954536,0.5044051,43.94586,12.474819,0.9702238
2020-05-24,73.0382,-2.3358576,0.015288889,1.4441823,2.0287867,4.7108593,67.09427,0.20299897,5.5497856,124.40043,2.9450393,2.727744,84.21029,-2.7124536,97.81948,37.804893,4.1814938,5.5148726,1298.2438,17.042444,45.59868,0.8281415,3.5503764,42.06843,-0.29305652,1.7917014,31.430325,6.1615577,2.6151042,329.79047,-2.180338,14.437716,2.0371249,330.72684,88.74321,4.4551225,166.41528,210.80128,30.661777,124.93615,-5.1283655,43.11343,48.41979,75.55272,8.0269785,-1.393403,3.8068707,2.7762983,25.768797,43.955826,79.23016,5.971476,1.3804448,3.6413195,79.884155,7.798554,57.980762,9.095053,4.411863
2020-05-25,76.04574,-2.6067553,0.4432715,5.2168493,2.715649,5.3999314,68.49201,0.99507916,7.5523653,148.61768,4.637992,1.8023676,76.88685,-2.7090423,129.57625,41.479473,5.092312,6.1659555,1287.0797,21.450083,49.35778,-0.36372742,1.6619351,51.476307,-0.83432686,2.3171449,30.084131,8.788406,4.8191833,310.57794,-2.5363812,14.833721,2.7256448,361.47757,99.95989,3.6593637,209.02316,220.50824,27.826225,133.2241,1.4568448,41.631924,54.820908,82.07682,11.098888,-2.2164857,2.742848,2.7402704,32.942657,42.16494,83.46272,5.5822644,0.93312955,3.8813195,84.460106,7.486641,68.50348,10.716672,3.9693584
2020-05-26,75.51643,-0.001355797,0.13198397,-2.0063546,1.6348529,3.1097703,59.29452,0.06545743,2.9224434,96.23891,3.7726488,1.8271677,58.768646,-3.715634,85.40145,33.313004,4.6936827,4.4584665,1295.8358,10.401984,31.176437,0.33817285,-0.20235008,31.378132,-0.364734,1.7365187,31.155216,6.1343174,0.42527345,306.7036,-1.4951946,12.798596,1.64498,216.29282,75.24238,3.3914819,215.90724,213.18628,24.09732,95.09247,-1.0604835,34.194122,31.394781,68.2746,6.164726,-1.5915837,1.8678638,1.2424449,11.818611,35.3491,72.66881,3.8813908,0.5846931,2.216378,52.631237,3.8628938,41.523964,7.6632705,2.6744165
2020-05-27,55.533287,-0.43190837,-0.7019458,-0.589845,2.232556,1.42278,42.76116,0.6793748,2.3340657,74.27687,1.0127867,1.3339237,55.872513,-1.7076083,66.09177,31.035128,3.3207133,3.1228943,946.5593,6.5841503,28.255016,0.31274906,2.3704593,19.434921,1.4290187,1.6072128,25.754045,3.3234127,0.6377209,234.88324,-1.7744598,10.530909,1.7157959,180.79445,54.41477,2.1768138,102.50836,144.69542,23.785667,71.644806,-5.7758727,27.55761,23.456543,50.383865,3.912718,-2.3764706,3.2649577,2.7671025,8.420166,30.977188,53.027893,4.9294257,0.216384,2.945064,42.648582,3.8272202,28.71106,7.6506057,2.960239
2020-05-28,42.651314,-1.2137724,-0.43319428,6.145824,1.6354988,3.3789628,46.56284,3.1645293,5.2449274,100.922,2.5147758,-0.043087054,40.117046,0.15914476,124.515564,19.844543,4.9393854,4.4026375,781.9272,17.48513,29.097555,-1.7749114,-0.17637196,39.16263,-0.29279953,2.1735103,20.354868,6.9763556,3.469778,177.46361,-1.9228415,11.376154,2.4839463,259.82358,68.66271,1.840273,192.8035,140.7771,23.90807,79.08336,8.7907,28.853611,39.391663,63.452145,7.1334977,0.8859496,-0.016204506,1.8652023,22.379576,23.00702,50.71401,2.8724127,-0.7202002,2.1127808,63.92484,2.8271449,55.701366,7.607218,1.5375911
2020-05-29,85.90356,1.7497408,-3.6032867,-0.5257011,2.179736,4.7802863,64.19559,4.1893306,4.724656,109.801834,-0.4237519,1.3857714,62.527496,-0.8639109,143.7508,36.49412,3.9682384,4.9982767,1267.301,7.7959785,37.083862,0.029789751,0.17328902,36.30532,1.8213296,2.3484175,37.18688,11.086758,5.082985,296.2806,-2.4781382,15.675707,2.8631487,269.10983,63.463573,3.3732052,233.1667,206.4527,28.774612,79.000786,-4.151759,30.730095,31.903267,78.055824,4.2310305,-0.8627688,1.0225232,4.442939,8.904215,31.334724,68.56489,2.5115628,0.10879536,3.020283,59.395264,6.0221305,54.145912,8.236887,2.5987525
2020-05-30,80.00282,2.081409,-1.6605467,-1.1197302,3.263338,1.2626431,56.226948,1.0817232,1.692691,96.83414,-0.44620305,-0.45695958,60.875916,0.24252132,80.92811,32.20595,5.4862566,4.992857,1386.008,10.895333,31.02241,0.5398325,0.71715736,27.204979,3.398218,1.2829376,31.840311,6.031762,-0.07275949,284.08325,-2.0325506,14.858756,2.2945943,166.77898,78.41253,2.876449,143.61125,205.68018,27.708195,89.39151,-5.902377,33.2918,26.308424,72.01463,8.125174,-3.421806,2.0373092,4.168735,3.4599562,42.551178,64.29541,2.255538,-2.4075394,2.8413239,43.67031,0.39138976,38.24197,9.256371,3.1582856
2020-05-31,80.88916,-1.4211913,-1.0798794,1.2557707,3.2867293,7.791802,69.3834,2.2956245,4.993825,118.16147,2.970965,5.4782495,86.44481,-3.4171472,118.575714,30.488367,3.0930514,4.746195,1221.9933,13.974255,48.75589,1.5700421,4.512926,33.556816,-1.2415041,2.4430518,32.52485,7.596768,4.5269885,325.52158,-2.7124975,13.867052,2.2559192,320.13104,77.41831,4.871018,176.85648,196.26242,33.842022,116.17605,-5.801256,42.47255,46.838676,72.45935,4.845748,-1.2353194,2.7443652,4.387044,24.860378,42.17793,76.24006,7.8065615,3.2410645,3.5329175,84.24424,11.996904,58.14966,7.4084883,4.6921086
2020-06-01,76.029205,0.59904486,-0.90785086,1.4921517,3.946032,1.3240277,59.586967,1.6590515,4.3119297,110.200005,1.7045951,-0.056743044,63.557045,-1.4787079,106.84407,38.84265,5.569248,4.1813474,1280.398,16.056417,34.21248,-0.6174141,0.6997336,34.17508,2.3102198,2.1586933,29.860981,7.2373004,1.8793666,275.63324,-2.6567538,13.356729,2.9689367,237.12802,81.4507,2.6516864,182.292,203.13374,26.383846,100.31233,-1.1912553,33.94685,36.34038,71.766884,10.085766,-4.165146,3.0613918,4.10932,13.450465,39.03092,67.82569,5.0506625,-2.1461847,3.971028,56.022964,2.5995908,50.346832,10.386556,3.5462837
2020-06-02,58.266502,-1.4659181,-0.057039946,6.71509,1.4966339,3.2084098,58.26279,3.0263038,5.9544454,120.342995,3.6536126,0.8113167,50.429455,-0.72344875,142.44864,27.495577,5.3232327,4.328232,960.5415,17.800491,33.976326,-1.6223626,0.9528665,46.435463,0.14913632,2.453094,26.762295,7.9898868,3.3319857,234.16985,-1.9011371,14.44267,2.5073977,312.35953,82.910965,2.4980006,240.94516,175.16884,28.29961,98.14229,10.733697,34.470688,44.880287,77.99555,7.0645256,1.0903128,0.8316982,1.6851465,27.88669,26.702965,65.40755,4.9333034,0.109509796,2.2608142,77.77853,3.2222977,60.216244,9.235598,2.6103678
2020-06-03,68.59475,-0.5946765,0.4454054,0.0368513,1.4984574,3.8527813,55.706654,-0.059215844,3.5464892,100.33085,2.8778925,1.4895667,60.874874,-2.390616,78.39099,30.289625,4.4512043,4.8356314,1182.4822,13.028612,32.3762,0.5569177,0.66493386,33.653473,-0.8212474,1.1581076,27.509462,5.9948206,1.2499534,274.5197,-1.4231856,11.4753065,1.5522478,233.75742,72.14906,3.421771,178.82016,193.50423,22.522762,95.49756,-1.7510581,33.76177,36.191074,62.89266,6.8805957,-0.90025395,1.531275,1.4760268,16.709549,34.167007,68.23673,2.2659209,0.15356071,2.098413,56.281265,4.3460474,45.32921,7.136121,2.2662473
2020-06-04,79.157074,1.3783829,-3.7960315,-1.028057,1.3244436,6.260787,68.58521,3.5375252,4.900349,101.43208,-0.5475495,2.9101071,69.65541,-0.60254264,115.71973,30.11302,3.2298927,4.5040503,1178.5306,11.198297,36.683685,0.9009726,0.71687895,36.26985,0.55255157,1.7113664,34.733166,9.039314,4.7058725,296.054,-1.9991016,12.973579,2.1163366,302.73956,64.374825,3.4275951,209.26936,189.68639,28.947712,90.39032,-7.7081594,35.204147,41.374115,71.00075,4.505948,0.7776368,1.4979954,4.0265627,13.855481,32.364204,67.414154,1.8783574,0.44331878,2.6868222,69.7712,8.1132,63.120678,5.5592356,1.3538026
