Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,133.9687,-2.8382661,6.1239147,13.733398,5.440666,5.280238,121.79886,-2.5928442,1.3101563,197.85953,0.26377895,4.13737,50.80154,2.4849591,276.86325,55.260635,-1.5755477,10.591432,1369.8234,37.43588,45.68669,-0.64084494,1.455945,70.19605,2.3356104,-4.4373,76.13232,-5.3517227,1.5049748,316.5584,-4.7255898,23.036179,3.246312,374.1938,153.82527,9.806454,366.46866,232.76964,67.93565,156.72401,24.0653,70.19949,45.053455,136.41884,15.673439,2.7936304,-4.583762,8.656803,46.588264,60.799805,126.2268,10.697842,-1.0862566,-7.3110495,101.6869,3.511789,61.478035,15.561925,5.877332
2020-09-02,134.94911,-2.5961924,5.5589075,12.870201,5.4897623,5.7456408,119.40757,-2.6803617,2.3606083,195.6252,1.6640902,3.7075765,59.028828,2.7537508,270.66693,54.010315,-1.5429456,11.386349,1459.6826,36.76815,48.62357,-0.6598544,1.6522946,71.97736,2.1858993,-4.6348124,74.710236,-4.074879,2.1479518,330.68546,-4.855838,24.311884,3.1635602,385.9861,149.9359,9.542084,376.1122,242.6719,66.637314,157.49998,21.555454,68.64981,51.08556,132.3638,16.612207,2.8980615,-4.1790557,8.115114,49.082584,57.57727,124.615166,10.221001,-0.77339923,-6.951558,103.74806,3.8009963,64.326126,15.462775,5.6600866
2020-09-03,153.45023,-5.5412354,29.848953,23.276188,18.1096,5.494185,123.23565,-36.50501,-16.937061,201.92111,-0.8598046,-2.1266289,53.627563,-8.025194,204.33151,53.443584,-24.49815,7.5005183,1251.5349,29.716225,39.097603,-15.34999,-25.94038,64.88369,12.174923,-7.321213,86.470345,-30.560379,-20.848366,291.77014,-17.95819,7.2665844,3.1105154,334.66904,164.79965,-6.1904078,334.46817,218.52304,74.711426,188.23503,29.858097,57.48514,43.50538,127.71296,22.503168,7.852062,-22.601524,36.21555,47.9822,51.226707,110.82848,-4.9440584,-22.16384,-13.786568,105.19588,10.236946,71.704765,15.92635,-5.896623
2020-09-04,134.59811,-2.625768,4.1395535,15.049984,3.8729417,5.605197,122.58739,-1.3566934,6.6346936,205.19272,2.6305118,4.4678197,67.741646,2.6696038,290.3821,54.696472,-1.7644265,12.723146,1763.5261,39.599903,60.18184,-0.5776542,3.2922854,89.36216,-0.4352105,-5.467896,78.0044,0.29880297,4.8961463,392.6878,-2.4062479,23.306784,2.549091,440.36133,147.22217,11.421521,440.99664,289.16037,69.15156,173.56783,19.24398,67.55938,77.54096,140.15926,19.662853,4.0299773,-2.4205554,3.8148618,66.11396,55.600887,129.9459,11.889204,1.5093577,-5.570407,114.11449,3.270607,79.63044,20.708712,6.6229835
2020-09-05,140.3572,-2.8451111,6.4644537,14.3820305,5.4747434,6.047601,128.36928,-2.4225674,2.1561975,206.0181,0.8183181,4.186527,54.13913,2.78777,287.75424,57.26972,-1.4239268,12.06386,1460.7041,39.549164,48.52027,-0.38480735,1.3645842,77.37899,2.393395,-4.9757714,80.35666,-4.14596,1.8215532,335.315,-5.1079783,25.402004,3.4786198,392.97998,160.22357,9.875664,389.74423,246.59172,70.05199,162.56094,24.62017,72.764145,50.25164,144.33873,16.4413,3.0225697,-4.2656775,8.78693,49.371754,62.755375,133.96481,10.988386,-0.8918438,-7.65642,107.121,3.7590947,66.264534,16.682663,6.0619736
2020-09-06,139.13023,-2.845848,6.223825,14.261627,5.3924417,6.0067773,127.23576,-2.2915208,2.476803,207.45589,0.74542326,4.24474,52.074703,2.7496371,290.139,57.555637,-1.2994711,11.834724,1471.992,39.27405,48.076042,-0.41907847,1.8336368,77.9767,2.2187812,-4.6370826,79.62317,-4.081914,2.0772262,338.8705,-4.888561,24.87876,3.3092082,396.39923,158.37247,10.384892,394.4099,249.49196,70.405945,161.21349,24.767456,72.1764,50.187744,143.97365,16.778387,3.0859978,-4.2973924,8.625435,49.856964,62.322285,132.97145,11.21113,-0.82622945,-7.4243436,105.18656,3.6859095,66.1965,16.689697,6.367653
2020-09-07,131.4886,-2.8061693,6.0671616,14.284376,5.172344,5.0329924,120.65518,-2.1866598,0.88423026,192.1984,0.14157024,4.320007,46.15872,2.397906,272.2235,53.55992,-1.4034395,9.863617,1278.9856,37.459652,43.451656,-0.4321015,1.2384553,67.81291,2.3657787,-4.424044,75.26978,-5.611156,1.33913,298.018,-4.381042,22.378937,3.2876003,355.8573,153.5855,9.106083,349.5723,218.08142,65.547035,155.10735,24.250793,69.666374,42.419167,134.39212,14.661299,2.5012574,-4.331423,8.196828,44.69888,60.790268,124.53641,10.5166855,-0.74400663,-7.2684283,100.39833,3.3973045,58.373543,15.149184,5.7000847
2020-09-08,170.22302,-5.8094854,29.518785,28.234245,17.121672,6.6123834,147.108,-33.574364,-15.058788,237.07625,-0.8597682,-0.20764247,36.349968,-7.3590784,271.2419,61.936134,-22.68438,8.45805,1369.2933,38.88483,40.71912,-14.10084,-24.032896,87.3189,11.760427,-7.114557,100.49672,-29.310661,-19.097864,331.00583,-16.441484,10.513214,3.3117511,381.18176,190.64868,-4.30161,402.5792,245.39328,83.35947,212.35387,37.13768,69.17147,51.19944,159.37022,24.237495,7.8200016,-21.6309,34.58988,56.13221,63.41623,135.70921,-1.6820042,-20.11235,-14.170725,117.859,10.3672695,79.036934,19.589525,-3.1351433
2020-09-09,189.09453,-3.3928807,6.2415805,27.225885,3.51232,10.07727,190.03171,2.5942512,12.199733,310.8892,2.801216,8.085603,40.599037,4.4667315,464.8626,81.42442,0.9562005,18.379877,2297.6455,63.405533,69.8811,1.1487281,6.6535673,155.20384,-0.12685363,-5.639409,118.98764,3.352642,7.8989854,536.3917,-1.8167671,34.971806,3.4312146,603.512,220.6552,16.78839,661.0987,393.80655,97.32482,235.402,37.64801,98.93405,101.890945,230.1882,26.54731,5.397108,-1.7709717,4.399278,90.13008,87.739525,203.28455,19.334362,3.9796731,-7.6693354,148.8275,4.793392,107.96729,31.065294,13.2424345
2020-09-10,167.90413,-7.1470113,40.924965,33.986362,23.235678,5.478326,138.91486,-49.24885,-25.485662,221.22551,-2.6831076,-2.7914004,22.103941,-12.859797,218.9069,56.198757,-33.735626,3.457089,1006.09863,33.448265,28.707306,-21.234407,-37.194775,71.94184,16.83322,-7.817407,98.91425,-44.04003,-30.743877,258.02335,-22.115673,-0.98276377,3.221752,304.28186,191.31384,-12.831768,327.85455,192.34645,79.85217,215.90146,40.634808,60.325733,35.557266,143.99835,24.578283,9.4544325,-30.691399,47.558594,48.84865,57.936043,117.92698,-9.156044,-29.808172,-17.108473,107.873344,13.110689,69.7418,17.918165,-9.042989
