Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,68.800804,-1.5575612,2.1650815,0.6685327,4.923725,0.59760755,39.86349,-6.9219403,1.9694079,77.017746,3.170518,-0.3921717,114.53256,0.8959313,72.439865,21.9838,-6.11938,7.176917,1272.292,10.635714,54.213264,-3.3926303,-0.69998795,15.324812,-0.829079,-6.1123915,28.489553,-1.7807552,1.5892274,244.63293,-3.794454,10.4827175,1.644316,265.79218,56.34787,5.5584564,196.9895,184.02284,35.1266,98.68771,-5.8277016,28.309422,56.78744,31.19174,12.551397,3.3308928,-3.4580705,3.282382,41.997192,14.125953,42.429794,3.3131056,-1.3679885,-2.9048493,73.066986,1.7411877,50.21053,10.194275,-1.6161966
2020-05-19,67.33012,-1.5249748,2.1026258,0.34989917,4.9191294,0.47124457,38.054417,-7.025617,1.8629018,74.22851,3.1846964,-0.49478427,115.45667,0.8791432,67.75847,21.255814,-6.192506,7.046372,1261.5133,9.996407,54.067398,-3.4505825,-0.77248234,13.751708,-0.8300871,-6.113601,27.429068,-1.7998568,1.528546,241.45236,-3.8063297,10.199224,1.6305591,261.98697,54.336243,5.4249535,191.60086,181.72289,34.425335,97.17221,-6.350815,27.445232,56.364464,28.888868,12.393366,3.3279142,-3.4799871,3.243111,41.449024,13.238024,40.45987,3.1161304,-1.4286821,-2.8327632,72.21391,1.7114841,49.595592,9.967715,-1.7883122
2020-05-20,80.50729,-1.5931259,2.1152282,1.9849764,4.6858306,1.6485138,52.228714,-6.2655044,3.5090194,98.56823,3.7594507,0.043602824,114.9718,1.3735489,105.02997,27.330767,-5.4477124,9.02453,1455.296,14.691465,58.501156,-3.0159924,0.10974294,29.362549,-1.018223,-6.1796093,36.248974,-0.3460709,2.6105304,286.86624,-3.68075,13.423533,1.6965698,309.9696,67.95554,6.689638,250.00294,214.88924,41.330555,112.04071,-3.4790664,33.64013,65.79339,47.55994,14.644317,3.7307587,-3.0423343,3.088387,48.490532,18.87919,56.072823,4.35905,-0.96053183,-3.0719883,82.10444,2.1279044,59.14686,12.165019,-0.4021032
2020-05-21,71.31389,-1.6661203,2.470707,1.3326749,4.914711,0.77817154,43.696304,-6.8007154,2.0608869,81.64886,2.9870238,-0.18150994,113.230286,0.8926504,79.94175,23.307875,-6.105092,7.4987383,1286.786,11.890249,54.643078,-3.2696323,-0.787224,18.17692,-0.82899046,-6.314995,30.916885,-1.7021252,1.5749713,249.16475,-3.8314092,11.0625725,1.7405668,271.1186,60.44648,5.7233696,205.27022,187.5396,36.47526,101.45978,-4.8195057,30.038246,57.504364,36.00698,12.641728,3.3752964,-3.4197567,3.3943758,42.793705,15.996432,46.493656,3.7006495,-1.2815918,-3.1525133,74.93893,1.7273206,51.41609,10.841006,-1.4592957
2020-05-22,84.052635,-1.648002,2.2101908,2.4932,4.6310654,1.9243543,56.405914,-6.1258793,3.8648481,105.034515,3.8492277,0.20524491,115.255646,1.4669892,114.872185,29.025265,-5.3538084,9.603993,1508.1417,16.013838,59.929424,-2.9178133,0.20277137,33.601395,-1.0789505,-6.313554,38.928043,0.01894486,2.8220234,299.1873,-3.6538873,14.279176,1.7426058,322.72232,71.882164,6.9924755,265.38132,224.05847,43.327,116.48886,-2.6778727,35.462543,68.5455,52.942204,15.201949,3.8525915,-2.9526238,3.0508187,50.46406,20.540562,60.523212,4.746221,-0.84632814,-3.203516,85.20431,2.207701,61.864254,12.929374,-0.107656
2020-05-23,94.431496,-1.5853155,1.8249822,5.1597795,3.909324,2.696085,70.40393,-4.5220923,4.647382,127.770004,3.756584,1.1525974,101.46944,1.9529315,157.56631,34.623257,-3.8191633,10.1814995,1569.8525,21.138523,59.343155,-2.2900023,1.488168,47.694473,-1.0619113,-5.3988867,46.90552,0.4859892,3.7418647,322.65866,-2.7303305,16.004587,1.653901,350.2689,86.11943,8.001251,307.28427,239.58995,49.327488,130.20189,2.6316805,41.88562,72.125206,72.75312,16.492073,3.8952723,-2.4709525,2.576131,54.52124,28.075277,74.351006,5.9710164,-0.30327135,-3.1570475,92.043884,2.6218767,66.99262,14.296987,2.0231879
2020-05-24,91.30096,-1.6875501,2.2791169,8.493222,4.061375,2.2021182,70.72618,-3.4159718,3.750753,123.04241,3.1156516,2.0552943,81.67183,1.8597999,162.61557,32.4143,-3.6183615,7.244922,1318.6481,22.947409,51.438316,-2.160229,1.7111437,43.83679,-0.33870122,-4.8879547,45.936443,-1.7864367,3.1420603,276.9208,-2.1374497,14.019238,1.9358916,311.12317,93.34565,7.259041,274.56732,203.42929,45.135395,128.70596,5.595957,43.5894,60.505596,72.98153,14.46921,3.214924,-2.9201844,2.3669608,49.567993,31.269583,74.066666,6.905299,0.7081659,-3.3791335,85.67264,2.546757,55.43297,13.691987,2.4408748
2020-05-25,106.03312,-1.460534,2.4908414,4.1230574,5.023398,3.76579,76.90805,-4.3019056,1.8899945,139.00648,3.906816,1.0752877,84.840935,2.8263566,172.94887,37.980007,-2.0927513,9.400119,1365.1588,21.832071,48.095013,-1.6561667,1.5522125,40.478302,1.7482709,-3.7599452,49.58722,-3.1032906,2.3890963,287.24014,-4.693818,19.271603,2.367455,329.0798,101.59213,6.8959713,284.85202,209.84763,51.00865,125.09645,7.5160937,47.89265,48.77093,77.64013,15.165787,2.6853273,-3.8355482,6.113872,41.083675,34.70904,80.090675,5.2847676,-1.4996052,-4.4109063,86.678505,3.6283362,55.459846,9.172629,2.4774985
2020-05-26,82.64058,-1.6539133,1.6990799,6.700507,3.2315845,1.3070418,63.84105,-3.0849123,2.7031255,115.30695,1.8152468,2.1220856,72.259575,1.5755209,152.37857,31.233318,-2.886487,6.032041,1184.4513,20.132772,45.868385,-1.8799784,2.1231904,35.93709,-0.63462836,-3.7866485,42.209457,-2.1940675,2.9498582,250.99303,-1.5374247,11.189055,1.5764639,284.5591,84.85928,7.4676857,248.27138,184.42558,43.678154,116.46705,6.162736,39.936146,51.789314,66.58181,12.988319,2.9915607,-2.7851045,2.1869009,44.275932,30.093763,66.057755,6.2917113,0.24049884,-2.861517,76.8314,1.9699322,50.736214,11.696973,2.4747765
2020-05-27,72.00709,-1.6828316,1.8290482,4.8649254,4.167643,0.55209875,48.50991,-4.5164933,1.4412045,85.86648,2.8084118,1.231332,85.2628,0.8992297,104.069786,23.119562,-4.62333,4.6126018,1057.0692,15.277176,45.621784,-2.4665642,0.323252,19.196606,-0.51256514,-4.952066,32.602463,-3.4595728,1.8952712,212.71344,-2.1609519,9.42043,1.68143,242.58778,70.79448,5.2315254,189.97604,156.13028,34.15241,105.56789,-0.06859112,33.590477,48.03599,41.796257,11.27019,2.3322458,-3.0984871,2.0058868,39.755886,21.29262,50.001247,4.901958,0.37170056,-2.93348,71.65287,1.7042763,42.056553,9.862721,-0.05083266
