Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-09-01,200.16797,-4.4092,-3.7990396,27.273245,-5.3928885,-0.5632253,160.39346,-4.394933,2.3752,334.33005,-10.19366,13.002745,-3.104845,-0.44348195,303.99106,43.76279,3.9593172,1.9230942,1187.7905,78.0791,25.598452,2.0620878,10.237176,164.81612,-4.0929723,-2.0158415,87.41924,1.6390394,3.952735,278.40027,-1.33457,32.43628,8.462693,610.0507,292.29285,9.660289,518.886,261.52975,59.705044,181.90398,26.273,64.69496,76.041664,205.68521,18.340712,7.5597982,2.913084,1.5941284,82.587006,37.31969,187.17758,17.432646,0.9575919,-5.7978625,129.41966,-3.0902033,152.92317,38.079628,8.813573
2020-09-02,178.33556,-3.4865456,7.522505,27.52596,-1.3340648,-1.7004793,127.99646,-1.6207044,7.7418184,275.3438,-2.0725026,8.833971,24.060215,2.551237,283.3914,41.42885,-0.30737752,4.530772,1132.8981,43.54968,25.314966,2.9675732,8.49743,98.80546,-4.6362777,1.9847689,81.70452,8.061402,3.3948474,218.85089,-0.92657435,27.632471,-0.28857023,397.78003,166.30894,11.4859085,297.23965,212.28322,69.293816,96.878654,20.970442,57.398342,42.94585,151.13237,15.556381,8.887447,4.6213393,-0.7816645,52.071,49.638134,104.10085,9.542155,6.2075543,-0.5984438,96.85527,-3.0584092,87.868,21.27626,12.334064
2020-09-03,290.20157,-2.4277766,7.018285,13.787811,-9.97699,-7.3310657,199.97249,8.276779,18.368942,309.62875,-8.977942,1.8265034,-24.291119,-10.529567,313.95566,8.4454365,-4.0359583,3.5408885,1167.0466,53.336014,41.966038,3.1194375,1.7801318,67.46381,-6.3787727,18.73362,155.61899,-14.2338915,-5.417294,340.3807,-0.15299247,61.480198,-3.332904,250.28476,228.3902,1.0928562,371.74518,272.50122,92.304276,100.76049,18.964764,63.508938,11.909851,175.52887,32.546394,-0.113573134,11.670636,-6.9751925,45.004143,65.38796,250.40599,13.85624,12.940069,7.340456,90.139366,-7.011067,53.865475,25.678251,17.068455
2020-09-04,138.99548,4.8247385,6.503668,25.032593,-1.4485035,9.408504,72.266464,4.3009233,-2.02125,259.08517,3.9780474,5.4627943,87.96124,6.1007795,287.89304,6.384375,6.1250677,12.278006,2170.629,1.0848708,54.64795,-0.6772146,11.4561405,67.87088,-4.8508134,2.4875567,55.545124,-1.9000084,8.553914,389.0767,0.3365326,39.305176,2.0589168,296.35828,183.621,18.806108,66.9764,332.24158,74.663,124.24744,31.59432,59.138897,40.104538,189.22372,-3.396193,13.810804,3.830948,3.9051063,38.036118,68.97334,120.24838,6.2732477,-0.92202014,2.2879286,113.92695,7.702613,107.31007,30.603182,12.479802
2020-09-05,169.58838,1.1483881,-0.7588969,24.24823,4.270997,-9.11281,177.38106,2.118004,27.202513,209.59523,5.989156,2.3811846,-1.1643448,-10.55382,280.17722,25.841484,0.82043064,-0.22005945,1080.4338,36.03956,43.228565,3.2916014,6.181936,39.262638,3.3170338,13.826235,113.81092,0.6013583,-3.0493531,293.69528,0.2591964,56.20672,-0.050176788,174.85425,215.48195,-0.2740773,382.76724,236.40953,86.050285,118.64415,19.714212,74.05435,47.37814,132.31598,41.815014,-4.185208,4.347644,-5.048183,37.806423,45.25899,146.6341,17.785608,26.556383,8.111123,86.28073,-1.5228477,76.33686,9.511972,10.431279
2020-09-06,41.776802,-7.823987,29.3044,26.866251,12.267755,-5.6889825,129.80243,0.078231215,16.899218,17.288275,11.88778,-8.489772,2.7657423,-11.639258,247.75133,53.56613,0.0653235,0.68806666,1326.4418,-26.419273,11.607271,5.575457,13.42086,6.881679,-1.5182102,10.533443,35.07332,10.288728,4.484978,167.10297,1.6777302,32.21724,-8.636045,-378.14703,-56.77152,23.06517,155.30609,215.55978,52.756435,60.223278,23.580036,26.54203,4.606865,35.018917,7.2148952,-1.4402289,4.766445,-9.572602,-35.543118,95.78358,30.818361,-1.90239,9.561131,7.6253247,21.604006,-8.417809,-8.206966,4.7317653,10.723881
2020-09-07,234.87286,-0.28416502,2.4674368,32.40332,-8.509057,2.3777046,137.72179,0.36269626,1.8402271,349.35358,-6.861239,18.943945,51.434315,10.125619,369.58502,43.419754,6.4759207,10.114155,1229.9298,58.77848,39.39784,-0.6086236,16.08441,156.72815,-7.1882505,1.3104248,89.904015,-1.3943273,5.8544025,311.66245,-2.9294994,39.052296,6.8364186,614.2893,323.56573,10.162291,268.2073,251.82532,88.02365,147.68663,49.979324,103.17694,17.03551,240.8578,0.84992456,18.723635,3.114796,4.6222386,76.746124,50.62487,171.9039,9.372185,-1.7063253,-2.4159474,155.1904,0.94986695,129.9795,32.94551,14.491067
2020-09-08,105.05443,-4.3729987,6.2979393,11.684992,5.0434947,-7.431746,138.9049,-5.5692186,5.080064,174.3689,6.3170605,3.7424266,7.29265,-2.8870244,198.55081,48.91687,-0.2473129,-5.932482,1083.688,21.877632,10.290518,4.8194685,5.1036305,11.41452,-2.6742902,-0.87423235,79.74433,10.157159,-1.3957399,188.9781,2.2284272,16.302504,1.5216297,140.85635,107.27404,5.1855445,276.03867,173.63237,64.98719,81.18841,6.369837,35.826683,33.315113,109.60642,19.705048,-0.68229467,4.1729155,-5.1356363,10.693093,58.33898,71.71669,14.077637,9.837895,-2.1375928,63.632122,-3.5866911,39.817234,7.9068394,9.511846
2020-09-09,308.6854,-4.1785917,14.218255,35.852726,-5.4677043,-8.956185,178.63823,-3.908297,17.984991,406.47922,-10.330865,17.981195,12.533357,6.653358,343.5494,60.424046,2.249146,-2.6763082,1747.9224,77.975075,23.615505,-0.2586187,19.060856,126.79115,-3.950864,3.8626633,118.13402,2.5928705,-1.854685,344.4552,-6.212263,25.567556,4.0458207,610.0602,220.8001,14.130858,608.0074,325.65173,95.85543,102.63483,20.67198,66.95046,68.99875,177.0753,22.892761,9.785789,-0.39616004,-0.06673604,83.15777,65.440254,154.8848,21.594288,12.932108,-4.006889,116.38544,-5.662075,127.62393,29.80291,20.302536
2020-09-10,166.979,7.4883695,-0.97575516,41.437046,8.434938,5.695157,174.36833,15.978514,24.896103,278.0899,-16.380644,-4.659107,-27.686932,-11.327348,308.5888,32.960022,0.35986996,8.14853,1317.8257,38.270893,21.324532,-4.4074407,21.401098,84.11336,-1.5693451,5.7450676,85.493546,-2.8141978,-0.2421506,305.16687,-4.885999,55.33816,4.577419,250.90773,169.0621,20.37137,377.26385,273.43222,96.12101,86.63948,26.2075,50.68791,48.726364,117.86193,27.844433,-3.7324724,4.4999814,-1.5741382,36.052967,88.69499,164.79915,12.215647,9.60782,9.222113,47.03761,5.7981715,86.26846,25.78098,15.479089
