Day,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Out of CA,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2020-05-18,63.6657,2.2704833,6.9887924,2.161364,-1.7266064,3.300102,32.997368,6.4646783,3.0407047,54.200882,2.165407,1.3219779,86.14515,0.6304041,92.31873,24.495136,2.054266,3.9490924,854.83466,-4.1292114,42.992393,-2.179635,6.128386,-3.396802,-1.1019241,4.25098,19.462847,2.2431407,2.8987908,195.89659,1.0421292,8.986225,-2.0414345,114.3991,37.91046,5.093224,49.84492,124.403786,38.13484,55.21988,8.395691,34.765156,3.588242,43.707985,-4.013661,5.0414495,1.2734939,2.8376627,4.2648396,25.701563,22.496937,2.926958,3.0696502,3.7395408,49.263428,1.7351006,27.477516,3.2514381,4.2057657
2020-05-19,70.43203,1.4611726,4.5399513,-0.8250053,-0.5392388,3.1720576,41.77458,5.655043,4.0507064,63.33117,1.7350745,-0.715163,87.84903,-2.340263,82.49035,26.46511,0.17209113,4.150736,1124.1692,0.19928719,47.27588,-1.9291666,2.1440315,2.981357,0.1876118,4.898931,23.534883,4.327154,1.8716245,237.43713,1.8997471,4.535158,-2.9895473,154.15987,39.27009,4.211808,139.31299,167.9862,36.859856,75.26452,3.6615102,26.786516,21.112822,47.36519,-0.76204383,2.8675022,2.1175797,2.640153,7.3090997,18.259878,26.141459,4.676527,4.8335056,4.5511374,55.116608,1.3192401,39.832882,3.3388727,3.7920313
2020-05-20,101.96769,0.6245511,8.263757,-0.19602793,-1.3095987,1.061939,55.487617,5.6281314,5.322262,88.34624,2.5039577,-1.5894036,100.50887,-4.3160434,78.31057,28.482883,-0.78121096,2.840273,1666.5205,-1.9011288,51.85379,-1.5270277,2.0736187,3.9603848,0.92006606,6.033813,37.608555,1.1128907,0.31684947,307.36386,2.4714246,9.472038,-4.5036745,146.71059,56.71273,4.1891522,173.08517,248.14351,38.965527,94.23331,2.1962674,28.638165,32.361614,64.276665,1.8176372,1.786479,2.91105,0.8073412,13.451773,31.792763,39.701595,6.0257754,7.997887,5.6380377,65.93362,0.3775129,51.162292,9.010748,4.526438
2020-05-21,80.08281,2.9117026,3.2477713,4.0108924,-1.1099739,4.2700567,39.23266,6.490265,5.6724596,97.65515,1.2592057,1.895768,88.86876,0.47054738,98.63381,26.146675,1.4982852,5.937842,1078.504,5.896549,50.410824,-2.2211525,4.805903,15.707474,-0.061236512,3.4806378,19.602335,6.9957857,4.006631,231.07648,1.6361425,6.27331,-1.5746229,248.30391,59.96985,5.6711287,125.19817,153.58978,41.247112,82.4134,8.536157,34.774467,27.583757,51.173306,-2.3152037,3.0956883,1.6350346,3.7640479,15.480471,17.45636,35.768078,5.4075522,4.641865,3.3541248,68.97113,2.3238196,61.23316,4.7832904,4.7309685
2020-05-22,89.376976,2.8193583,3.5399737,2.3845568,-1.2312552,3.2444375,51.868587,6.865262,7.375682,98.739426,0.2578233,2.747607,90.54856,-0.34779483,111.17273,32.943825,1.1333785,3.12087,1212.2782,9.649518,51.42341,-2.6478784,5.230612,16.007757,0.4388355,4.342994,22.414608,7.213908,3.1410632,250.8551,1.473943,4.00012,-1.3956121,254.48665,48.940434,5.296513,208.76297,171.58412,45.111866,87.02925,6.8380647,34.846237,31.167208,49.33894,-1.3706033,2.7919724,1.1441535,4.1481857,15.443253,17.125057,33.240414,7.5365567,5.5593762,3.5049052,70.88806,1.9614626,60.64471,3.9629052,5.2101727
2020-05-23,84.33548,2.1050944,6.6495423,1.4811631,-0.5699135,2.7162986,57.091198,6.1785607,6.1500893,87.68375,2.3593476,1.576125,93.11625,-1.2268717,119.41684,34.266438,0.83150625,2.1673455,1271.6365,4.938295,49.10217,-1.9733677,5.071663,6.1800494,-0.12854266,4.434574,27.871141,6.3723373,2.0418954,254.62202,2.0284948,7.763581,-2.3272824,189.20155,42.497906,6.0696797,168.08716,182.41335,46.722923,73.79618,4.8126984,34.41806,23.951677,58.326576,-0.5373727,3.5572696,1.9208721,2.7973304,10.346827,29.490206,29.896086,7.5132275,5.8889604,3.9082327,63.107124,1.7971793,47.337246,2.5840766,6.1585164
2020-05-24,83.53619,2.6784096,4.542851,5.650416,-1.2334169,5.3551173,47.36355,6.5337586,5.7372117,112.844345,1.832675,2.1305397,94.99285,0.5462014,140.4444,30.814857,1.9616861,6.5172663,1108.368,7.7785153,54.399185,-2.30969,5.508426,24.550356,-0.77183557,3.7555056,22.416475,7.3262386,4.6372824,255.46024,1.8676424,9.431849,-1.3211371,268.50317,68.52861,7.2260275,130.50365,165.91605,48.260555,86.493835,10.605647,40.073715,26.747698,70.17152,-1.802891,5.0256057,1.9300029,4.244553,17.663485,24.711067,44.796432,6.499727,4.3616905,3.5386817,73.4456,2.79341,61.289604,4.626613,6.2212477
2020-05-25,81.11161,2.9362924,2.267418,5.105596,-0.8896767,6.350207,52.81219,6.387275,5.858483,115.76485,1.6715525,1.6355906,91.79954,-0.04592496,143.48253,30.77988,1.6229346,5.9041977,1180.9703,12.139634,54.242348,-2.324065,4.3657546,32.768635,-0.2797991,3.801159,22.575987,8.106868,4.9544697,260.34216,2.042808,8.94924,-1.1451434,290.22403,69.28979,7.067108,180.84596,175.81737,46.374054,96.94504,9.613028,38.58613,33.905018,71.177795,-0.5070832,4.653829,2.135975,4.6873927,20.102665,21.335175,46.05965,6.496633,4.082611,3.5829253,77.579155,3.3053184,69.28666,5.039948,5.7720227
2020-05-26,103.434494,1.1137414,5.940617,0.21263766,-2.5565937,4.917892,68.662636,5.3368826,5.016913,113.78552,2.9208825,-0.94362205,96.04218,-4.333232,130.68636,25.253342,1.0455332,2.531578,1931.1233,8.11415,62.4247,-2.0911336,0.87834173,22.145094,-0.66166884,6.768013,36.52115,-0.3750189,2.2210593,371.93808,1.6298008,12.808063,-2.6355832,209.58435,72.553604,5.5727143,302.21472,291.95724,43.525063,130.20695,3.582301,29.220121,55.922535,79.12283,7.519067,3.7991807,2.257977,3.1404765,24.82304,20.183376,69.845184,8.214608,4.9680367,4.0665374,81.39477,1.7766669,67.73368,11.387596,3.434011
2020-05-27,72.68328,2.3082223,6.0061445,0.12886812,-1.8400542,3.1635838,32.887314,6.8608093,3.2468777,59.12481,1.4598639,0.8095462,90.32667,-0.3496539,76.08017,25.676315,1.3712269,4.149071,1009.5874,-1.2680261,46.83325,-2.500197,4.6789484,-6.5877404,-0.53919005,4.451221,21.639315,2.58847,2.411264,231.88182,1.4151814,7.095003,-2.1744711,140.30118,42.0251,5.078286,78.25296,149.22946,37.404156,59.932976,5.3323555,31.603643,10.590717,45.58672,-3.3259392,4.3718963,1.4388845,3.2625072,7.695152,22.201225,28.556728,4.160273,3.4789436,4.145787,49.108997,1.9272051,32.93697,3.704364,4.1411276
2020-05-28,75.32916,2.155021,3.4830332,2.895963,-1.688674,4.551464,39.340015,5.6625905,4.6204267,90.68135,1.547605,1.1379845,81.35906,-0.08727208,102.99643,24.605652,1.5673196,5.3328834,1089.604,6.850742,48.848915,-2.1182504,3.5231636,17.841028,-0.54991764,3.850635,19.83384,4.8816833,3.652701,239.98225,1.353033,7.01923,-1.5499724,225.7928,58.179695,5.3896556,151.35603,162.64868,38.37079,83.97702,7.800421,31.349943,29.445723,53.305286,-0.3180256,3.7288814,1.4943856,3.6821535,16.268763,14.367947,42.76575,5.221282,3.8777187,2.9669762,65.03243,1.9545861,56.375267,5.5432444,3.8747096
2020-05-29,90.06259,0.19997993,7.556258,2.711272,-0.65762365,2.2241979,50.744736,4.4378715,5.1970863,90.79002,1.9337252,-0.14400327,88.10618,-1.8266103,111.43177,30.251617,0.25892314,4.8443985,1250.2766,4.0719266,47.326614,-1.5386434,3.620846,16.449041,0.20980065,5.2343864,33.03756,4.907812,1.6516162,265.15482,1.7286836,8.457466,-3.2976017,187.2057,58.794243,5.748301,156.82535,199.57309,41.53746,76.38557,5.7951603,30.663338,22.465067,69.7416,0.12745875,4.054052,2.1879325,1.8274881,13.085219,29.16762,38.62762,6.001214,6.7596836,4.420526,59.977505,0.203942,49.614155,6.5524497,5.9376745
