Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-05-24,0.13155854,-0.15377083,16.608694,2.3753567,0.091925696,4.1345797,-0.015284533,0.30851808,0.05883477,-0.036293745,11.40635,0.824557,-0.048448354,0.7467744,0.07302773,39.98741,0.44214797,0.7795715,-0.1307078,0.13367413,0.015451698,0.11045617,0.869771,0.123666525,0.05349841,13.672017,-0.045993846,0.41766265,-0.022147924,13.864696,5.3056493,0.037273273,3.4847665,-0.029128224,-0.14105864,1.0534059,0.048144083
2020-05-31,0.116402745,-0.039720207,18.570929,-0.25143492,0.85782295,1.8160794,0.06720478,1.7152728,-0.19423825,-0.011466242,11.844497,4.122641,-0.024604946,-0.013869979,0.011805858,30.699944,0.2810934,0.20998293,0.0055078343,-0.04529333,-0.032784775,0.8502739,-0.14379603,0.042757735,0.0095293075,12.775502,-0.027005032,1.2335517,0.073648565,9.53693,3.672195,0.006159112,5.9343066,-0.023528948,-0.066856846,0.13584614,0.03557518
2020-06-07,0.7959033,-0.011751056,16.976686,0.18500519,0.020525128,5.3956585,-0.11317202,1.2466824,0.045361005,0.007315859,18.101318,3.4658394,0.07244694,-0.035666205,0.03816257,29.001757,1.6934242,-0.006495502,0.07959991,0.16689497,-0.07559614,0.21038124,-0.031468965,0.120446205,0.031716213,11.7262125,-0.00049492717,2.8127346,-0.04437615,12.095968,7.22897,-0.11216007,6.5613456,0.02515027,-0.11667654,0.41389048,-0.060280576
2020-06-14,0.7291173,-0.13160518,17.160025,0.79349935,-0.06375861,3.2988377,-0.05154588,1.8421358,-0.19323996,0.008906393,26.605461,6.1610456,0.049690157,-0.058686733,0.91618246,29.82232,1.004498,-0.1365169,1.8342638,2.9064813,-0.064478844,0.079328716,0.864643,0.19848856,-0.061158963,8.542163,0.00030440465,1.794993,-0.04667048,8.831024,10.832868,-0.036286354,1.0434859,-0.05309066,0.7972487,1.1105086,0.021016214
2020-06-21,0.9700964,-0.06318998,21.99056,0.31836107,-0.05626324,7.374193,1.8778906,2.085297,0.2914776,0.032155216,19.983698,11.974829,1.0843359,0.8523644,0.92781365,46.26073,4.880663,2.8990383,0.07479197,0.99603605,-0.03915012,0.05992934,0.044847637,0.11773156,0.012064785,18.094557,0.028833626,1.2312243,1.0000062,12.746035,18.131666,0.9985099,1.2377126,0.07020361,2.9371715,4.072052,0.95603454
2020-06-28,0.042997748,0.07344052,21.972368,2.6426709,-0.05892226,10.374442,0.081084825,2.0132182,1.6737837,0.003440883,24.012918,9.223224,1.076007,-0.040608123,0.012667775,38.071667,2.4964628,0.04724605,-0.06782692,1.6237452,-0.028630693,1.031763,1.7140868,1.0523819,-0.0048502907,17.273848,-0.0070968345,2.1360993,0.0049310327,7.4564347,27.139488,0.100115344,3.4462063,-0.09044649,0.06759281,4.820463,0.05915472
2020-07-05,1.0047219,-0.09748396,23.654501,4.7935076,0.018366918,14.097955,0.097635806,3.8200772,6.6054435,0.002300486,18.548658,8.841817,1.0002652,-0.09967095,-0.04521387,59.49216,2.0851946,1.1854035,-0.020560361,-0.07602784,-0.00031654089,0.010155797,0.84122705,0.08713104,-0.0021920502,17.068754,-0.0043142764,5.066716,0.14528567,14.907519,20.703365,1.0213779,5.0739694,0.11012682,2.8526697,3.1442826,0.03477093
2020-07-12,3.993508,-0.06487647,14.998009,4.0457664,-0.020872638,10.5467205,0.005306978,6.9458404,3.8976905,0.046057712,22.743015,6.07165,1.0444974,-0.09293963,1.9900692,61.000847,8.9879675,1.0327446,-0.029587694,1.9404166,0.012520915,1.0371385,2.8550057,0.087530464,2.9966152,31.934948,0.040098943,5.1657867,0.0612204,16.96521,30.861055,1.0865208,5.203428,0.043468907,2.981216,5.0946517,0.021741942
2020-07-19,3.9092934,-0.024329215,14.504047,5.0198565,-0.04926151,11.064282,0.86341745,0.1187734,5.856834,0.05140571,11.690149,5.8908195,0.9865048,-0.054460216,0.07133949,51.71551,5.9486046,7.51112,0.9478306,1.9164146,0.074688196,1.0826659,5.0370684,0.1166521,1.0407165,46.539658,0.054375082,7.669752,1.8835499,16.094688,34.572144,1.0772362,6.078477,1.8964021,5.7060394,5.673466,0.002207024
2020-07-26,1.4746993,-0.19914165,12.557557,7.8808546,0.80155265,15.637133,0.08762995,0.98639965,5.228466,0.10694824,7.7860374,4.708587,1.1754671,-0.042734474,0.06368792,73.127464,6.42651,3.634258,0.060327176,1.3722163,0.99439996,1.925472,7.9167576,1.054398,0.16382378,54.09922,0.113455735,4.515206,0.3310107,21.558935,49.59159,1.9536749,5.2149568,0.4443183,7.4672976,3.8699281,0.0075149653
