Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Una,Walla Walla,Whatcom,Whitman
2020-05-24,0.012676477,-0.031014934,16.96528,2.4201329,0.042503256,3.6235795,0.03314212,-0.040972784,-0.16968578,-0.017000483,11.01737,0.2525162,-0.10205704,0.9844354,0.013583206,39.820377,0.24517845,1.0586782,-0.03666036,0.04624179,-0.044802696,-0.033328295,0.9681635,0.044832822,-0.19255632,13.820793,-0.011229575,0.18966323,-0.053052086,14.018593,5.092479,0.06428163,3.3599968,-0.005889103,0.25017878,0.73043036,0.0629949
2020-05-31,-0.0016359687,0.06816891,19.038076,0.015375853,0.82732767,1.8797386,-0.04759976,1.7573493,-0.04803532,-0.013358494,12.03688,3.5209785,0.032791846,0.017436028,-0.06714219,31.811443,0.24171375,-0.103807576,-0.13094686,-0.1430621,-0.06401402,0.9015778,0.0060094,0.029741876,-0.031750463,13.542246,-0.003816776,1.3388225,-0.0284768,10.324865,3.7009482,-0.067672,6.5673018,-0.048925206,-0.19137636,-0.18661264,-0.018264264
2020-06-07,0.7895287,0.040796965,16.96732,0.05982119,0.13252386,5.458268,-0.14960691,0.9480743,0.010123413,-0.015664771,16.986017,2.6923661,-0.018676072,0.062940516,-0.071790926,29.915432,1.5690814,0.039925583,0.018763542,-0.029603481,-0.057173464,0.1502654,0.1483597,0.05338578,-0.16376282,12.660831,-0.011868224,2.7348866,-0.10914025,12.976033,6.2137704,-0.031300023,7.1628623,0.019905448,0.061371412,-0.27313137,-0.040935267
2020-06-14,0.9751574,-0.086564735,17.647823,0.5683057,-0.03342197,3.121025,0.13558508,1.6120628,-0.46976462,0.009807562,24.58709,5.497245,-0.038428247,0.18694633,0.77495253,30.685547,1.0587537,0.32493111,1.3936425,2.3559628,-0.13391149,-0.0053162277,0.52166724,0.09397311,-0.015553912,9.58182,0.0027166232,1.6046318,0.021377362,10.385804,10.150194,0.064461835,1.9183037,-0.058379725,0.89463603,1.1041257,0.12523429
2020-06-21,0.8758948,0.08023104,22.642855,0.6417254,-0.11953739,6.6587443,1.785364,1.9445211,-0.008497562,0.05184444,20.64865,11.611033,1.0460515,1.0131366,0.9624338,46.203648,4.6131086,2.8374164,0.12152683,1.0580635,-0.1116694,0.10591471,0.2731889,0.0785812,-0.003958551,18.40569,0.037269253,0.8726187,0.8874463,13.001877,18.95966,0.93405867,1.3589114,-0.060108706,3.0890837,3.8991737,0.932954
2020-06-28,-0.01350081,0.05186087,22.315754,2.6065958,-0.14728239,9.400445,0.3056034,1.9170234,1.7460594,-0.006981845,24.259712,9.768277,1.1166049,0.16339159,0.15770984,38.220413,2.4589965,0.63344264,0.1578849,1.9112397,-0.014783166,0.8206134,1.9457954,0.89725906,-0.19857335,17.480394,-0.01616352,2.0096865,0.14765674,7.3341503,26.53757,0.10652588,2.6630096,0.046554208,0.8397228,4.866351,0.115504965
2020-07-05,1.1389947,0.00055092573,23.287378,4.5517564,-0.115964256,12.558036,0.12472333,4.1866593,5.9219856,0.07517061,19.263067,9.501473,1.0664896,0.13802466,0.228542,57.580307,2.6502001,0.9711203,-0.04733081,0.14392325,-0.16925326,0.084893584,0.736831,0.043391388,0.2203505,16.842348,0.059073593,4.191311,-0.012678172,14.807742,20.375975,1.0421972,4.549137,-0.14204188,3.2531447,3.0763178,0.14211698
2020-07-12,3.7934904,0.02469194,15.042469,4.1207275,-0.03388623,9.772943,-0.09430078,6.77127,4.1671495,0.02587993,22.977457,5.7854624,0.8969811,-0.06234756,1.9629169,60.286472,8.739907,1.2764353,0.18060711,2.0381796,-0.07464338,1.0550499,3.3985333,0.029949185,2.8955445,32.596786,0.0170434,5.179054,-0.038704783,16.602324,31.697355,1.0086281,4.8277626,-0.05220996,3.2968218,4.8590364,-0.060285687
2020-07-19,3.7690763,0.014968127,14.334803,4.7110214,0.0042890385,10.474711,0.8009266,0.13505283,6.2062254,-0.038415994,11.540005,6.0994244,0.8754519,-0.004678618,0.027029298,51.675858,5.8887634,7.4145675,0.92400616,2.0258229,0.0025302768,1.1029084,5.4539576,0.13874328,0.9371297,47.36028,-0.024888478,7.2104354,1.6765952,16.273046,34.827805,1.0803566,5.487231,1.6436826,5.810619,5.208194,0.050446786
2020-07-26,1.9377785,-0.0005904585,12.757637,8.00471,0.8712242,14.879714,0.0362936,1.0167046,5.1775975,0.00585477,8.374134,4.8487234,0.99217,-0.0004151985,0.008745939,72.80813,6.1490774,3.7276173,0.07131821,1.4645237,0.77765876,2.0783522,7.673271,0.95452636,0.27973303,55.205563,-3.2439828e-05,4.574342,0.20279613,22.610939,51.051094,1.8909373,5.3338566,0.23396963,7.810478,3.5645022,0.0055014836
