Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-09-01,4.9511175,0.6727723,15.504702,28.199926,5.0707755,19.352823,-0.13407893,0.4640331,15.0939865,1.4663087,10.271673,0.3549494,35.129505,5.512601,1.2946377,1.1513838,125.138664,9.660128,3.2122037,2.2262855,4.7110624,0.3320054,6.473698,4.178176,-0.08802187,1.6055838,0.31831247,54.683434,-0.6024007,7.8042727,0.18332484,34.67243,37.97328,1.0811583,8.653847,-0.36199245,16.759066,7.93783,5.67132,21.971182
2020-09-02,6.1445804,1.5913341,18.93964,27.218245,2.7173505,16.28588,-0.2632219,2.3634422,14.964399,1.0809492,17.165697,0.40871784,33.555447,8.986684,2.2299879,1.534132,141.03635,15.321187,-0.4309163,-0.505311,6.0331554,1.0439104,3.3483033,6.3294744,-0.44029382,0.26171902,0.38534814,65.74962,-0.769632,10.1608925,-0.35704875,25.92129,50.333504,1.357692,9.242819,-0.48010728,13.709201,7.75637,4.766667,38.196106
2020-09-03,18.250221,2.2688527,29.246258,35.29426,3.9056358,24.984655,-0.38482526,3.6548293,22.365723,0.6912321,42.047585,0.5282936,62.665394,11.282909,1.6805147,0.2675162,245.42867,20.49786,7.636942,1.1369864,9.746227,2.032152,7.836506,18.13674,-0.767474,1.5071694,0.9846063,99.56221,0.058366947,14.12492,-0.10955397,55.447407,76.43728,2.7557294,17.912281,-0.7143994,14.340003,6.0391097,8.487886,52.096664
2020-09-04,5.388127,0.19229537,13.845814,11.201506,1.9556693,14.953977,0.13986182,2.4802737,8.05848,0.50050205,12.032645,0.15354125,17.79509,3.3073997,0.9607098,0.31779948,85.504616,7.5251255,2.2593024,0.11440179,3.6368961,0.26334974,3.6876426,6.4788437,0.02646966,1.1807985,-0.059620425,41.070477,-0.16724119,5.861628,0.1716316,26.514677,32.97341,0.5920106,8.171854,-0.33790922,8.396257,5.204469,21.071043,17.119684
2020-09-05,4.6782084,0.19340011,15.407507,8.90173,2.4382832,11.992266,0.14597565,1.3485055,7.4118166,0.6498131,9.823809,0.011064457,20.447664,2.331474,0.97781515,0.1472817,77.34887,4.5299635,1.5128056,-0.031759188,3.3354006,0.3132896,4.325562,4.968871,-0.13322057,0.99458563,-0.18936881,28.515818,-0.27875116,4.754191,0.5127567,24.284458,30.063072,0.8549747,6.6472573,-0.6863457,8.791685,5.1836715,35.45569,18.852516
2020-09-06,4.3624616,0.44442216,16.37715,15.754022,1.525914,14.26068,0.038083307,2.3333588,11.289622,0.08781559,11.886951,0.41583005,24.613585,1.9356313,1.1066343,0.90710473,116.41829,8.350533,1.4085444,0.4823249,4.9520307,-0.21284202,3.4648962,5.8252354,-0.03613697,1.3989575,-0.27260846,44.577145,-0.18213394,5.6953845,0.38085273,30.384735,38.56301,0.4912176,9.17885,-0.66257006,10.460722,4.018016,22.744183,24.05402
2020-09-07,6.86619,-0.014413856,19.118172,7.0518265,2.0187838,12.128945,-0.047722004,0.92939466,7.721841,0.65512973,10.971322,0.19948378,21.765554,3.4617088,0.7046859,0.10116449,96.56115,5.079553,2.169105,0.23158318,3.3571568,0.3751798,4.388006,5.193884,-0.16989018,0.9423994,-0.30155623,28.729332,-0.414458,5.077983,0.6703571,29.088743,34.248882,0.5828604,9.119602,-0.73249584,8.097464,5.4163837,43.989746,14.959816
2020-09-08,6.4692655,0.5698343,23.140938,18.101997,2.9407408,18.949934,-0.025053078,1.2955751,11.90746,0.7233105,16.320494,0.48382106,35.422726,5.0173187,1.3109558,0.412647,131.7799,7.320608,3.288097,-0.5946474,5.5077353,0.65723985,5.948659,6.862525,-0.4197917,1.2951053,0.0063711405,48.172714,-0.2144652,7.8114986,0.4748467,38.755783,53.507694,1.0642772,10.2456045,-0.92853403,13.882251,6.0440173,48.77009,29.303747
2020-09-09,6.8289824,0.24986921,15.405997,3.487936,1.2550766,9.963209,0.047707543,1.2640322,4.6149864,0.6472642,12.520265,0.1054473,18.283354,5.367684,0.5786384,0.089744486,85.27461,6.8307743,1.5825686,0.5718929,3.011251,0.3721327,2.694847,4.2599306,-0.111600794,0.43510413,-0.17874494,27.273905,-0.536247,4.757637,0.4068002,20.913456,26.98385,0.48656374,6.8778386,-0.4307183,5.269273,5.7358027,38.0261,12.631341
2020-09-10,9.556829,0.9997949,23.646126,23.938513,2.6552215,18.559542,-0.06133368,1.939822,14.560514,0.8349065,18.924793,0.7014044,42.486874,4.040306,0.9295423,0.6202288,156.92857,11.3474045,1.8648231,1.9975595,5.732394,0.33978033,4.6963696,10.311657,-0.12469355,1.0984702,0.5452224,60.611115,-0.3261677,7.87842,0.56777847,34.847843,50.74773,1.5652168,10.014516,-0.501273,12.679615,5.4234514,8.896533,34.418407
