Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-05-18,1.5584251,0.3846719,11.2880125,0.87271243,0.5831919,4.1711445,0.23394613,0.85439086,1.0902578,-0.2461594,12.493951,0.16155934,1.1224132,0.4238124,0.1157451,-0.15257502,45.511818,0.5594315,0.40756655,0.35610586,-0.0694918,-0.23013294,1.2842261,-0.77784836,0.2796146,0.10925108,-0.24573922,8.220478,-0.22332776,0.55758786,-0.5631891,9.275013,11.222879,0.92458797,2.7628026,0.23369431,-0.18085659,2.4853787,0.8088243,107.978874
2020-05-19,0.37425274,0.33572644,7.4679413,2.6679037,0.16069067,3.6028638,0.13801563,0.52017266,0.7188786,0.04658047,8.798757,-0.09363789,-1.8007345,-0.04577884,-0.042398036,0.15068167,37.237038,0.46831995,1.0521358,0.4801548,0.23664773,0.11269686,-0.053310096,0.46527302,0.1258944,0.15690117,-0.07280858,9.803767,-0.15108424,-0.16077673,-0.07276527,13.5189,7.9600325,1.0948617,0.711799,0.15348542,-2.6843204,3.071873,0.1322371,54.22026
2020-05-20,-0.16038132,-0.13653992,5.8788986,2.3455262,1.3866417,1.2028377,0.10834332,-0.8050931,0.78334767,-0.34375268,3.0467124,-0.29914197,-2.1228924,0.20294066,-0.26134798,-0.2897434,31.500998,-1.0488083,2.7445395,-0.08532496,-0.4339652,-0.20766819,1.4384956,0.4754178,0.03579649,0.2530896,0.26398882,1.7264247,0.14415395,-0.7017212,-0.25962248,6.021144,2.443644,1.0172114,0.41581726,0.18717769,-0.9181944,2.7698855,-0.103934646,76.54541
2020-05-21,-1.2778479,0.85438395,4.7432704,8.495913,0.37038988,1.6541495,-0.14706516,0.77150697,2.9427729,0.16337346,6.3179927,0.16184224,-1.3335919,-0.87242126,0.4775529,0.6223184,23.748838,-0.2481904,1.6884189,0.09963706,0.7115657,0.13632655,-0.9136559,0.7138694,-0.06704558,-0.35219118,-0.027188018,3.6924868,-0.32030845,-0.23458195,-0.17036012,17.4181,4.7851534,-0.12054247,-1.1591079,0.105181016,-1.6037556,2.6150508,-1.3864138,30.298351
2020-05-22,-0.5522939,-0.19480437,8.126911,0.36894536,-0.0034626722,4.0242724,-0.13713074,0.8444877,-0.7240788,-0.3877017,7.2152195,-0.3181623,-0.8618238,-0.79855776,-0.10486621,-0.023211777,28.108898,-0.955374,-0.27711093,0.61365074,0.0656836,0.007724814,0.69037104,-2.1722405,-0.17604142,0.61895216,-0.37066704,5.845132,0.077741906,-1.7948464,-0.11595183,10.515999,9.150557,1.0253354,-0.31492788,0.043548837,-1.6266388,2.2468202,-0.8467363,37.30052
2020-05-23,0.2501399,-0.08880663,-0.53985,-0.28584516,-0.07924229,-0.86537564,0.079640724,0.026006758,-0.10114145,0.09460296,-0.8356705,-0.06334647,-0.7689297,0.2908511,0.07585418,-0.07735515,1.406002,0.34528732,-0.32854652,0.10252537,0.17674619,0.2131013,0.115407884,0.06966609,-0.08454891,0.09152572,0.201295,-0.13728452,0.102322355,0.31299943,0.1511581,0.2517779,-0.31919575,0.15013485,0.34445697,-0.03757951,0.14761543,0.15476823,-0.16477078,-1.6782992
2020-05-24,2.281721,0.37566552,26.423822,19.03345,1.2246027,9.811623,0.12503265,1.9943128,13.830391,0.9416678,19.387693,0.37858334,0.5884309,0.7027211,-0.10298443,0.44739923,110.81432,3.4572377,7.2504697,0.13607481,-0.3386507,0.28878483,2.683254,2.915592,0.17965001,0.28224942,0.9674923,31.157787,-0.14947101,1.7775128,-0.20103705,31.246382,42.324482,1.3681563,5.57,0.19379482,-0.15511656,5.302322,1.1186969,195.95164
2020-05-25,1.5573589,0.5467404,7.8365116,1.5847751,0.7576967,6.2654815,-0.070458226,-0.03392452,0.931935,-0.02549123,7.580902,0.14358228,-3.283643,1.1482741,-0.2238343,0.2788642,53.11185,1.091923,2.6004515,0.2029221,-0.5204989,-0.3591035,1.2227933,0.1666832,0.2009422,0.048882023,0.24915794,6.929845,-0.20002598,-0.35114622,-0.825906,10.029863,16.190643,1.1534135,2.3762696,0.27012622,-1.2090272,0.9866438,1.0279444,141.34561
2020-05-26,-0.45661438,0.22050796,18.253717,1.1369346,-0.28461808,6.280817,-0.087516785,0.2593791,-1.2816207,-0.10484985,5.282162,0.10028429,0.11229992,-0.40217432,-0.26633975,0.29369536,7.140231,-0.4017849,-0.2792393,-0.5045221,0.054404914,-0.5930304,-0.23907411,-0.8450496,-0.013917149,-0.48289588,0.37813514,1.7972002,-0.18779117,-0.40170646,-0.03295485,9.886856,0.43793476,0.040287927,0.34800446,0.11747723,-1.8214716,5.9112062,-1.636179,39.964428
2020-05-27,1.0272394,0.735994,7.9840183,2.5086346,-0.4337793,2.6782517,0.17580341,0.7025558,4.761909,0.6913186,5.986925,0.38762888,4.3014193,0.5375948,0.5123366,1.135977,24.966152,2.444447,2.7300599,-0.6971049,0.66306716,0.03652867,1.7795482,0.8606699,-0.9732291,-0.4399263,-0.05743666,73.144,0.21538097,0.9640073,-0.10640528,11.37442,19.637913,0.15710434,2.1813223,-0.5319694,-0.9600407,3.3601146,0.40796316,36.012436
2020-05-28,1.4873221,0.69194233,22.624022,0.76221216,0.37517047,11.528841,0.0095788725,1.8726916,1.5538964,0.09448268,21.844893,0.056407228,1.7124429,0.71869236,-0.42946503,0.7000565,47.272392,2.0944963,0.58820134,0.061348543,-0.36594272,-0.3958938,1.9735032,-0.8384503,0.26674363,-0.20125335,-0.070792586,15.443551,-0.03347388,1.0120348,-1.0424749,12.639534,24.88602,0.9170019,4.460457,0.7329471,-0.7915069,3.2062588,1.3804567,166.63924
2020-05-29,0.7826313,0.5110507,18.360826,0.5410675,0.07682788,13.175179,0.10491937,0.6195686,0.5404888,0.074142225,16.298635,0.19093588,-0.6835934,0.53831303,-0.4050341,0.5085993,37.33887,1.1461766,-0.31193185,0.45361227,-0.50344586,-0.26551232,1.7136838,-0.81947243,0.24736874,-0.09238669,0.048056677,12.001013,-0.09231644,0.57512873,-0.9453104,10.153376,20.246359,0.6739576,3.1262813,0.5927011,-0.5462744,2.7622604,1.1197037,135.37798
2020-05-30,1.429625,0.25560716,16.552208,0.947805,0.19184321,11.878354,0.16107722,0.33792228,1.0333085,0.029808313,16.542908,-0.01814531,0.93160206,0.57080555,-0.26121357,0.3032034,44.616283,0.67506605,0.6904254,0.60263646,-0.40922618,-0.28742698,1.5573703,0.03980452,0.102854416,-0.0044118166,0.03753692,13.37982,0.01638119,1.4905909,-0.78157586,11.460743,19.093384,0.76886666,3.5620496,0.39253348,-0.027527452,2.7403357,0.6396678,113.415535
2020-05-31,1.746697,0.62384206,18.600382,1.98563,0.5918636,7.368566,0.25185886,0.4473709,1.4428067,0.06753859,18.370222,0.02602099,1.7363777,0.6331243,-0.08671445,0.18010932,62.62257,1.4177029,1.2795609,0.28840154,-0.31785518,-0.2708443,1.5485964,0.3533215,0.21939099,0.11166321,-0.1348064,14.01865,-0.027814403,1.9764073,-0.73002064,12.038273,18.94772,0.8746279,4.4614863,0.5513331,0.46521294,4.0687437,1.0838118,129.74449
2020-06-01,0.8101648,0.6624125,19.206505,-0.56694305,0.28845245,13.727968,-0.0028182585,0.34501863,0.26028848,0.018192664,19.591902,0.24079241,0.11238611,1.2673059,-0.580587,0.81999004,39.445774,0.5604534,0.042746305,0.56770283,-1.0629559,-0.5165618,2.0671396,-0.23955512,0.26285297,0.005302295,0.24399847,8.132519,-0.041701876,0.014849544,-1.3645467,10.3426485,23.441288,1.096279,3.0432506,0.6446912,-1.1616603,1.2126808,1.5524459,177.0505
2020-06-02,1.4770865,0.32648408,13.996937,0.3158568,0.27641696,11.760069,0.04350904,0.13112244,1.1376816,0.22730789,12.985856,0.03415954,0.99031365,0.1210472,0.122544244,0.22168005,44.840195,0.535283,-0.15535027,0.30427635,-0.26980412,-0.105505764,1.2651751,0.12934428,0.041668538,0.057610393,-0.32558227,12.432335,0.004320372,1.8822186,-0.5655312,10.631908,15.445575,0.5464102,2.5742967,0.3709357,0.0472548,2.9801474,0.5113339,88.57008
2020-06-03,2.8868537,0.54427165,16.909187,3.8431573,0.6336356,5.186373,0.23509103,0.7031382,2.8846798,0.35844037,17.236721,0.14126134,3.9607785,0.76074934,0.10520932,0.10341115,66.368546,2.1679995,0.8732742,0.45418957,0.3832998,-0.19869566,1.4786856,0.26906118,0.21741255,-0.06716709,0.0017855167,15.070474,-0.13817397,2.9533963,-0.27971005,12.12944,17.091024,0.8869123,4.2074504,0.34533226,0.89109343,3.7553556,1.7574841,108.24286
2020-06-04,1.9717044,0.35754576,13.920857,2.025948,0.57413787,6.6314807,0.13748747,1.1022516,1.8816872,0.053385235,16.026583,0.118720874,3.458098,0.62432706,0.07467851,0.03544551,50.39173,1.7265995,0.36400604,0.52016085,0.0056993365,-0.17758304,1.6942704,0.43734705,0.18502866,0.062430277,-0.14387149,15.170779,-0.101043515,1.7772355,-0.56937045,11.485054,16.505861,1.0377192,3.6762402,0.2953228,0.8259111,2.6914487,0.5475193,102.61458
2020-06-05,1.3001589,0.27082378,17.783888,1.4845074,0.45657152,10.119572,0.14816645,1.2589056,0.87688035,0.07205934,18.787796,0.14276105,2.8681192,0.64956665,-0.19733456,0.6463566,42.208138,1.0438035,-0.07121354,0.5266417,-0.39531517,-0.42941484,1.4867878,-0.0853377,0.19305132,-0.06322047,0.13383693,12.929369,0.03543207,1.1713854,-0.61596906,11.227945,18.548286,0.61571157,3.1303377,0.3671648,-0.23347807,2.2342417,1.0862949,119.72245
2020-06-06,1.4136744,1.0550723,31.738338,0.06279683,0.13319719,11.7365,0.28732216,2.4553516,-0.42874634,-0.13590166,32.05971,0.2464859,5.5173006,1.4167367,-0.9105233,0.81851685,48.891987,3.444414,-0.64924806,0.6029575,-0.5595733,-0.7294574,2.37344,1.0886837,0.36767468,-0.16154638,0.46331385,13.753553,-0.15276903,1.0454235,-1.2806429,13.438688,34.48062,1.2100081,5.8421826,0.96321696,-1.137246,2.8423657,1.9251971,214.60458
2020-06-07,1.2626723,0.4310098,20.023893,1.027128,0.4302923,10.186401,0.3388502,1.2356565,0.80999726,-0.19033843,19.448917,0.07292818,2.118947,0.39491498,-0.39825073,0.05400373,43.465813,1.3738647,0.32101542,0.474469,-0.25399405,-0.34173048,1.9728427,-0.18464881,0.33030114,0.113801554,0.05819059,11.41492,-0.15043542,0.65853715,-0.7469041,10.640881,20.676939,1.0220875,3.7522786,0.6478221,-0.3682878,3.714971,1.5080858,141.37492
2020-06-08,3.6719246,0.5333693,28.553669,0.26133478,0.6979604,11.697906,0.2505604,4.3895454,-0.23392236,-0.022524484,26.130121,0.12099837,5.3393354,0.24899043,-0.725116,0.4203639,35.093098,0.7445171,-0.38280535,1.4696789,0.10088557,-0.4068086,1.2279205,-1.273892,0.25015417,-0.20256475,-0.06685135,11.263956,-0.12304137,-0.06842494,-0.65127957,10.320863,15.656659,0.9950921,4.270801,0.7059413,-1.4487778,2.933291,1.2858219,162.65158
2020-06-09,2.249629,0.69137806,27.100456,0.42418826,0.63671076,8.966225,0.26203117,2.6662607,-0.08779621,0.076207794,27.355053,0.20720558,4.713066,0.82427126,-0.4996951,0.6865466,44.09242,1.8283764,0.004511237,0.7184834,-0.2532673,-0.69938713,1.8040607,0.6501639,0.24271789,-0.21553642,0.2971552,10.194823,-0.015355557,0.84215593,-0.95521337,12.12422,23.936438,1.1641273,4.861039,0.6612968,-0.49348187,2.2121243,1.7797251,173.28902
2020-06-10,1.3319116,-0.15636286,1.8133452,0.9424484,0.395028,1.4915725,-0.05784128,0.12462056,0.49047923,0.18800244,1.9852889,-0.176495,0.521594,0.30232728,0.13018073,-0.117429316,2.1707988,0.04950285,0.5846036,0.19061609,0.5537204,0.18322021,0.29566252,-0.025083363,-0.08495135,0.2708882,0.24982797,1.2361969,0.12646857,0.098073006,0.23173821,1.1791492,-0.11781716,0.3015588,0.5669936,-0.077529244,0.3964442,0.55145836,0.3028825,0.75980616
