Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-09-01,3.9144256,0.38857055,35.476246,12.036867,1.8659892,18.204601,0.5731261,5.5425177,9.129295,1.3650769,34.828045,-0.3346572,21.106611,2.3315952,1.4463186,0.35098746,126.052345,8.9572,4.8634205,1.0304677,2.2357688,-0.23422046,3.487071,10.566805,0.4826678,1.2612754,0.005962819,51.39945,-0.09918711,6.8101344,1.3588104,34.545155,52.699223,1.8689362,8.32246,0.41046962,6.1216445,10.103764,6.8580704,84.182144
2020-09-02,3.761355,0.42643383,34.984142,11.591394,1.8159252,17.969679,0.5769968,5.451952,8.823185,1.3718413,34.300797,-0.40335807,20.633984,2.2426283,1.4252844,0.35660985,123.79324,8.679457,4.785183,0.9843198,2.1684232,-0.27094263,3.435904,10.2786255,0.49248457,1.2330436,-0.047238097,50.34849,-0.07200185,6.6699867,1.353745,33.832153,51.729454,1.796768,8.062289,0.41547048,5.929874,9.945317,6.782875,83.918915
2020-09-03,4.0564914,0.34435582,35.918133,12.408702,1.9160419,18.39404,0.56264335,5.6187925,9.393761,1.3552623,35.30096,-0.26284912,21.512152,2.4094884,1.4593507,0.34178066,128.14685,9.198853,4.946837,1.0844918,2.2813191,-0.1941653,3.51784,10.829454,0.46982396,1.2876122,0.061736602,52.354588,-0.12528825,6.914325,1.3504782,35.17325,53.587677,1.9443219,8.533633,0.40678135,6.279578,10.264476,6.931029,84.42358
2020-09-04,3.829953,0.4124736,35.221195,11.805195,1.8381213,18.090454,0.5773104,5.497056,8.966856,1.3706318,34.55474,-0.37588465,20.861423,2.2836504,1.4371302,0.35538453,124.856705,8.809473,4.819818,1.0012171,2.2033255,-0.25693148,3.4652514,10.411594,0.48935968,1.2459154,-0.02622059,50.843166,-0.08362181,6.742045,1.3604301,34.172626,52.186493,1.8269849,8.18883,0.41356394,6.0227494,10.01588,6.8188996,84.08019
2020-09-05,3.8233626,0.41212812,35.18686,11.770269,1.8357778,18.074364,0.57731664,5.4889164,8.943471,1.370038,34.519608,-0.37909967,20.824772,2.2766523,1.4343385,0.354435,124.711555,8.789478,4.8172164,1.0000393,2.1957798,-0.25723892,3.4590092,10.3919935,0.4895249,1.24591,-0.02741699,50.776405,-0.08154728,6.7267885,1.3563395,34.122097,52.128323,1.8244851,8.166456,0.41404924,6.0043736,10.006558,6.815424,84.06362
2020-09-06,3.5851886,0.46843153,34.505074,11.213792,1.7766598,17.684896,0.5587367,5.3907833,8.565187,1.3784631,33.786148,-0.45033166,20.217001,2.1690333,1.4094332,0.36759964,121.77697,8.422644,4.7253475,0.9471406,2.106669,-0.3144921,3.3905501,10.036533,0.49331164,1.1804272,-0.107776985,49.357895,-0.056322463,6.568083,1.3658547,33.186493,50.766663,1.7316778,7.841449,0.4226983,5.805178,9.833223,6.699236,83.48386
2020-09-07,3.888462,0.40781695,35.117287,12.045504,1.8446099,18.161516,0.5950824,5.5158043,9.065415,1.3613541,34.520027,-0.37300646,20.94772,2.2978368,1.4510586,0.35531145,124.631454,8.8812275,4.8117003,0.967399,2.2535436,-0.25272292,3.5166874,10.446591,0.49161905,1.2611915,-0.02224566,50.90732,-0.08175828,6.80586,1.3760071,34.27666,52.18897,1.8247238,8.30987,0.41203994,6.087763,9.948026,6.786756,83.40821
2020-09-08,3.7094622,0.40001053,34.467484,11.4598055,1.8143407,17.603617,0.5306975,5.394902,8.74522,1.3390285,33.789944,-0.34525952,20.343216,2.226596,1.3968613,0.3476449,122.1789,8.571519,4.765045,1.0155933,2.1192741,-0.25312287,3.3584442,10.192599,0.46669334,1.193944,-0.02914913,49.66082,-0.08677209,6.5735726,1.3208661,33.376854,50.97096,1.8060313,7.95242,0.41064,5.890462,9.8963995,6.673636,82.3454
2020-09-09,3.7390995,0.44876927,34.85631,11.563141,1.7920048,17.957693,0.5971842,5.43077,8.78998,1.376037,34.16472,-0.43244392,20.567343,2.2332838,1.4302188,0.36364183,123.048096,8.651411,4.728695,0.9543817,2.1900992,-0.2839988,3.4497743,10.21047,0.5032042,1.2324537,-0.062492147,50.08434,-0.06412438,6.677081,1.3712568,33.69097,51.47016,1.7629317,8.059037,0.4103221,5.911606,9.857879,6.747331,83.69512
2020-09-10,3.8421528,0.4075937,35.2485,11.835378,1.8429765,18.102623,0.57572204,5.502784,8.986922,1.3690785,34.58708,-0.3691155,20.88985,2.2890356,1.437633,0.35408953,125.01115,8.827074,4.8283777,1.0056871,2.20551,-0.253079,3.4669561,10.432017,0.48776418,1.2481713,-0.021263137,50.915016,-0.0856323,6.7482386,1.3584548,34.218933,52.252197,1.8339834,8.204053,0.4136115,6.034141,10.028487,6.8240004,84.07656
2020-09-11,3.7074356,0.446649,34.844265,11.466941,1.7976062,17.921835,0.58325136,5.4299936,8.729419,1.378258,34.151943,-0.43543154,20.501228,2.2134902,1.4233791,0.36150587,123.098694,8.593424,4.7563024,0.9588119,2.1555202,-0.28952807,3.432745,10.184573,0.49890637,1.223718,-0.0725926,50.027306,-0.060934804,6.641406,1.3620102,33.625835,51.433884,1.7661734,7.9930506,0.4180343,5.8775477,9.886824,6.760969,83.91553
2020-09-12,3.7547884,0.43282312,35.004955,11.603183,1.8155931,17.991926,0.579199,5.459984,8.82443,1.3757652,34.324364,-0.41131908,20.64963,2.2409744,1.4290954,0.35907537,123.86111,8.678847,4.7869363,0.97606146,2.1727123,-0.27731496,3.4463978,10.278631,0.49452168,1.2316622,-0.05532758,50.37075,-0.07005452,6.6825657,1.3616978,33.854683,51.7518,1.7917185,8.070799,0.4173298,5.9375215,9.945109,6.787425,84.01804
