Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-05-18,-0.8470336,1.8189042,22.697872,-0.9445901,0.27863476,12.23826,0.83333254,3.1109025,0.2656337,1.7610626,20.719662,-2.6756325,8.1045475,-0.21683487,0.97987103,0.6423867,63.43559,0.99129224,2.379531,-0.51562,0.5191886,-1.5413063,2.3029191,2.17975,0.8934449,0.3872794,-1.8039275,21.757442,0.73649424,3.2276495,1.5480713,14.664183,25.604618,-0.48412913,1.037472,0.5579716,0.78314185,5.5285063,4.8935227,82.36504
2020-05-19,-1.1120956,1.8263292,21.262085,-1.6386566,0.21668479,11.384775,0.7663923,2.919867,-0.20715117,1.7171733,19.26395,-2.6679053,7.093712,-0.34703717,0.91415155,0.63704014,58.103657,0.49603045,2.251575,-0.531878,0.37180164,-1.56109,2.1327372,1.7018526,0.86484736,0.28951997,-1.8442886,19.401484,0.74601036,2.9263182,1.4989674,13.103401,23.216196,-0.56030124,0.57718134,0.55696934,0.51070744,5.2476635,4.621347,79.423775
2020-05-20,-0.8262273,1.8142179,21.733099,-0.8476453,0.23828049,12.000576,0.8692108,3.0118475,0.2053343,1.7189023,19.870129,-2.6876574,7.7305365,-0.25571737,0.9724796,0.6367432,59.819324,0.89602697,2.243291,-0.6018771,0.5648673,-1.5322437,2.3187718,1.963424,0.8970076,0.3972575,-1.8009608,20.595333,0.7539322,3.1822546,1.5437881,14.009866,24.346264,-0.54230106,1.0417819,0.54362535,0.721972,5.1699114,4.681181,79.49876
2020-05-21,-0.72434545,1.7532551,21.78043,-0.6941669,0.2431969,11.680979,0.8200866,2.9723969,0.47526503,1.6714067,19.788485,-2.5127826,7.903331,-0.11739874,0.9493648,0.6271882,60.015194,1.1457133,2.1705298,-0.43692556,0.6113108,-1.4444375,2.2060413,2.1836693,0.8625577,0.3742072,-1.6697694,20.777466,0.679709,3.2002459,1.5032849,14.130725,24.38205,-0.4600106,1.1808583,0.49337202,0.8736756,5.28566,4.601493,77.87351
2020-05-22,-0.9628068,1.7485385,21.4007,-1.3014874,0.2935771,11.544963,0.74358606,2.986834,-0.053289056,1.6911645,19.552498,-2.6035573,7.3042116,-0.33380064,0.9124123,0.60964775,59.627617,0.61310273,2.4147506,-0.5120069,0.35352534,-1.5177481,2.1609771,1.8834596,0.8411083,0.32920593,-1.8006587,20.131907,0.7414534,2.9437647,1.4512881,13.546204,23.89277,-0.4713909,0.6888139,0.5766151,0.57866997,5.364963,4.6865797,79.24432
2020-05-23,-1.1229968,1.8124872,20.115612,-2.0957623,0.1098783,10.901806,0.8224739,2.655087,-0.49521756,1.6645126,18.065819,-2.685411,6.3405457,-0.40609714,0.8597506,0.61976004,52.82976,0.27233177,1.9718337,-0.5486454,0.35792512,-1.5149817,2.0010457,1.2921067,0.8790756,0.31616625,-1.7871356,17.509174,0.7644309,2.6711957,1.4215482,11.844243,21.381334,-0.6387414,0.3151294,0.5101009,0.20573556,4.7951875,4.3665404,76.558846
2020-05-24,-0.7214122,1.7888173,20.850758,-0.62739277,0.19175905,11.754642,0.91586643,2.8929987,0.2774948,1.6615041,19.06303,-2.652728,7.4819956,-0.23596993,0.9633223,0.6270189,56.330334,0.94049877,2.0562792,-0.64246607,0.6577335,-1.4854115,2.3165522,1.8361052,0.89916605,0.42484984,-1.7411556,19.612171,0.7505589,3.1646066,1.5266855,13.48167,23.233044,-0.5768716,1.1448221,0.50541466,0.7134497,4.8119917,4.448564,76.148605
2020-05-25,-0.87959695,1.6848171,19.78374,-0.9691274,0.22871329,10.579219,0.7071139,2.7883782,0.20192337,1.5632693,17.920668,-2.3783777,6.884534,-0.20720568,0.873512,0.6011865,53.650536,0.75319314,2.080501,-0.4304318,0.48991728,-1.4091885,2.0305243,1.8111907,0.79257727,0.26571622,-1.6477739,18.244965,0.6586568,2.9228888,1.4228407,12.531765,21.593096,-0.4734106,0.8764563,0.48675105,0.73781425,4.953339,4.1930194,72.06532
2020-05-26,-1.0799494,1.6629092,19.56031,-1.6832952,0.28071862,10.538779,0.64567107,2.7819543,-0.37723827,1.5858866,17.829777,-2.4828296,6.2751637,-0.43733463,0.82635033,0.5728421,53.711853,0.21067226,2.3444352,-0.49074253,0.20406649,-1.4670982,1.9645386,1.5027937,0.7773421,0.2531111,-1.7607781,17.771935,0.73040646,2.6088424,1.3365103,11.98856,21.362757,-0.47019595,0.32170236,0.57134086,0.3601318,5.0565853,4.333244,74.13852
2020-05-27,-0.78646183,1.7892125,22.340763,-0.81845665,0.2662873,12.021587,0.82859087,3.0569806,0.36721277,1.723316,20.359558,-2.6051593,8.043575,-0.1715594,0.9680933,0.63545084,62.12189,1.0693865,2.2963848,-0.4810712,0.56082284,-1.4987122,2.265353,2.1947849,0.88042104,0.38454843,-1.7449818,21.403574,0.71200955,3.2220702,1.5288713,14.477695,25.1476,-0.47044736,1.1095358,0.5308392,0.8281403,5.433648,4.7763743,80.51465
2020-05-28,-0.90704834,1.7925497,22.127398,-1.1285722,0.28121617,11.933433,0.7961012,3.0528426,0.1096499,1.7327988,20.199553,-2.6508667,7.7376585,-0.27206257,0.9501934,0.6292175,61.70261,0.81323874,2.3889818,-0.5169623,0.44472164,-1.5343289,2.2396717,2.03572,0.8724287,0.3609525,-1.8065856,21.00834,0.7405322,3.0988684,1.5073454,14.148524,24.82679,-0.48396838,0.8721398,0.5661717,0.68346786,5.450758,4.80319,81.067825
2020-05-29,-0.8437879,1.8171693,22.705408,-0.9372628,0.2800961,12.238534,0.832246,3.1122293,0.2717439,1.7603796,20.72761,-2.6726525,8.112182,-0.21480474,0.9797298,0.6419529,63.480072,0.9965995,2.3819065,-0.5131911,0.5194207,-1.5398163,2.302287,2.18631,0.89268196,0.38748634,-1.8019385,21.776964,0.7354865,3.228829,1.54714,14.676298,25.621807,-0.48162645,1.0412712,0.5577999,0.78671354,5.5333753,4.894613,82.35741
2020-05-30,0.1513654,1.510151,25.359303,1.8255315,0.6242715,13.450718,0.7618569,3.6355968,2.1534235,1.67259,23.673635,-2.162806,10.852105,0.32449505,1.0768833,0.5799297,76.71385,2.6731539,2.9245734,-0.18093649,0.8740194,-1.2639198,2.5482836,3.9710553,0.79841423,0.5601746,-1.4211156,28.020662,0.5541033,3.9876394,1.5074533,18.870153,31.299894,0.023196757,2.5818708,0.52962977,1.9347748,6.519912,5.3005896,82.53782
2020-05-31,1.2310473,1.2107223,28.351423,4.829468,0.97586787,14.943393,0.7294463,4.2073717,4.1723433,1.598467,26.980677,-1.6749259,13.87165,0.8964392,1.1991243,0.52212274,91.09221,4.493555,3.476267,0.12879178,1.2932506,-0.98802656,2.8659701,5.8637486,0.7202024,0.76959187,-1.0361544,34.846386,0.37732354,4.84946,1.4927363,23.476776,37.567192,0.53169394,4.27967,0.49981925,3.1587584,7.523122,5.7659183,83.37896
2020-06-01,2.3927557,0.8476218,31.328695,7.922079,1.3618103,16.324184,0.66084343,4.7721205,6.285655,1.4918582,30.289598,-1.0954734,16.934118,1.5036744,1.300724,0.44388252,105.893074,6.393029,4.0797834,0.51339144,1.688185,-0.65879434,3.1273975,7.867896,0.6154758,0.98522204,-0.584354,41.886776,0.17526466,5.670572,1.423826,28.177898,43.996056,1.1103334,5.999303,0.4633313,4.412339,8.614556,6.225674,83.51433
2020-06-02,3.3880942,0.4861795,33.122334,10.540854,1.6891792,17.049026,0.5580567,5.1690245,8.071253,1.3433752,32.40228,-0.50585103,19.222263,2.024072,1.3525803,0.36008856,116.1634,7.950779,4.542875,0.88188016,1.9984019,-0.33248198,3.26196,9.500445,0.49299693,1.1394138,-0.14586417,47.040226,-0.020730175,6.268181,1.314738,31.648563,48.49965,1.6255331,7.4052687,0.41563234,5.460426,9.4293995,6.4457808,80.94091
