Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-09-01,7.985227,0.8666825,18.99126,21.581282,1.9868609,33.5915,0.47849914,1.7262565,7.2122946,0.57499236,18.021744,-1.1800926,33.34267,1.5673857,1.645838,1.1314608,81.88301,16.109438,0.4237935,3.12744,7.088863,0.56360763,2.6586752,4.5830517,-0.4883589,1.2185724,1.3391842,45.48101,-1.0337552,4.8686805,-0.4003744,42.743046,28.825016,0.36185193,7.8348846,1.1319488,10.327406,4.0045495,12.043041,28.229256
2020-09-02,4.5251503,1.2970686,22.658567,19.230762,0.22436059,20.151937,0.7411756,4.5965986,13.222322,-1.1764758,22.930405,-0.8791808,20.623816,2.7105823,1.7387319,-0.58273757,120.74699,11.585787,3.4073362,0.614147,3.2115889,4.051149,5.732798,8.2772875,1.6227471,-0.9116626,0.1235487,49.114357,-1.3363218,7.560713,-0.15478778,29.735264,62.855644,2.565303,7.5516796,-2.1520789,10.901724,8.023976,5.9836116,32.282326
2020-09-03,18.066734,1.4798707,26.190634,23.106913,3.0668845,15.004334,0.6184951,1.3908119,17.213907,-0.8809853,38.16869,-1.9887692,58.72962,13.323294,-0.7655383,0.7871307,214.88934,17.978651,6.0035105,7.2472124,7.467411,1.5695052,7.4009013,9.337254,2.7862852,0.9882356,0.42774063,68.802216,-0.89715093,8.9535475,0.5065705,47.33901,49.301025,0.39428145,12.178609,0.224188,4.8556595,6.280717,13.705171,44.150646
2020-09-04,5.7607355,-0.10222687,15.879044,7.028107,0.7809104,11.925673,0.11430016,1.282841,3.4791627,-0.15354398,13.384391,-0.26677686,10.75594,3.3736746,0.69515896,0.59646076,70.320076,10.632428,-0.64910215,0.55112165,4.3191576,-0.03659942,2.3139756,3.1555452,-0.42481825,0.2892007,0.2419711,29.108147,-0.5072412,3.8753304,-0.58290696,25.674467,28.888653,0.6219773,6.9930468,0.35296267,3.0328255,4.5527163,31.409748,21.702526
2020-09-05,5.7739897,0.97783256,17.771605,12.393781,1.7383834,17.106873,0.3507606,2.2699757,7.7565403,-0.109635115,16.483002,-1.0284389,24.470697,3.7044113,0.8655733,0.33482307,92.2046,9.640937,1.9853492,2.619157,4.03434,1.1805458,3.3824625,4.2178135,1.4087834,0.3597244,0.09957444,32.45343,-0.63732886,4.0843263,-0.020745687,24.796398,27.182735,0.77239144,5.452066,-0.4920918,5.0735855,4.753891,6.567111,21.837463
2020-09-06,7.190737,0.6971215,17.591259,17.523594,3.7916656,12.415186,0.64741874,2.9317012,11.658945,-0.65547734,16.144245,-1.3507167,30.306976,6.5391097,0.864562,-0.06295681,133.25299,11.510681,2.3816938,3.4419818,4.3172507,0.9279065,4.4934793,6.9593844,1.7057182,0.51440394,0.36332545,46.437904,-0.7795954,5.414944,-0.13136469,29.493174,33.49583,1.0917263,8.81045,-0.22074522,8.507127,4.6213336,9.119124,26.054752
2020-09-07,5.826399,0.7379981,25.75078,4.029524,2.167811,12.470669,0.34036073,1.394713,4.6961126,0.25723207,13.068167,-0.44608828,23.149166,1.8662984,1.2526153,-0.28434458,103.03256,7.5905056,-0.029871523,2.3293865,4.8942127,-0.042467985,3.199595,5.190524,0.4505781,0.49280396,-0.046824828,20.875767,-0.89992136,4.952304,-0.7815857,26.849691,28.500208,1.2984127,8.470479,-0.11188285,7.176879,6.118638,39.41787,19.1209
2020-09-08,10.054444,1.5650907,24.12562,19.300287,3.1171274,18.728567,0.53089446,3.0539184,12.583759,-0.44507992,23.548176,-1.3645744,38.50177,7.914385,0.99032253,0.12849563,141.15984,12.27191,4.2499094,3.7591674,5.1705904,1.5906475,5.560048,7.651728,1.2522801,0.64400333,-0.065282986,46.297318,-0.8809349,5.7080655,-0.0953749,32.700233,40.358425,1.1211462,8.738019,-0.5179432,5.40551,4.9847794,10.317769,33.944366
2020-09-09,4.3618317,0.39405257,24.11176,1.8940401,2.2613895,12.503448,-0.06559273,1.8382463,3.8843603,0.67068297,13.855098,-0.32532775,17.028316,1.103931,0.75396526,0.14678465,92.391365,7.4961643,-0.68737584,2.5023983,4.0882726,-0.7565303,2.4723227,5.7804775,-0.35491177,0.51916265,-0.22601323,25.92842,-0.5216206,4.5927606,-0.6851882,27.664694,31.29908,1.2863216,8.069517,0.09996608,7.073142,6.908477,47.463997,20.52684
2020-09-10,11.871203,1.9609632,22.851704,26.45988,4.2377863,15.170816,0.9611057,2.740578,12.5697,-1.0437098,28.375374,-1.7793297,56.103672,9.447559,0.5096922,0.22297528,149.2741,11.325808,5.9966187,3.4276524,4.02678,2.1692038,5.7938604,8.922453,2.1137514,0.10747274,0.89355284,57.309402,-1.4014441,7.8611555,0.18414626,33.61694,36.90907,0.47579968,7.0315027,-0.4631055,7.3386707,5.222391,11.756436,38.48159
