Day,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Out of WA,Pacific,Pend Oreille,Pierce,San Juan,Skagit,Skamania,Snohomish,Spokane,Stevens,Thurston,Wahkiakum,Walla Walla,Whatcom,Whitman,Yakima
2020-05-18,1.7471945,0.50439656,16.275642,2.968219,0.00803256,9.730861,-0.67940986,0.5214586,2.9805212,-0.037822813,15.427825,-0.26123837,1.3678001,0.0099387765,0.7567653,0.60486615,43.81504,-0.38865566,2.348298,1.3864552,0.8549033,-1.010382,0.58086,0.48288637,0.9798015,1.3744907,-1.2782195,11.7862835,-0.18366478,1.2558384,0.34505853,10.166886,14.811164,0.27794924,1.2855138,0.29988328,0.74327004,3.800135,0.5643046,121.00838
2020-05-19,2.0375688,-0.089429066,6.692155,4.7936406,1.003494,3.2634082,-0.46771753,0.5320449,2.3227265,-0.19086266,6.744346,-0.29850546,1.2883388,-0.017795801,0.06126085,0.43339652,36.540604,0.75301754,1.3189147,0.31067607,0.23006994,-0.8908762,0.031548142,-0.3215816,0.5840796,0.7841134,-0.5172869,18.448654,0.28714162,0.3124882,0.05290026,12.64279,8.334257,-0.38329569,2.5231235,-0.04973853,0.6122302,1.826716,1.9173965,52.05354
2020-05-20,1.3317107,0.2029184,3.595879,4.2055893,0.8284091,3.0412908,-0.5764891,-1.2960567,3.7189865,0.11099092,3.578137,-0.10451722,-1.8253062,0.6859728,-0.3909502,0.6124804,37.87033,0.10415554,1.4622338,-0.26434496,0.80685925,-1.2725887,0.13171053,-1.567395,0.3356442,0.44459778,-0.2765568,7.403336,0.22316451,0.032868743,0.04132869,8.73173,10.118259,-0.65306365,0.9930431,0.48729205,1.0679377,2.1044388,-0.19770789,68.2615
2020-05-21,-0.33545184,0.08579959,4.8743143,6.256089,-0.10410488,5.2158337,-0.3830964,-0.22941351,3.1733274,-0.057491884,4.790846,-0.18471147,1.5357383,-0.28008944,0.4576477,0.8152803,24.758694,-0.17543578,1.5020021,0.254377,-0.26421165,-0.084563754,-0.056269407,-0.5492182,0.33758816,0.21858937,-0.4942271,10.977573,-0.3984809,0.80467796,0.11079383,11.420813,8.686253,-0.4163567,0.10596061,0.13667664,0.46630764,3.4131174,-0.07957411,42.353416
2020-05-22,1.3463889,-0.18759239,8.10379,5.9540987,1.1172612,4.476636,-0.36527586,0.71144235,3.5988228,-0.41337723,7.249769,-0.27382773,2.0497909,-0.12880772,-0.014502853,0.5822201,34.054287,0.7196772,2.50628,0.5470693,0.24024922,-0.54827476,0.07206273,0.6129347,0.3302634,-0.06764099,0.2978961,12.897672,0.13059002,0.07079697,0.20414299,14.446764,11.149988,-0.38508132,0.36108363,0.06903282,0.9536289,2.3866537,0.65346503,41.410896
2020-05-23,1.4105964,0.4769328,2.9983318,3.1221817,0.49349833,1.9334472,-0.3269386,0.8520218,1.7839748,0.4113641,2.2219796,0.30182797,4.0712566,0.75326645,-0.54763323,0.918488,1.5587306,2.1334066,0.107455194,-0.8652277,0.45403624,-0.13110705,0.42032796,1.6197166,-0.2165537,-0.41099665,-0.8176048,-1.3502154,-0.27492255,2.755923,0.45210204,0.9498544,3.367841,-0.41057542,0.68375987,0.005923353,2.3360467,1.3814981,1.4172112,-3.358264
2020-05-24,3.230766,-0.7540537,17.381294,15.067513,-0.289626,10.50352,-1.6670966,0.24722552,7.9862237,-0.5067425,15.545358,-0.44716114,1.7810459,-1.5026152,-0.05696425,1.8407032,93.63666,0.4956845,5.2058835,0.6611709,1.3513292,-3.5100684,0.061544538,-0.25265515,1.8244466,2.6141205,-2.1244547,27.02349,0.73637015,-0.83570135,0.9713553,21.20961,32.87523,-0.01003781,0.7717358,0.72005796,-0.56015825,3.2854238,2.5972953,178.83255
2020-05-25,1.6131388,0.17515102,14.87409,2.1814947,-0.3820697,8.990328,-0.7051723,-0.07606089,2.2188609,-0.096473366,14.262896,-0.44140002,0.42913342,-0.18370706,0.69086236,0.72252923,51.81268,-0.7818136,1.9116015,1.1518589,0.16907763,-1.187931,0.7049576,-0.5338229,1.2517155,1.4915777,-1.3980933,10.786919,-0.22729471,0.5273503,0.42395753,11.636667,15.317046,-0.010197282,1.8034648,0.40760183,0.08052111,3.41901,0.46720183,135.46158
2020-05-26,-0.71557665,1.1304986,16.171139,2.8648741,0.4745366,7.8887415,-1.250414,0.10885918,0.9435371,-0.92707044,5.2478137,0.04403138,-1.9034779,0.40316206,0.3581964,0.7355766,12.714869,2.546402,0.78964394,1.0946382,0.5774243,-0.89231855,0.16154969,1.5980092,0.14992924,0.5848541,-0.35997653,4.291772,0.29956996,1.4665916,0.36880767,12.333234,1.7964215,0.971514,1.2294637,0.12674837,-0.28890467,6.156372,0.7794077,38.218586
2020-05-27,1.6785064,-0.6184943,9.783499,7.080018,0.24531919,4.6896925,-0.5661406,0.80998105,5.046422,-0.5312039,7.869805,-0.27830273,2.7610261,0.10167566,-0.57291377,0.40624264,47.120358,0.93323195,2.0027869,-0.22770372,0.6017836,-1.5002502,0.15970695,2.1773598,1.1884869,0.9700588,0.018206999,36.80593,0.9424495,2.6059923,0.39674017,14.356861,15.656651,-0.29223362,1.169771,-0.12668408,0.67030513,2.8010395,1.9375988,67.91265
